"View Credit Memo","Zobacz notę kredytową"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Podstawa prawna: art. 16 lit. m) dyrektywy 2011/83/UE o prawach konsumentów."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Potwierdzenie zgody na treści cyfrowe — Zamówienie %increment_id"
"Hyvä %name,","Szanowny/a %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","To jest potwierdzenie na trwałym nośniku Twojej wyraźnej zgody na rozpoczęcie dostarczania poniższych treści cyfrowych oraz Twojego potwierdzenia utraty prawa odstąpienia (rozdział 6 § 16 fińskiej ustawy o ochronie konsumentów)."
"Luopumisen kattamat digitaaliset sisällöt","Treści cyfrowe objęte tą zgodą"
"Nimenomainen suostumuksesi","Twoja wyraźna zgoda"
"Suostuttu:","Zgoda wyrażona dnia:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Twoje potwierdzenie utraty prawa odstąpienia"
"Vahvistettu:","Potwierdzono dnia:"
"Luopumisen viite:","Numer referencyjny zgody:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Podstawa prawna: rozdział 6 § 16 fińskiej ustawy o ochronie konsumentów / art. 16 lit. m) dyrektywy 2011/83/UE o prawach konsumentów."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Potwierdzenie zgody na treści cyfrowe — Zamówienie %increment_id"
"Cher/Chère %name,","Szanowny/a %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","To jest potwierdzenie na trwałym nośniku Twojej wyraźnej zgody na rozpoczęcie świadczenia poniższych treści cyfrowych oraz Twojego przyjęcia do wiadomości, że tym samym tracisz prawo odstąpienia (art. L. 221-28 francuskiego Kodeksu konsumenckiego)."
"Contenus numériques couverts par la présente renonciation","Treści cyfrowe objęte tą zgodą"
"Votre consentement exprès","Twoja wyraźna zgoda"
"Consenti le :","Zgoda wyrażona dnia:"
"Votre reconnaissance de la perte du droit de rétractation","Twoje przyjęcie do wiadomości utraty prawa odstąpienia"
"Reconnu le :","Potwierdzono dnia:"
"Référence de renonciation :","Numer referencyjny zgody:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Podstawa prawna: art. L. 221-28 francuskiego Kodeksu konsumenckiego / art. 16 lit. m) dyrektywy 2011/83/UE."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Potwierdzenie zgody na treści cyfrowe — Zamówienie %increment_id"
"Beste %name,","Szanowny/a %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","To jest potwierdzenie na trwałym nośniku Państwa wyraźnej zgody na rozpoczęcie dostarczania poniższych treści cyfrowych oraz Państwa potwierdzenia, że tym samym tracą Państwo prawo odstąpienia (art. 6:230s holenderskiego Kodeksu cywilnego)."
"Onder deze afstand vallende digitale items","Pozycje cyfrowe objęte tą zgodą"
"Uw uitdrukkelijke toestemming","Państwa wyraźna zgoda"
"Toestemming verleend op:","Zgoda wyrażona dnia:"
"Uw erkenning van verlies van herroepingsrecht","Państwa potwierdzenie utraty prawa odstąpienia"
"Erkend op:","Potwierdzono dnia:"
"Afstandreferentie:","Numer referencyjny zgody:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Podstawa prawna: art. 6:230s holenderskiego Kodeksu cywilnego / art. 16 lit. m) dyrektywy 2011/83/UE."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Wysłanie potwierdzenia nie powiodło się — wniosek #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-mail z potwierdzeniem dla wniosku o odstąpienie #%request_id nie został trwale dostarczony."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Sprawdź kolumnę <code>mm_eu_withdrawal_request.receipt_last_error</code>, aby zobaczyć ostatni komunikat błędu, oraz kolumnę <code>mm_eu_withdrawal_request.receipt_send_attempts</code>, aby zobaczyć liczbę prób."
"You can requeue the send from the admin grid after resolving the underlying issue.","Po rozwiązaniu pierwotnego problemu możesz ponownie umieścić wysyłkę w kolejce z poziomu siatki administracyjnej."
"Your refund is on its way — Withdrawal #%1","Twój zwrot jest w drodze — Odstąpienie #%1"
"Your refund is on its way","Twój zwrot jest w drodze"
"Hi %name, we've approved your withdrawal request and started the refund process.","Cześć %name, zatwierdziliśmy Twój wniosek o odstąpienie i rozpoczęliśmy proces zwrotu pieniędzy."
"View refund details","Zobacz szczegóły zwrotu"
"Withdrawal number","Numer odstąpienia"
"Approved on","Zatwierdzone"
"Estimated arrival","Przewidywany termin wpływu"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Zwrot zostanie zaksięgowany na pierwotnej metodzie płatności w ciągu 5–7 dni roboczych. Gdy środki dotrą, zobaczysz je na wyciągu z karty lub konta bankowego."
"Need help?","Potrzebujesz pomocy?"
"Reply to this email or contact us at","Odpowiedz na tego e-maila lub skontaktuj się z nami pod adresem"
"Your withdrawal was cancelled — Withdrawal #%1","Twoje odstąpienie zostało anulowane — Odstąpienie #%1"
"Your withdrawal was cancelled","Twoje odstąpienie zostało anulowane"
"Hi %name, we've cancelled your withdrawal request.","Cześć %name, anulowaliśmy Twój wniosek o odstąpienie."
"Submit a new request","Złóż nowy wniosek"
"Cancelled request","Anulowany wniosek"
"Cancelled on","Anulowano"
"Refund requested","Wnioskowany zwrot"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Jeśli to było nieoczekiwane, możesz złożyć nowy wniosek o odstąpienie, dopóki Twój %period_days-dniowy termin jest otwarty. Daj znać, jeśli potrzebujesz pomocy — chętnie wszystko wyjaśnimy."
"Cancellation confirmed — Withdrawal #%1","Anulowanie potwierdzone — Odstąpienie #%1"
"Cancellation confirmed","Anulowanie potwierdzone"
"Hi %name, your withdrawal request has been cancelled as you asked.","Cześć %name, Twój wniosek o odstąpienie został anulowany zgodnie z Twoją prośbą."
"Back to my orders","Powrót do moich zamówień"
"Cancelled by","Anulowane przez"
"You","Ty"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Twoje zamówienie pozostaje aktywne i nie musisz nic więcej robić. Jeśli zmienisz zdanie, możesz w dowolnej chwili w ciągu %period_days-dniowego terminu złożyć nowy wniosek o odstąpienie."
"Update on your withdrawal request — Withdrawal #%1","Aktualizacja Twojego wniosku o odstąpienie — Odstąpienie #%1"
"We can't process this withdrawal","Nie możemy zrealizować tego odstąpienia"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Cześć %name, po rozpatrzeniu Twojego wniosku o odstąpienie nie możemy go zatwierdzić."
"Request details","Szczegóły wniosku"
"Reviewed on","Rozpatrzone"
"Decision","Decyzja"
"Reason from our team","Powód od naszego zespołu"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Jeśli chcesz omówić tę decyzję, nasz zespół jest do Twojej dyspozycji. Odpowiedz na tego e-maila lub użyj przycisku powyżej."
"Your withdrawal request has been submitted — Order #%1","Twój wniosek o odstąpienie został złożony — Zamówienie #%1"
"Your return request has been submitted","Twój wniosek o zwrot został złożony"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Cześć %name, otrzymaliśmy Twój wniosek o zwrot i obecnie go rozpatrujemy. Skontaktujemy się z Tobą, gdy sprawdzimy zwrot i zrealizujemy refundację."
"Return number","Numer zwrotu"
"Requested on","Zażądane"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Sprawdzimy Twój zwrot i powiadomimy Cię po zatwierdzeniu. Zwroty są księgowane na pierwotnej metodzie płatności w ciągu 5–7 dni roboczych od zatwierdzenia."
"If you have any questions, our customer service team is here to help.","Jeśli masz jakiekolwiek pytania, nasz zespół obsługi klienta chętnie Ci pomoże."
"Visit our help center","Odwiedź nasze centrum pomocy"
"If you did not initiate this request, contact us immediately at","Jeśli nie składałeś/aś tego wniosku, skontaktuj się z nami niezwłocznie pod adresem"
"Withdrawal receipt — Order #%1","Potwierdzenie odstąpienia — Zamówienie #%1"
"Withdrawal receipt","Potwierdzenie odstąpienia"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Cześć %name, ten e-mail stanowi Twój dowód odstąpienia na trwałym nośniku zgodnie z art. 11a dyrektywy 2011/83/UE. Zachowaj go dla swoich akt."
"Submitted on","Złożono"
"Your %store_name order confirmation","Potwierdzenie zamówienia w %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Dziękujemy za zamówienie w %store_name."
"Once your package ships we will send you a tracking number.","Po wysyłce paczki prześlemy Ci numer do śledzenia."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Status zamówienia możesz sprawdzić, <a href=""%account_url"">logując się na swoje konto</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jeśli masz pytania dotyczące swojego zamówienia, napisz do nas na adres <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","lub zadzwoń pod numer <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Godziny pracy: <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Twoje zamówienie <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Złożone <span class=""no-link"">%created_at</span>"
"Billing Info","Dane rozliczeniowe"
"Shipping Info","Dane wysyłki"
"Payment Method","Metoda płatności"
"Shipping Method","Metoda wysyłki"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Po wysyłce paczki wyślemy e-mail z linkiem do śledzenia zamówienia."
"Your %store_name order has shipped","Twoje zamówienie %store_name zostało wysłane"
"Your shipping confirmation is below. Thank you again for your business.","Potwierdzenie wysyłki znajduje się poniżej. Jeszcze raz dziękujemy za zakupy."
"Your Shipment #%shipment_id for Order #%order_id","Twoja wysyłka #%shipment_id dotycząca zamówienia #%order_id"
"Your digital content waiver is on file","Twoja zgoda na treści cyfrowe jest zarejestrowana"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Cześć %name, wyraziłeś/aś zgodę na natychmiastowe dostarczenie cyfrowe poniższych pozycji — to jest Twoja kopia tej zgody na trwałym nośniku (art. 11a ust. 4 CRD)."
"View order","Zobacz zamówienie"
"Consented at","Zgoda wyrażona dnia"
"Acknowledged at","Potwierdzono"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Zachowaj tego e-maila jako swój zapis na trwałym nośniku. Sprzedawca zapisał hasz SHA-256 tekstu prawnego, który zaakceptowałeś/aś:"
"Digital content waiver","Zrzeczenie się dla treści cyfrowych"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Potrzebujemy Twojej wyraźnej zgody przed zakupem tego cyfrowego produktu — prosimy, dokładnie przeczytaj oba punkty."
"We log this consent with your IP and timestamp for our audit record.","Rejestrujemy tę zgodę wraz z Twoim adresem IP i znacznikiem czasu na potrzeby naszej dokumentacji audytowej."
"Continue","Kontynuuj"
"Waiver could not be saved. Please retry.","Nie udało się zapisać zgody. Spróbuj ponownie."
"Enable for EU Withdrawal Lookup Form","Włącz dla formularza wyszukiwania odstąpienia UE"
"MageMe Extensions","Rozszerzenia MageMe"
"EU Withdrawal","Odstąpienie od umowy w UE"
"General","Ogólne"
"Enable Module","Włącz moduł"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktywuje frontend i zadania cron. Domyślnie: wyłączone. Przed włączeniem wykonaj listę kontrolną ręcznej konfiguracji."
"Request Number Prefix","Prefiks numeru wniosku"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Opcjonalny prefiks dodawany przed identyfikatorem przyrostowym wniosku o odstąpienie w interfejsie dla klienta (np. „RR-” wyświetli się jako „RR-000000022”). Pozostaw puste, aby wyświetlać sam numer z dopełnieniem."
"Default Contract Type","Domyślny typ umowy"
"Frontend Route","Trasa frontendu"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Prefiks URL używany w przebiegu odstąpienia po stronie klienta (np. <code>withdraw-contract</code> wyświetli się jako <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Okres odstąpienia"
"Delivery Confirmation Statuses","Statusy potwierdzenia dostawy"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Wybierz jeden lub więcej statusów zamówienia, których <em>przejście</em> oznacza w Twoim procesie realizacji, że klient otrzymał towar. 14-dniowy termin odstąpienia rozpoczyna się od znacznika czasu <em>najwcześniejszego</em> przejścia zamówienia w <em>którykolwiek</em> z wybranych statusów (art. 9 ust. 2 lit. b) dyrektywy 2011/83/UE). Wielokrotny wybór wspiera sprzedawców używających kilku statusów typu „dostarczone” (np. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Dopóki zamówienie nie osiągnie żadnego z nich, prawo odstąpienia jest otwarte bez ustalonego terminu."
"Eligibility Rules (Art. 16 CRD Presets)","Reguły kwalifikowalności (predefiniowane art. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Art. 16 lit. c) towary wykonane na zamówienie"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Wyłącza produkty wykonane według specyfikacji klienta lub wyraźnie spersonalizowane (np. grawerowana biżuteria, odzież szyta na miarę). <strong>Wymaga</strong> atrybutu produktu <code>is_custom_made = true</code>. Po włączeniu zamówień zawierających takie pozycje nie można objąć odstąpieniem — klienci zobaczą to przy próbie rozpoczęcia odstąpienia."
"Art. 16(d) Perishable Goods","Art. 16 lit. d) towary szybko psujące się"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Wyłącza towary, które mogą szybko się zepsuć lub stracić ważność (świeża żywność, cięte kwiaty, farmaceutyki o krótkim terminie ważności). <strong>Wymaga</strong> atrybutu produktu <code>is_perishable = true</code>. Nie włączaj dla wszystkich kategorii — stosuj wyłącznie do faktycznie szybko psujących się SKU, w przeciwnym razie bezprawnie odrzucisz uzasadnione odstąpienia."
"Art. 16(e) Sealed Hygiene / Health","Art. 16 lit. e) zapieczętowane towary higieniczne / zdrowotne"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Wyłącza zapieczętowane towary higieniczne lub zdrowotne <strong>tylko jeśli plomba została naruszona po dostawie</strong> (kosmetyki, bielizna osobista, zapieczętowane wyroby medyczne). <strong>Wymaga</strong> atrybutu produktu <code>is_sealed_hygiene = true</code>. Wyłączenie zależy od kontroli plomby w momencie odstąpienia (przepływ w fazie 4) — zapieczętowany, nieotwarty zwrot pozostaje kwalifikowany."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16 lit. i) zapieczętowane audio / wideo / oprogramowanie"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Wyłącza zapieczętowane nagrania audio, nagrania wideo lub zapieczętowane oprogramowanie komputerowe <strong>tylko jeśli plomba została naruszona po dostawie</strong>. <strong>Wymaga</strong> atrybutu produktu <code>is_sealed_av = true</code>. Ta sama logika kontroli plomby co art. 16 lit. e). Nie dotyczy treści przesyłanych strumieniowo / pobieranych cyfrowo — dla nich użyj art. 16 lit. m)."
"Digital Content (Art. 16(m))","Treści cyfrowe (art. 16 lit. m)"
"Detection","Wykrywanie"
"Enable Digital Content Detection","Włącz wykrywanie treści cyfrowych"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Główny przełącznik wykrywania treści cyfrowych z art. 16 lit. m). Gdy wyłączony, żaden produkt nie jest rozpoznawany jako cyfrowy, krok zgody w kasie nie jest wymagany, a predefiniowana reguła zawsze dopuszcza odstąpienie."
"Detection Strategies","Strategie wykrywania"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Które heurystyki typu produktu uruchamiają bramę zgody na treści cyfrowe. Downloadable + virtual to bezpieczne ustawienia domyślne; bundle_contains_digital sprawdza dzieci zestawu; custom_attribute odczytuje flagę EAV skonfigurowaną poniżej."
"Custom Attribute Code","Kod atrybutu niestandardowego"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Kod atrybutu EAV używany <strong>wyłącznie</strong>, gdy w <em>Strategiach wykrywania</em> powyżej wybrano <em>Flagę atrybutu niestandardowego</em>. Domyślnie: <code>is_digital_content</code> (atrybut boolean, 1 = cyfrowy). W innym przypadku ignorowany."
"Checkout Step + Email","Krok kasy + e-mail"
"Enable Checkout Waiver Step","Włącz krok zgody w kasie"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Gdy włączony, koszyki zawierające wykrytą pozycję cyfrową wyświetlają w kasie krok zgody z 2 polami wyboru. Nie działa, jeśli nie jest również włączone <em>Wykrywanie → Włącz wykrywanie treści cyfrowych</em>."
"Merchant BCC Address for Confirmation Emails","Adres BCC sprzedawcy dla e-maili potwierdzających"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcjonalnie. Wysyła ukrytą kopię e-maila potwierdzającego zgodę na adres audytowy sprzedawcy. Pozostaw puste, aby pominąć."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Oznacz pozycje wyłącznie wirtualne jako rozpoczęte przy potwierdzeniu"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Produkty wirtualne nie mają wyzwalacza pobierania. Gdy włączone, wysłanie e-maila potwierdzającego zgodę liczy się jako rozpoczęcie świadczenia dla pozycji wyłącznie wirtualnych (granica I-6)."
"Confirmation Email Identity","Tożsamość e-maila potwierdzającego"
"Per-Locale Waiver Text Overrides","Nadpisania tekstu zgody dla poszczególnych języków"
"English (en_US)","Angielski (en_US)"
"Consent Text","Tekst zgody"
"Right-Loss Acknowledgment Text","Tekst potwierdzenia utraty prawa"
"German (de_DE)","Niemiecki (de_DE)"
"Finnish (fi_FI)","Fiński (fi_FI)"
"Dutch (nl_NL)","Niderlandzki (nl_NL)"
"French (fr_FR)","Francuski (fr_FR)"
"Italian (it_IT)","Włoski (it_IT)"
"Spanish (es_ES)","Hiszpański (es_ES)"
"Polish (pl_PL)","Polski (pl_PL)"
"Portuguese (pt_PT)","Portugalski (pt_PT)"
"Danish (da_DK)","Duński (da_DK)"
"Swedish (sv_SE)","Szwedzki (sv_SE)"
"German — Austria (de_AT)","Niemiecki — Austria (de_AT)"
"Swedish — Finland (sv_FI)","Szwedzki — Finlandia (sv_FI)"
"Dutch — Belgium (nl_BE)","Niderlandzki — Belgia (nl_BE)"
"French — Belgium (fr_BE)","Francuski — Belgia (fr_BE)"
"German — Belgium (de_BE)","Niemiecki — Belgia (de_BE)"
"French — Luxembourg (fr_LU)","Francuski — Luksemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Informacje przedumowne (art. 6 ust. 1 lit. h)"
"Enable Pre-Contract Disclosure","Włącz informację przedumowną"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Główny wyłącznik awaryjny. Wyłączone = blok nie jest renderowany i nie są rejestrowane zdarzenia wyświetlenia. Wyłączenie naraża sprzedawcę na art. 10 (przedłużony termin odstąpienia: 12 miesięcy + 14 dni). Domyślnie: włączone."
"Withdrawal Period (Days)","Okres odstąpienia (dni)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Domyślnie 14 dni zgodnie z art. 9 ust. 2. Wydłużenie dozwolone (np. 30, 100). Skrócenie poniżej 14 jest niezgodne z prawem — pole jest walidowane na >=14 tylko gdy moduł jest włączony."
"Return Address","Adres do zwrotu"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Adres, na który konsumenci odsyłają towary. Pozostaw puste, aby użyć adresu ze Sklepy → Konfiguracja → Ogólne → Ogólne → Informacje o sklepie."
"Display In Checkout","Wyświetlaj w kasie"
"Annex I Overrides Per Locale","Nadpisania załącznika I dla poszczególnych języków"
"Bulgarian (bg_BG)","Bułgarski (bg_BG)"
"Czech (cs_CZ)","Czeski (cs_CZ)"
"Greek (el_GR)","Grecki (el_GR)"
"Estonian (et_EE)","Estoński (et_EE)"
"Croatian (hr_HR)","Chorwacki (hr_HR)"
"Hungarian (hu_HU)","Węgierski (hu_HU)"
"Lithuanian (lt_LT)","Litewski (lt_LT)"
"Latvian (lv_LV)","Łotewski (lv_LV)"
"Romanian (ro_RO)","Rumuński (ro_RO)"
"Slovak (sk_SK)","Słowacki (sk_SK)"
"Slovenian (sl_SI)","Słoweński (sl_SI)"
"Frontend","Frontend"
"Buttons","Przyciski"
"Step 1 Button Label","Etykieta przycisku kroku 1"
"Step 2 Button Label (Confirmation)","Etykieta przycisku kroku 2 (potwierdzenie)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Ostrzeżenie prawne (luka #4).</strong> To jest etykieta końcowego przycisku potwierdzenia. Wartość domyślna („Potwierdź odstąpienie”) jest zatwierdzona przez prawników. Per-locale translations are counsel-signed. Nadpisuj wyłącznie po uzyskaniu pisemnej opinii prawnej; nadpisania są rejestrowane w dzienniku audytu."
"Placements","Umiejscowienia"
"Show Footer Link","Pokaż link w stopce"
"Show in My Account","Pokaż w Moim koncie"
"Return Reasons","Powody zwrotu"
"Reasons","Powody"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lista powodów oferowanych klientowi w rozwijanym menu przy każdej pozycji. <strong>Kod</strong> to wartość maszynowa zapisywana w bazie (małe litery, snake_case, maks. 32 znaki); <strong>Etykieta</strong> to widoczny tekst. Pusta siatka całkowicie ukrywa rozwijane menu."
"Enable ""Other"" with Free Text","Włącz „Inne” z dowolnym tekstem"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Po włączeniu w rozwijanym menu pojawi się opcja „Inne”, która ujawnia pole dowolnego tekstu (maks. 500 znaków)."
"Review Step","Krok przeglądu"
"Return Shipping Notice","Informacja o wysyłce zwrotnej"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tekst wyświetlany na kroku „Sprawdź i potwierdź” (krok 3). Przykład: „W e-mailu potwierdzającym otrzymasz opłaconą etykietę wysyłkową.” lub „Koszty wysyłki zwrotnej pokrywa klient.” Pozostaw puste, aby ukryć wiersz."
"Return Policy URL","URL polityki zwrotów"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Opcjonalny link wyświetlany obok informacji o wysyłce („Zobacz politykę zwrotów”). Akceptuje pełne adresy URL lub ścieżki względne, np. „return-policy”."
"Customer Notifications","Powiadomienia dla klientów"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Wszystkie e-maile do klientów wysyłane przez moduł. Każdy e-mail można włączyć/wyłączyć, przypisać niestandardowy szablon (Marketing → Szablony e-maili) oraz wysłać ukrytą kopię (BCC) na adres sprzedawcy. Wspólna podgrupa <em>Branding</em> u dołu kontroluje układ (pasek USP, linki społecznościowe) używany przez każdy z poniższych e-maili."
"1. Submission Confirmation Email","1. E-mail z potwierdzeniem złożenia"
"Enabled","Włączone"
"Email Template","Szablon e-maila"
"BCC Merchant","Ukryta kopia do sprzedawcy (BCC)"
"Comma-separated. Leave blank to disable.","Oddzielone przecinkami. Pozostaw puste, aby wyłączyć."
"2. Approval Email","2. E-mail o zatwierdzeniu"
"3. Denial Email","3. E-mail o odmowie"
"4. Cancellation Email (Admin-Initiated)","4. E-mail o anulowaniu (z inicjatywy administratora)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail o anulowaniu (anulowanie przez klienta)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail z potwierdzeniem (trwały nośnik — art. 11a ust. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Prawnie wymagane potwierdzenie na trwałym nośniku. Nie można go całkowicie wyłączyć (art. 11a ust. 4 dyrektywy 2011/83/UE). Wyłączenie tutaj zatrzymuje jedynie wysyłkę — potwierdzenie jest nadal generowane i przechowywane."
"Send Email","Wyślij e-mail"
"Comma-separated.","Oddzielone przecinkami."
"Delivery Retry Attempts","Próby ponownej dostawy"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Odbiorca alertu DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Powiadamiany, gdy wysyłka potwierdzenia nie powiedzie się trwale. W braku ustawienia używany jest Adres e-mail sklepu → Kontakt ogólny."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail z potwierdzeniem cyfrowej zgody (art. 11a ust. 4)"
