"View Credit Memo","Näytä hyvityslasku"
"Your express consent","Nimenomainen suostumuksesi"
"Consented at:","Suostuttu:"
"Your acknowledgment of loss of withdrawal right","Vahvistuksesi peruuttamisoikeuden menettämisestä"
"Acknowledged at:","Vahvistettu:"
"Waiver reference:","Suostumuksen viite:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Oikeusperusta: Art. 16(m) kuluttajan oikeuksia koskeva direktiivi 2011/83/EU."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id"
"Hyvä %name,","Hyvä %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16)."
"Luopumisen kattamat digitaaliset sisällöt","Luopumisen kattamat digitaaliset sisällöt"
"Nimenomainen suostumuksesi","Nimenomainen suostumuksesi"
"Suostuttu:","Suostuttu:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Vahvistuksesi peruuttamisoikeuden menettämisestä"
"Vahvistettu:","Vahvistettu:"
"Luopumisen viite:","Luopumisen viite:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id"
"Cher/Chère %name,","Hyvä %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Tämä on pysyvällä tallennusalustalla annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että näin tekemällä menetät peruuttamisoikeutesi (Ranskan kuluttajansuojalain L. 221-28 §)."
"Contenus numériques couverts par la présente renonciation","Tämän luopumisen kattamat digitaaliset sisällöt"
"Votre consentement exprès","Nimenomainen suostumuksesi"
"Consenti le :","Suostuttu:"
"Votre reconnaissance de la perte du droit de rétractation","Vahvistuksesi peruuttamisoikeuden menettämisestä"
"Reconnu le :","Vahvistettu:"
"Référence de renonciation :","Luopumisen viite:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Oikeusperusta: Ranskan kuluttajansuojalain L. 221-28 § / direktiivin 2011/83/EU 16 artiklan m alakohta."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id"
"Beste %name,","Hyvä %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Tämä on pysyvällä tallennusalustalla annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavan digitaalisen sisällön toimitus sekä vahvistuksestasi, että näin tekemällä menetät peruuttamisoikeutesi (Alankomaiden siviililain 6:230s §)."
"Onder deze afstand vallende digitale items","Tämän luopumisen kattamat digitaaliset tuotteet"
"Uw uitdrukkelijke toestemming","Nimenomainen suostumuksesi"
"Toestemming verleend op:","Suostuttu:"
"Uw erkenning van verlies van herroepingsrecht","Vahvistuksesi peruuttamisoikeuden menettämisestä"
"Erkend op:","Vahvistettu:"
"Afstandreferentie:","Luopumisen viite:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Oikeusperusta: Alankomaiden siviililain 6:230s § / direktiivin 2011/83/EU 16 artiklan m alakohta."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Kuitin lähetys epäonnistui — pyyntö #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Peruutuspyynnön #%request_id kuittisähköpostin lähetys on epäonnistunut pysyvästi."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Tarkista viimeisin virheviesti sarakkeesta <code>mm_eu_withdrawal_request.receipt_last_error</code> ja uudelleenyritysten määrä sarakkeesta <code>mm_eu_withdrawal_request.receipt_send_attempts</code>."
"You can requeue the send from the admin grid after resolving the underlying issue.","Voit asettaa lähetyksen takaisin jonoon ylläpidon hallintatauluksesta, kun perimmäinen ongelma on ratkaistu."
"Your refund is on its way — Withdrawal #%1","Hyvityksesi on tulossa — Peruutus #%1"
"Your refund is on its way","Hyvityksesi on tulossa"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hei %name, olemme hyväksyneet peruutuspyyntösi ja käynnistäneet hyvityksen."
"View refund details","Näytä hyvityksen tiedot"
"Withdrawal number","Peruutuksen numero"
"Approved on","Hyväksytty"
"Estimated arrival","Arvioitu saapuminen"
"Status","Tila"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Hyvitys palautetaan alkuperäiselle maksutavallesi 5–7 pankkipäivän kuluessa. Näet sen kortti- tai tiliotteellasi heti, kun se on kirjautunut."
"Need help?","Tarvitsetko apua?"
"Reply to this email or contact us at","Vastaa tähän sähköpostiin tai ota yhteyttä osoitteeseen"
"Your withdrawal was cancelled — Withdrawal #%1","Peruutuksesi on peruttu — Peruutus #%1"
"Your withdrawal was cancelled","Peruutuksesi peruutettiin"
"Hi %name, we've cancelled your withdrawal request.","Hei %name, olemme peruneet peruutuspyyntösi."
"Submit a new request","Lähetä uusi pyyntö"
"Cancelled request","Peruutettu pyyntö"
"Cancelled on","Peruutettu"
"Refund requested","Hyvitystä pyydetty"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Jos tämä tuli yllätyksenä, voit lähettää uuden peruutuspyynnön niin kauan kuin %period_days päivän peruuttamisaikasi on voimassa. Ota yhteyttä, jos tarvitset apua — autamme mielellämme."
"Cancellation confirmed — Withdrawal #%1","Peruutus vahvistettu — Peruutus #%1"
"Cancellation confirmed","Peruutus vahvistettu"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hei %name, peruutuspyyntösi on peruttu pyyntösi mukaisesti."
"Back to my orders","Takaisin tilauksiini"
"Cancelled by","Peruuttaja"
"You","Sinä"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Tilauksesi pysyy voimassa, eikä sinun tarvitse tehdä mitään muuta. Jos muutat mielesi, voit aloittaa uuden peruutuspyynnön milloin tahansa %period_days päivän peruuttamisaikasi sisällä."
"Update on your withdrawal request — Withdrawal #%1","Päivitys peruutuspyyntöösi — Peruutus #%1"
"We can't process this withdrawal","Emme voi käsitellä tätä peruutusta"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hei %name, peruutuspyyntösi käsittelyn jälkeen emme valitettavasti voi hyväksyä sitä."
"Request details","Pyynnön tiedot"
"Reviewed on","Tarkistettu"
"Decision","Päätös"
"Reason from our team","Tiimimme peruste"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Jos haluat keskustella päätöksestä, tiimimme auttaa mielellään. Vastaa tähän viestiin tai käytä yllä olevaa painiketta."
"Your withdrawal request has been submitted — Order #%1","Peruutuspyyntösi on lähetetty — Tilaus #%1"
"Your return request has been submitted","Palautuspyyntösi on lähetetty"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hei %name, olemme vastaanottaneet palautuspyyntösi ja käsittelemme sitä parhaillaan. Saat meiltä viestin, kun palautuksesi on tarkastettu ja hyvitys käsitelty."
"Return number","Palautusnumero"
"Requested on","Pyydetty"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Tarkastamme palautuksesi ja ilmoitamme, kun se on hyväksytty. Hyvitykset palautetaan alkuperäiselle maksutavallesi 5–7 pankkipäivän kuluessa hyväksynnästä."
"If you have any questions, our customer service team is here to help.","Jos sinulla on kysymyksiä, asiakaspalvelumme auttaa mielellään."
"Visit our help center","Käy ohjekeskuksessamme"
"If you did not initiate this request, contact us immediately at","Jos et lähettänyt tätä pyyntöä, ota välittömästi yhteyttä osoitteeseen"
"Withdrawal receipt — Order #%1","Peruutuskuitti — Tilaus #%1"
"Withdrawal receipt","Peruutuskuitti"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hei %name, tämä viesti on todistus peruutuksestasi pysyvällä tallennusalustalla Art. 11a direktiivi 2011/83/EU mukaisesti. Säilytä se omia arkistojasi varten."
"Submitted on","Lähetetty"
"Your %store_name order confirmation","Tilausvahvistuksesi kaupasta %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Kiitos tilauksestasi kaupassa %store_name."
"Once your package ships we will send you a tracking number.","Kun pakettisi on lähetetty, lähetämme sinulle seurantanumeron."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Voit tarkistaa tilauksesi tilan <a href=""%account_url"">kirjautumalla tilillesi</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jos sinulla on kysymyksiä tilauksestasi, voit lähettää sähköpostia osoitteeseen <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","tai soittaa numeroon <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Aukioloaikamme ovat <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Tilauksesi <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tehty <span class=""no-link"">%created_at</span>"
"Billing Info","Laskutustiedot"
"Shipping Info","Toimitustiedot"
"Payment Method","Maksutapa"
"Shipping Method","Toimitustapa"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Kun pakettisi on lähetetty, lähetämme sähköpostiviestin, jossa on linkki tilauksesi seuraamiseen."
"Your %store_name order has shipped","Tilauksesi kaupasta %store_name on lähetetty"
"Your shipping confirmation is below. Thank you again for your business.","Toimitusvahvistuksesi on alla. Kiitos vielä kerran asioinnistasi."
"Your Shipment #%shipment_id for Order #%order_id","Toimituksesi #%shipment_id tilauksesta #%order_id"
"Your digital content waiver is on file","Digitaalisen sisällön suostumuksesi on rekisteröity"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hei %name, olet antanut suostumuksesi alla olevien tuotteiden välittömään digitaaliseen toimitukseen — tämä on suostumuksesi kopio pysyvällä tallennusalustalla (Art. 11a(4) CRD)."
"View order","Näytä tilaus"
"Consented at","Suostuttu"
"Acknowledged at","Vahvistettu"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Säilytä tämä viesti dokumenttina pysyvällä tallennusalustalla. Myyjä on tallentanut hyväksymäsi juridisen tekstin SHA-256-tiivisteen:"
"Digital content waiver","Digitaalisen sisällön luopumislauseke"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Tarvitsemme nimenomaisen suostumuksesi, ennen kuin voit ostaa tämän digitaalisen tuotteen — lue molemmat kohdat huolellisesti."
"We log this consent with your IP and timestamp for our audit record.","Tallennamme tämän suostumuksen IP-osoitteesi ja aikaleimasi kanssa tarkastuskirjanpitoamme varten."
"Continue","Jatka"
"Waiver could not be saved. Please retry.","Suostumusta ei voitu tallentaa. Yritä uudelleen."
"Enable for EU Withdrawal Lookup Form","Ota käyttöön EU-peruutusoikeuden hakulomakkeessa"
"MageMe Extensions","MageMe-laajennukset"
"EU Withdrawal","EU:n peruutusoikeus"
"General","Yleinen"
"Enable Module","Ota moduuli käyttöön"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivoi verkkokauppanäkymän ja cron-tehtävät. Oletus: pois käytöstä. Suorita manuaalisen käyttöönoton tarkistuslista ennen käyttöönottoa."
"Request Number Prefix","Pyyntönumeron etuliite"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Valinnainen etuliite, joka lisätään peruutuspyynnön kasvavaan tunnukseen asiakkaalle näkyvässä käyttöliittymässä (esim. ""RR-"" näkyy muodossa ""RR-000000022""). Jätä tyhjäksi näyttääksesi pelkän nollatäytteisen numeron."
"Default Contract Type","Sopimuksen oletustyyppi"
"Frontend Route","Verkkokauppanäkymän reitti"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-etuliite, jota asiakkaalle näkyvä peruutusprosessi käyttää (esim. <code>withdraw-contract</code> renderöityy muotoon <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Peruutusaika"
"Delivery Confirmation Statuses","Toimitusvahvistuksen tilat"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Valitse yksi tai useampi tilauksen tila, jonka <em>siirtymä</em> tarkoittaa, että asiakas on vastaanottanut tavarat tilausprosessissasi. 14 päivän peruuttamisaika alkaa tilauksen <em>aikaisimmasta</em> siirtymästä <em>mihin tahansa</em> valittuun tilaan (direktiivin 2011/83/EU 9 artiklan 2 kohdan b alakohta). Monivalinta tukee kauppiaita, jotka käyttävät useita ”toimitettu”-tyyppisiä tiloja (esim. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Kunnes tilaus saavuttaa jonkin niistä, peruuttamisoikeus on auki ilman määräaikaa."
"Eligibility Rules (Art. 16 CRD Presets)","Soveltuvuussäännöt (CRD:n 16 art. esiasetukset)"
"Art. 16(c) Custom-Made Goods","16 art. c kohta: Tilauksesta valmistetut tuotteet"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Sulkee pois asiakkaan eritelmien mukaan valmistetut tai selkeästi personoidut tuotteet (esim. kaiverretut korut, mittatilausvaatteet). <strong>Vaatii</strong> tuotteen määritteen <code>is_custom_made = true</code>. Kun käytössä, tällaisia tuotteita sisältäviä tilauksia ei voi peruuttaa — asiakkaat näkevät tämän yrittäessään aloittaa peruutusta."
"Art. 16(d) Perishable Goods","16 art. d kohta: Pilaantuvat tuotteet"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Sulkee pois tavarat, jotka voivat pilaantua tai vanhentua nopeasti (tuoreet elintarvikkeet, leikkokukat, lyhyen säilyvyysajan lääkkeet). <strong>Vaatii</strong> tuotteen määritteen <code>is_perishable = true</code>. Älä ota käyttöön kaikille kategorioille — sovella vain todellisesti pilaantuviin SKU:ihin, muuten kiellät lainvastaisesti pätevät peruutukset."
"Art. 16(e) Sealed Hygiene / Health","16 art. e kohta: Suljetut hygienia-/terveystuotteet"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Sulkee pois suljetut hygienia- tai terveystuotteet <strong>vain jos sinetti on rikottu toimituksen jälkeen</strong> (kosmetiikka, intiimivaatteet, suljetut lääkintätarvikkeet). <strong>Vaatii</strong> tuotteen määritteen <code>is_sealed_hygiene = true</code>. Poissulkeminen riippuu peruutushetkellä tehtävästä sinetin tarkistuksesta (työnkulku vaiheessa 04) — suljettu, avaamaton palautus on edelleen kelpoinen."
"Art. 16(i) Sealed Audio / Video / Software","16 art. i kohta: Suljetut ääni-/video-/ohjelmistotallenteet"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Sulkee pois suljetut äänitallenteet, videotallenteet tai suljetut tietokoneohjelmistot <strong>vain jos sinetti on rikottu toimituksen jälkeen</strong>. <strong>Vaatii</strong> tuotteen määritteen <code>is_sealed_av = true</code>. Sama sinetin tarkistuslogiikka kuin 16 artiklan e alakohdassa. Ei sovelleta suoratoisto- tai digitaalisesti ladattavaan sisältöön — käytä niihin 16 artiklan m alakohtaa."
"Digital Content (Art. 16(m))","Digitaalinen sisältö (16 art. m kohta)"
"Detection","Tunnistus"
"Enable Digital Content Detection","Ota digitaalisen sisällön tunnistus käyttöön"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Pääkytkin 16 artiklan m alakohdan mukaiselle digitaalisen sisällön tunnistukselle. Kun pois käytöstä, mitään tuotetta ei tunnisteta digitaaliseksi, kassan suostumusvaihetta ei vaadita, ja esiasetus sallii aina peruutuksen."
"Detection Strategies","Tunnistusstrategiat"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Mitkä tuotetyyppiheuristiikat laukaisevat digitaalisen sisällön suostumusportin. Downloadable + virtual ovat turvalliset oletukset; bundle_contains_digital tarkistaa pakettituotteen lapset; custom_attribute lukee alla määritetyn EAV-lipun."
"Custom Attribute Code","Mukautetun määritteen koodi"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-määritteen koodi, jota käytetään <strong>vain</strong>, kun yllä olevasta <em>Tunnistusstrategiat</em>-asetuksesta on valittu <em>Mukautettu määriteliputus</em>. Oletus: <code>is_digital_content</code> (boolean-määrite, 1 = digitaalinen). Muutoin ohitetaan."
"Checkout Step + Email","Kassavaihe ja sähköposti"
"Enable Checkout Waiver Step","Ota kassan suostumusvaihe käyttöön"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Kun käytössä, ostoskorit, jotka sisältävät tunnistetun digitaalisen tuotteen, näyttävät kassalla 2-valintaruudun suostumusvaiheen. Ei vaikuta, ellei myös <em>Tunnistus → Ota digitaalisen sisällön tunnistus käyttöön</em> ole päällä."
"Merchant BCC Address for Confirmation Emails","Kauppiaan piilokopio-osoite vahvistussähköposteille"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valinnainen. Lähettää piilokopion suostumusvahvistussähköpostista kauppiaan tarkastusosoitteeseen. Jätä tyhjäksi ohittaaksesi."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Merkitse pelkästään virtuaaliset tuotteet suoritus aloitettu -tilaan vahvistuksen yhteydessä"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuaalituotteilla ei ole latausherätettä. Kun käytössä, suostumusvahvistussähköpostin lähetys lasketaan toimituksen aloittamiseksi pelkästään virtuaalisille tuotteille (I-6-raja)."
"Confirmation Email Identity","Vahvistussähköpostin lähettäjä"
"Per-Locale Waiver Text Overrides","Suostumustekstin ohitukset kielen mukaan"
"English (en_US)","Englanti (en_US)"
"Consent Text","Suostumusteksti"
"Right-Loss Acknowledgment Text","Oikeuden menettämisen vahvistusteksti"
"German (de_DE)","Saksa (de_DE)"
"Finnish (fi_FI)","Suomi (fi_FI)"
"Dutch (nl_NL)","Hollanti (nl_NL)"
"French (fr_FR)","Ranska (fr_FR)"
"Italian (it_IT)","Italia (it_IT)"
"Spanish (es_ES)","Espanja (es_ES)"
"Polish (pl_PL)","Puola (pl_PL)"
"Portuguese (pt_PT)","Portugali (pt_PT)"
"Danish (da_DK)","Tanska (da_DK)"
"Swedish (sv_SE)","Ruotsi (sv_SE)"
"German — Austria (de_AT)","Saksa — Itävalta (de_AT)"
"Swedish — Finland (sv_FI)","Ruotsi — Suomi (sv_FI)"
"Dutch — Belgium (nl_BE)","Hollanti — Belgia (nl_BE)"
"French — Belgium (fr_BE)","Ranska — Belgia (fr_BE)"
"German — Belgium (de_BE)","Saksa — Belgia (de_BE)"
"French — Luxembourg (fr_LU)","Ranska — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Ennakkotiedot (6 art. 1 kohdan h alakohta)"
"Enable Pre-Contract Disclosure","Ota ennakkotiedot käyttöön"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Pää-katkaisin. Pois käytöstä = lohkoa ei renderöidä eikä näyttötapahtumia kirjata. Käytöstä poistaminen altistaa kauppiaan 10 artiklalle (12 kuukauden + 14 päivän pidennetty peruutusaika). Oletus: käytössä."
"Withdrawal Period (Days)","Peruutusaika (päivää)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Oletuksena 14 päivää 9 artiklan 2 kohdan mukaisesti. Pidennys sallittu (esim. 30, 100). Lyhentäminen alle 14 päivän on lainvastaista — kenttä validoi >=14 vain, kun moduuli on käytössä."
"Return Address","Palautusosoite"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Mihin kuluttajat lähettävät tavarat takaisin. Jätä tyhjäksi käyttääksesi varalla osoitetta kohdasta Kaupat → Asetukset → Yleiset → Yleiset → Kaupan tiedot."
"Display In Checkout","Näytä kassalla"
"Annex I Overrides Per Locale","Liitteen I ohitukset kielen mukaan"
"Bulgarian (bg_BG)","Bulgaria (bg_BG)"
"Czech (cs_CZ)","Tšekki (cs_CZ)"
"Greek (el_GR)","Kreikka (el_GR)"
"Estonian (et_EE)","Viro (et_EE)"
"Croatian (hr_HR)","Kroatia (hr_HR)"
"Hungarian (hu_HU)","Unkari (hu_HU)"
"Lithuanian (lt_LT)","Liettua (lt_LT)"
"Latvian (lv_LV)","Latvia (lv_LV)"
"Romanian (ro_RO)","Romania (ro_RO)"
"Slovak (sk_SK)","Slovakia (sk_SK)"
"Slovenian (sl_SI)","Sloveeni (sl_SI)"
"Frontend","Verkkokauppanäkymä"
"Buttons","Painikkeet"
"Step 1 Button Label","Vaiheen 1 painikkeen teksti"
"Step 2 Button Label (Confirmation)","Vaiheen 2 painikkeen teksti (vahvistus)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Oikeudellinen varoitus (puute #4).</strong> Tämä on lopullisen vahvistuspainikkeen teksti. Oletus (”Vahvista peruutus”) on lakimiehen vahvistama. Per-locale translations are counsel-signed. Ohita vain kirjallisella oikeudellisella neuvolla; ohitukset kirjataan tarkastuslokiin."
"Placements","Sijoittelu"
"Show Footer Link","Näytä alatunnisteen linkki"
"Show in My Account","Näytä Oma tili -sivulla"
"Return Reasons","Palautuksen syyt"
"Reasons","Syyt"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Luettelo syistä, jotka asiakkaalle tarjotaan tuotekohtaisessa pudotusvalikossa. <strong>Koodi</strong> on tietokantaan tallennettu konearvo (pienet kirjaimet, snake_case, enint. 32 merkkiä); <strong>Otsikko</strong> on näkyvä teksti. Tyhjä taulukko piilottaa pudotusvalikon kokonaan."
"Enable ""Other"" with Free Text","Ota käyttöön ”Muu” vapaalla tekstikentällä"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Kun käytössä, pudotusvalikkoon tulee ”Muu”-vaihtoehto, joka tuo esiin vapaan tekstikentän (enint. 500 merkkiä)."
"Review Step","Tarkistusvaihe"
"Return Shipping Notice","Palautustoimituksen ohje"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tarkista ja vahvista -vaiheessa (vaihe 3) näytettävä teksti. Esimerkki: ”Saat vahvistussähköpostiin esimaksetun lähetystarran.” tai ”Asiakas maksaa palautustoimituksen kulut.” Jätä tyhjäksi piilottaaksesi rivin."
"Return Policy URL","Palautuskäytännön URL"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Valinnainen linkki, joka näytetään toimitusilmoituksen vieressä (”Näytä palautuskäytäntö”). Hyväksyy absoluuttiset URL-osoitteet tai suhteelliset polut kuten ”return-policy”."
"Customer Notifications","Asiakasilmoitukset"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Kaikki moduulin lähettämät asiakkaalle näkyvät sähköpostit. Jokainen sähköposti voidaan ottaa käyttöön / poistaa käytöstä, määrittää sille mukautettu malli (Markkinointi → Sähköpostimallit) ja lisätä piilokopio kauppiaan osoitteeseen. Alaosassa oleva yhteinen <em>Brändäys</em>-alaryhmä ohjaa jokaisen alla olevan sähköpostin asettelua (USP-palkki, sosiaalisen median linkit)."
"1. Submission Confirmation Email","1. Lähetyksen vahvistussähköposti"
"Enabled","Käytössä"
"Email Template","Sähköpostimalli"
"BCC Merchant","Piilokopio kauppiaalle"
"Comma-separated. Leave blank to disable.","Pilkulla erotettuna. Jätä tyhjäksi poistaaksesi käytöstä."
"2. Approval Email","2. Hyväksyntäsähköposti"
"3. Denial Email","3. Hylkäyssähköposti"
"4. Cancellation Email (Admin-Initiated)","4. Peruutussähköposti (ylläpitäjän käynnistämä)"
"5. Cancellation Email (Customer Self-Cancel)","5. Peruutussähköposti (asiakkaan oma peruutus)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Kuittisähköposti (pysyvä tallennusväline — 11a artiklan 4 kohta)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Lakisääteinen pysyvällä tallennusalustalla annettava vahvistus. Ei voi poistaa kokonaan käytöstä (direktiivin 2011/83/EU 11a artiklan 4 kohta). Käytöstä poistaminen täällä pysäyttää vain lähettäjän — kuitti luodaan ja tallennetaan silti."
"Send Email","Lähetä sähköposti"
"Comma-separated.","Pilkulla erotettuna."
"Delivery Retry Attempts","Toimituksen uudelleenyritysten määrä"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","DLQ-hälytysten vastaanottaja"
