"View Credit Memo","Ogled dobropisa"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","To je potrditev na trajnem nosilcu o vašem izrecnem soglasju za začetek izvajanja naslednjih digitalnih vsebin in vašem priznanju, da s tem izgubite pravico do odstopa (Čl. 16(m) Direktiva 2011/83/EU)."
"Contenus numériques couverts par la présente renonciation","Digitalne vsebine, ki jih zajema ta odpoved"
"Votre consentement exprès","Vaše izrecno soglasje"
"Consenti le :","Soglasje dano:"
"Votre reconnaissance de la perte du droit de rétractation","Vaše priznanje izgube pravice do odstopa"
"Reconnu le :","Priznano:"
"Référence de renonciation :","Referenca odpovedi:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Pravna podlaga: Čl. 16(m) Direktiva 2011/83/EU o pravicah potrošnikov."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Potrditev odpovedi pri digitalni vsebini — Naročilo %increment_id"
"Beste %name,","Spoštovani %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","To je potrditev na trajnem nosilcu o vašem izrecnem soglasju za začetek dobave naslednje digitalne vsebine in vašem priznanju, da s tem izgubite pravico do odstopa (Čl. 16(m) Direktiva 2011/83/EU)."
"Onder deze afstand vallende digitale items","Digitalni izdelki, ki jih zajema ta odpoved"
"Uw uitdrukkelijke toestemming","Vaše izrecno soglasje"
"Toestemming verleend op:","Soglasje dano:"
"Uw erkenning van verlies van herroepingsrecht","Vaše priznanje izgube pravice do odstopa"
"Erkend op:","Priznano:"
"Afstandreferentie:","Referenca odpovedi:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Pravna podlaga: Čl. 16(m) Direktiva 2011/83/EU o pravicah potrošnikov."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU pravica do odstopa] Pošiljanje potrdila ni uspelo — zahteva #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-pošte s potrdilom za zahtevo za odstop #%request_id trajno ni bilo mogoče poslati."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","V stolpcu <code>mm_eu_withdrawal_request.receipt_last_error</code> preverite zadnje sporočilo o napaki, v stolpcu <code>mm_eu_withdrawal_request.receipt_send_attempts</code> pa število poskusov."
"You can requeue the send from the admin grid after resolving the underlying issue.","Po odpravi osnovne težave lahko ponovno pošiljanje sprožite iz skrbniške mreže."
"Your refund is on its way — Withdrawal #%1","Tvoje vračilo je na poti — Odstop #%1"
"Your refund is on its way","Tvoje vračilo je na poti"
"Hi %name, we've approved your withdrawal request and started the refund process.","Pozdravljen, %name, odobrili smo tvojo zahtevo za odstop in začeli postopek vračila."
"View refund details","Oglej si podrobnosti vračila"
"Withdrawal number","Številka odstopa"
"Approved on","Odobreno"
"Estimated arrival","Predvideno prispetje"
"Status","Stanje"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Vračilo bo izvedeno na tvoj prvotni način plačila v 5–7 delovnih dneh. Ko bo nakazano, ga boš videl/a na izpisku kartice ali bančnega računa."
"Need help?","Potrebuješ pomoč?"
"Reply to this email or contact us at","Odgovori na to e-pošto ali nas kontaktiraj na"
"Your withdrawal was cancelled — Withdrawal #%1","Tvoj odstop je bil preklican — Odstop #%1"
"Your withdrawal was cancelled","Tvoj odstop je bil preklican"
"Hi %name, we've cancelled your withdrawal request.","Pozdravljen, %name, preklicali smo tvojo zahtevo za odstop."
"Submit a new request","Oddaj novo zahtevo"
"Cancelled request","Preklicana zahteva"
"Cancelled on","Preklicano"
"Refund requested","Zahtevano vračilo"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Če je bilo to nepričakovano, lahko oddaš novo zahtevo za odstop, dokler je tvoje 14-dnevno obdobje še odprto. Obrni se na nas, če potrebuješ pomoč — z veseljem ti pojasnimo."
"Cancellation confirmed — Withdrawal #%1","Preklic potrjen — Odstop #%1"
"Cancellation confirmed","Preklic potrjen"
"Hi %name, your withdrawal request has been cancelled as you asked.","Pozdravljen, %name, tvoja zahteva za odstop je bila preklicana, kot si želel/a."
"Back to my orders","Nazaj na moja naročila"
"Cancelled by","Preklical"
"You","Vi"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Tvoje naročilo ostaja aktivno in nadaljnji ukrepi niso potrebni. Če si premisliš, lahko kadar koli v svojem 14-dnevnem obdobju začneš novo zahtevo za odstop."
"Update on your withdrawal request — Withdrawal #%1","Posodobitev tvoje zahteve za odstop — Odstop #%1"
"We can't process this withdrawal","Tega odstopa ne moremo obdelati"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Pozdravljen, %name, po pregledu tvoje zahteve za odstop je ne moremo odobriti."
"Request details","Podrobnosti zahteve"
"Reviewed on","Pregledano"
"Decision","Odločitev"
"Reason from our team","Obrazložitev naše ekipe"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Če želiš o tej odločitvi razpravljati, ti naša ekipa rada pomaga. Odgovori na to e-pošto ali uporabi gumb zgoraj."
"Your withdrawal request has been submitted — Order #%1","Tvoja zahteva za odstop je bila oddana — Naročilo #%1"
"Your return request has been submitted","Tvoja zahteva za vračilo je bila oddana"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Pozdravljen, %name, prejeli smo tvojo zahtevo za vračilo in jo trenutno pregledujemo. Sporočili ti bomo, ko bomo pregledali vračilo in obdelali povračilo."
"Return number","Številka vračila"
"Requested on","Zahtevano"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Pregledali bomo tvoje vračilo in te obvestili po odobritvi. Vračila se izvedejo na prvotni način plačila v 5–7 delovnih dneh po odobritvi."
"If you have any questions, our customer service team is here to help.","Če imaš vprašanja, ti naša ekipa za pomoč strankam rada pomaga."
"Visit our help center","Obišči naše središče za pomoč"
"If you did not initiate this request, contact us immediately at","Če te zahteve nisi sprožil/a ti, nas takoj kontaktiraj na"
"Withdrawal receipt — Order #%1","Potrdilo o odstopu — Naročilo #%1"
"Withdrawal receipt","Potrdilo o odstopu"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Pozdravljen, %name, to e-sporočilo je tvoje dokazilo o odstopu na trajnem nosilcu v skladu s 11.a členom Direktive 2011/83/EU. Shrani ga za svojo evidenco."
"Submitted on","Oddano"
"Your %store_name order confirmation","Potrditev vašega naročila pri %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Hvala za vaše naročilo pri %store_name."
"Once your package ships we will send you a tracking number.","Ko bo vaš paket odposlan, vam bomo poslali številko za sledenje."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stanje svojega naročila lahko preverite tako, da se <a href=""%account_url"">prijavite v svoj račun</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Če imate vprašanja o svojem naročilu, nam lahko pišete na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ali nas pokličite na <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Naš delovni čas je <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaše naročilo <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Oddano <span class=""no-link"">%created_at</span>"
"Billing Info","Podatki o plačilu"
"Shipping Info","Podatki o pošiljanju"
"Payment Method","Način plačila"
"Shipping Method","Način pošiljanja"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Ko bo vaš paket odposlan, vam bomo po e-pošti poslali povezavo za sledenje naročilu."
"Your %store_name order has shipped","Vaše naročilo pri %store_name je bilo odposlano"
"Your shipping confirmation is below. Thank you again for your business.","Vaše potrdilo o pošiljanju je spodaj. Še enkrat hvala za vaš nakup."
"Your Shipment #%shipment_id for Order #%order_id","Vaša pošiljka #%shipment_id za naročilo #%order_id"
"Your digital content waiver is on file","Tvoja odpoved pri digitalni vsebini je zabeležena"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Pozdravljen, %name, soglasje si dal/a za takojšnjo digitalno dostavo spodnjih izdelkov — to je tvoja kopija tega soglasja na trajnem nosilcu (11.a člen, 4. odstavek Direktive o pravicah potrošnikov)."
"View order","Oglej si naročilo"
"Consented at","Soglasje dano"
"Acknowledged at","Priznano"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Shrani to e-sporočilo kot svojo evidenco na trajnem nosilcu. Trgovec je shranil zgoščeno vrednost SHA-256 pravnega besedila, ki si ga sprejel/a:"
"Digital content waiver","Odpoved pravici za digitalno vsebino"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Pred nakupom te digitalne vsebine potrebujemo vaše izrecno soglasje — natančno preberite obe točki."
"We log this consent with your IP and timestamp for our audit record.","Vašo privolitev beležimo z vašim IP-naslovom in časovnim žigom za naše revizijske zapise."
"Continue","Nadaljuj"
"Waiver could not be saved. Please retry.","Odpovedi ni bilo mogoče shraniti. Poskusite ponovno."
"Enable for EU Withdrawal Lookup Form","Omogoči za obrazec iskanja EU odstopa"
"MageMe Extensions","Razširitve MageMe"
"EU Withdrawal","EU pravica do odstopa"
"General","Splošno"
"Enable Module","Omogoči modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivira spletno trgovino in opravila cron. Privzeto: onemogočeno. Pred omogočanjem dokončajte ročni kontrolni seznam za nastavitev."
"Request Number Prefix","Predpona številke zahtevka"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Neobvezna predpona, dodana pred ID zahtevka za odstop v vmesniku za stranke (npr. „RR-“ se izpiše kot „RR-000000022“). Pustite prazno, če želite prikazati zgolj ničlami dopolnjeno številko."
"Default Contract Type","Privzeta vrsta pogodbe"
"Frontend Route","Pot v spletni trgovini"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Predpona URL-ja, ki jo uporablja postopek odstopa v spletni trgovini (npr. <code>withdraw-contract</code> se izpiše kot <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Obdobje za odstop"
"Delivery Confirmation Statuses","Statusi potrditve dostave"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Izberite enega ali več statusov naročila, katerih <em>prehod</em> v vašem postopku izpolnitve pomeni, da je stranka prejela blago. 14-dnevni rok za odstop začne teči ob časovnem žigu <em>najzgodnejšega</em> prehoda naročila v <em>kateri koli</em> izbrani status (Čl. 9(2)(b) Direktiva 2011/83/EU). Več-izbira podpira trgovce, ki uporabljajo več statusov tipa „dostavljeno“ (npr. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Dokler naročilo ne doseže nobenega od njih, je pravica do odstopa odprta brez določenega roka."
"Eligibility Rules (Art. 16 CRD Presets)","Pravila upravičenosti (prednastavitve čl. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Čl. 16(c) Blago, izdelano po naročilu"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Izključi izdelke, izdelane po naročilu stranke ali jasno prilagojene (npr. graviran nakit, oblačila po meri). <strong>Zahteva</strong> atribut izdelka <code>is_custom_made = true</code>. Če je omogočeno, od naročil s takšnimi izdelki ni mogoče odstopiti — stranke bodo to videle ob poskusu začetka odstopa."
"Art. 16(d) Perishable Goods","Čl. 16(d) Pokvarljivo blago"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Izključi blago, ki se hitro pokvari ali poteče (sveža živila, rezano cvetje, zdravila s kratkim rokom uporabe). <strong>Zahteva</strong> atribut izdelka <code>is_perishable = true</code>. Ne omogočajte za vse kategorije — uporabite samo za resnično pokvarljive SKU-je, sicer boste nezakonito zavrnili veljavne odstope."
"Art. 16(e) Sealed Hygiene / Health","Čl. 16(e) Zapečateno higiensko / zdravstveno blago"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Izključi zapečatene higienske ali zdravstvene izdelke, <strong>samo če je bil pečat po dostavi poškodovan</strong> (kozmetika, intimna oblačila, zapečatena medicinska oprema). <strong>Zahteva</strong> atribut izdelka <code>is_sealed_hygiene = true</code>. Izključitev je odvisna od preverjanja pečata ob odstopu (postopek v fazi-04) — zapečatena, neodprta vrnitev še vedno izpolnjuje pogoje."
"Art. 16(i) Sealed Audio / Video / Software","Čl. 16(i) Zapečatena avdio / video / programska oprema"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Izključi zapečatene avdio posnetke, video posnetke ali zapečateno računalniško programsko opremo, <strong>samo če je bil pečat po dostavi poškodovan</strong>. <strong>Zahteva</strong> atribut izdelka <code>is_sealed_av = true</code>. Enaka logika preverjanja pečata kot pri Čl. 16(e). Ne velja za pretočne / digitalno prenesene vsebine — zanje uporabite Čl. 16(m)."
"Digital Content (Art. 16(m))","Digitalna vsebina (čl. 16(m))"
"Detection","Zaznavanje"
"Enable Digital Content Detection","Omogoči zaznavanje digitalne vsebine"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Glavno stikalo za zaznavanje digitalne vsebine po Čl. 16(m). Ko je izklopljeno, noben izdelek ni prepoznan kot digitalen, korak soglasja na blagajni ni potreben in prednastavitev vedno dovoli odstop."
"Detection Strategies","Strategije zaznavanja"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Katere hevristike po vrsti izdelka sprožijo vrata soglasja za digitalno vsebino. Downloadable + virtual sta varni privzeti vrednosti; bundle_contains_digital pregleda otroke sklopa; custom_attribute prebere EAV zastavico, nastavljeno spodaj."
"Custom Attribute Code","Koda atributa po meri"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Koda atributa EAV, ki se uporablja <strong>samo</strong>, kadar je v <em>Strategije zaznavanja</em> zgoraj izbrana <em>Zastavica atributa po meri</em>. Privzeto: <code>is_digital_content</code> (logični atribut, 1 = digitalno). V nasprotnem primeru se prezre."
"Checkout Step + Email","Korak blagajne + e-pošta"
"Enable Checkout Waiver Step","Omogoči korak soglasja na blagajni"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Ko je vklopljeno, košarice, ki vsebujejo zaznan digitalni izdelek, na blagajni izpišejo korak soglasja z 2 potrditvenima poljema. Nima učinka, če ni vklopljeno tudi <em>Zaznavanje → Omogoči zaznavanje digitalne vsebine</em>."
"Merchant BCC Address for Confirmation Emails","Naslov slepe kopije trgovca za e-pošte s potrditvijo"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neobvezno. V slepi kopiji pošlje e-pošto s potrditvijo soglasja na revizijski naslov trgovca. Pustite prazno, da preskočite."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Označi izključno virtualne artikle kot začete z izvedbo ob potrditvi"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtualni izdelki nimajo sprožilca za prenos. Ko je vklopljeno, se odprema e-pošte s potrditvijo soglasja šteje za začetek izvedbe za izključno virtualne izdelke (meja I-6)."
"Confirmation Email Identity","Identiteta pošiljatelja e-pošte s potrditvijo"
"Per-Locale Waiver Text Overrides","Preglasitve besedila soglasja po jeziku"
"English (en_US)","Angleščina (en_US)"
"Consent Text","Besedilo soglasja"
"Right-Loss Acknowledgment Text","Besedilo priznanja izgube pravice"
"German (de_DE)","Nemščina (de_DE)"
"Finnish (fi_FI)","Finščina (fi_FI)"
"Dutch (nl_NL)","Nizozemščina (nl_NL)"
"French (fr_FR)","Francoščina (fr_FR)"
"Italian (it_IT)","Italijanščina (it_IT)"
"Spanish (es_ES)","Španščina (es_ES)"
"Polish (pl_PL)","Poljščina (pl_PL)"
"Portuguese (pt_PT)","Portugalščina (pt_PT)"
"Danish (da_DK)","Danščina (da_DK)"
"Swedish (sv_SE)","Švedščina (sv_SE)"
"German — Austria (de_AT)","Nemščina — Avstrija (de_AT)"
"Swedish — Finland (sv_FI)","Švedščina — Finska (sv_FI)"
"Dutch — Belgium (nl_BE)","Nizozemščina — Belgija (nl_BE)"
"French — Belgium (fr_BE)","Francoščina — Belgija (fr_BE)"
"German — Belgium (de_BE)","Nemščina — Belgija (de_BE)"
"French — Luxembourg (fr_LU)","Francoščina — Luksemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Predpogodbene informacije (čl. 6(1)(h))"
"Enable Pre-Contract Disclosure","Omogoči predpogodbene informacije"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Glavno izklopno stikalo. Onemogočeno = blok se ne izpiše in ne beležijo se dogodki prikaza. Onemogočanje trgovca izpostavi Čl. 10 (podaljšan rok za odstop 12 mesecev + 14 dni). Privzeto: omogočeno."
"Withdrawal Period (Days)","Obdobje za odstop (dni)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Privzeto 14 dni po Čl. 9(2). Podaljšanje je dovoljeno (npr. 30, 100). Skrajšanje pod 14 je nezakonito — polje preverja >=14 samo, kadar je modul omogočen."
"Return Address","Naslov za vračilo"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kam potrošniki pošljejo blago nazaj. Pustite prazno, da se uporabi naslov iz Trgovine → Konfiguracija → Splošno → Splošno → Informacije o trgovini."
"Display In Checkout","Prikaži na blagajni"
"Annex I Overrides Per Locale","Preglasitve Priloge I po jeziku"
"Bulgarian (bg_BG)","Bolgarščina (bg_BG)"
"Czech (cs_CZ)","Češčina (cs_CZ)"
"Greek (el_GR)","Grščina (el_GR)"
"Estonian (et_EE)","Estonščina (et_EE)"
"Croatian (hr_HR)","Hrvaščina (hr_HR)"
"Hungarian (hu_HU)","Madžarščina (hu_HU)"
"Lithuanian (lt_LT)","Litovščina (lt_LT)"
"Latvian (lv_LV)","Latvijščina (lv_LV)"
"Romanian (ro_RO)","Romunščina (ro_RO)"
"Slovak (sk_SK)","Slovaščina (sk_SK)"
"Slovenian (sl_SI)","Slovenščina (sl_SI)"
"Frontend","Spletna trgovina"
"Buttons","Gumbi"
"Step 1 Button Label","Oznaka gumba 1. koraka"
"Step 2 Button Label (Confirmation)","Oznaka gumba 2. koraka (potrditev)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Pravno opozorilo (vrzel #4).</strong> To je oznaka na končnem gumbu za potrditev. Privzeta („Potrdi odstop“) je pravniško potrjena. Per-locale translations are counsel-signed. Preglasujte le s pisnim pravnim nasvetom; preglasitve se zabeležijo v dnevnik revizije."
"Placements","Postavitve"
"Show Footer Link","Prikaži povezavo v nogi"
"Show in My Account","Prikaži v „Moj račun“"
"Return Reasons","Razlogi za vračilo"
"Reasons","Razlogi"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Seznam razlogov, ponujenih stranki v spustnem meniju za posamezni izdelek. <strong>Koda</strong> je strojna vrednost, shranjena v bazi (male črke, snake_case, največ 32 znakov); <strong>Oznaka</strong> je vidno besedilo. Prazna mreža v celoti skrije spustni meni."
"Enable ""Other"" with Free Text","Omogoči „Drugo“ s prostim besedilom"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Ko je omogočeno, se v spustnem meniju pojavi možnost „Drugo“, ki razkrije polje za prosto besedilo (največ 500 znakov)."
"Review Step","Korak pregleda"
"Return Shipping Notice","Obvestilo o pošiljanju vračila"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Besedilo, prikazano v koraku Pregled in potrditev (3. korak). Primer: „V potrdilnem e-poštnem sporočilu boste prejeli predplačano dostavno nalepko.“ ali „Stroške pošiljanja vračila plača stranka.“ Pustite prazno, da skrijete vrstico."
"Return Policy URL","URL pravil vračila"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Neobvezna povezava, izpisana ob obvestilu o pošiljanju („Oglejte si politiko vračil“). Sprejema absolutne URL-je ali relativne poti, kot je „return-policy“."
"Customer Notifications","Obvestila strankam"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Vsa e-poštna sporočila za stranke, ki jih pošlje modul. Vsako sporočilo je mogoče omogočiti/onemogočiti, mu dodeliti predlogo po meri (Trženje → Predloge e-pošte) in poslati slepo kopijo na naslov trgovca. Skupna podskupina <em>Blagovna znamka</em> spodaj nadzoruje postavitev (USP trak, povezave do družbenih omrežij), ki jo uporablja vsako e-poštno sporočilo spodaj."
"1. Submission Confirmation Email","1. E-pošta s potrditvijo oddaje"
"Enabled","Omogočeno"
"Email Template","Predloga e-pošte"
"BCC Merchant","Slepa kopija trgovcu"
"Comma-separated. Leave blank to disable.","Ločeno z vejico. Pustite prazno za onemogočanje."
"2. Approval Email","2. E-pošta o odobritvi"
"3. Denial Email","3. E-pošta o zavrnitvi"
"4. Cancellation Email (Admin-Initiated)","4. E-pošta o preklicu (sproži skrbnik)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-pošta o preklicu (samostojni preklic stranke)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-pošta s potrdilom (trajni nosilec — čl. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Zakonsko obvezna potrditev na trajnem nosilcu. Ni je mogoče v celoti onemogočiti (Čl. 11a(4) Direktiva 2011/83/EU). Onemogočanje tukaj zaustavi samo pošiljanje — potrdilo se kljub temu generira in shrani."
"Send Email","Pošlji e-pošto"
"Comma-separated.","Ločeno z vejico."
"Delivery Retry Attempts","Poskusi ponovne dostave"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Prejemnik opozoril iz DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Obveščen, ko potrdilo trajno ne uspe. Privzeto se uporabi E-poštni naslovi trgovine → Splošni stik."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-pošta o potrditvi digitalnega soglasja (čl. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopija strankine odpovedi po Čl. 16(m) na trajnem nosilcu, poslana takoj po zaključku nakupa, ko je v košarici digitalni izdelek. Zahteva Čl. 11a(4) Direktive 2011/83/EU — hrani zapis pravnega besedila, ki ga je stranka sprejela, zaščiten pred manipulacijo, skupaj z zgoščeno vrednostjo SHA-256 za preverjanje verige zgoščevanja."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Ločeno z vejico. Prejme kopijo vsake potrditve za revizijske namene."
"Branding (Shared by All Emails Above)","Blagovna znamka (skupna vsem zgornjim e-poštam)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Neobvezna okrasitev e-poštnih sporočil za stranke. Prazna polja skrijejo svoje vrstice. Besedna oznaka blagovne znamke, logotip, e-pošta podpore in naslov trgovine se berejo iz standardnega konfiguracijskega drevesa Magento (Trgovine → Konfiguracija → Splošno + Oblikovanje → Transakcijska e-pošta)."
"USP Strip — Item 1","USP trak — element 1"
"Icon","Ikona"
"Title","Naslov"
"Subtitle","Podnaslov"
"USP Strip — Item 2","USP trak — element 2"
"USP Strip — Item 3","USP trak — element 3"
"Social Links","Povezave do družbenih omrežij"
"Instagram URL","URL Instagrama"
"X / Twitter URL","URL X / Twitterja"
"Facebook URL","URL Facebooka"
"YouTube URL","URL YouTuba"
"Order #","Naročilo #"
"Contract","Pogodba"
"Submitter","Oddajatelj"
"Withdrawal submitted","Odstop oddan"
"Right of Withdrawal — Required Information","Pravica do odstopa — Obvezne informacije"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Preden oddate naročilo, si oglejte pogoje, rok in postopke za uveljavljanje 14-dnevne pravice do odstopa. Te informacije so sestavni del vaše pogodbe."
"Conditions, Time Limit and Procedures for Withdrawal","Pogoji, rok in postopki za odstop"
"Start Online Return","Začni spletno vračilo"
"Download Model Withdrawal Form (Annex I(B))","Prenesi obrazec za odstop od pogodbe (Priloga I(B))"
"Withdrawal Information v%1 — Issued %2","Informacije o odstopu v%1 — izdano %2"
"You'll receive a prepaid shipping label in the confirmation email.","V potrdilnem e-poštnem sporočilu boste prejeli predplačan dostavni nalepko."
"← Back to order search","← Nazaj na iskanje naročil"
"← Back to items","← Nazaj na izdelke"
"Find order","Najdi naročilo"
"Enter your order number and email","Vnesite številko naročila in e-poštni naslov"
"Select items","Izberite izdelke"
"Choose items to return (partial withdrawal)","Izberite izdelke za vračilo (delni odstop)"
"Review & confirm","Preglej & potrdi"
"Review your return details and confirm","Preglejte podrobnosti vračila in potrdite"
"Request submitted","Zahteva oddana"
"We'll confirm your request by email","Vašo zahtevo bomo potrdili po e-pošti"
