"View Credit Memo","Vaata kreeditarvet"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","See on püsival andmekandjal kinnitus teie selgesõnalisele nõusolekule alustada järgmise digitaalse sisu täitmist ning teie kinnitusele, et seetõttu kaotate oma taganemisõiguse (Prantsuse tarbijakoodeksi art. L. 221-28)."
"Contenus numériques couverts par la présente renonciation","Käesoleva loobumisega hõlmatud digitaalsed sisud"
"Votre consentement exprès","Teie selgesõnaline nõusolek"
"Consenti le :","Nõustutud:"
"Votre reconnaissance de la perte du droit de rétractation","Teie kinnitus taganemisõiguse kaotamise kohta"
"Reconnu le :","Kinnitatud:"
"Référence de renonciation :","Loobumise viide:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Õiguslik alus: Prantsuse tarbijakoodeksi art. L. 221-28 / art. 16(m) direktiiv 2011/83/EL."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Digisisu loobumiskinnitus — Tellimus %increment_id"
"Beste %name,","Lugupeetud %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","See on püsival andmekandjal kinnitus teie selgesõnalisele nõusolekule alustada järgmise digitaalse sisu kohaletoimetamist ning teie kinnitusele, et seetõttu kaotate oma taganemisõiguse (Madalmaade tsiviilseadustiku art. 6:230s)."
"Onder deze afstand vallende digitale items","Käesoleva loobumisega hõlmatud digitaalsed esemed"
"Uw uitdrukkelijke toestemming","Teie selgesõnaline nõusolek"
"Toestemming verleend op:","Nõusolek antud:"
"Uw erkenning van verlies van herroepingsrecht","Teie kinnitus taganemisõiguse kaotamise kohta"
"Erkend op:","Kinnitatud:"
"Afstandreferentie:","Loobumise viide:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Õiguslik alus: Madalmaade tsiviilseadustiku art. 6:230s / art. 16(m) direktiiv 2011/83/EL."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Kviitungi saatmine ebaõnnestus — taotlus #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Taganemistaotluse #%request_id kviitungi e-kirja saatmine on lõplikult ebaõnnestunud."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Vaadake viimase veateate jaoks veergu <code>mm_eu_withdrawal_request.receipt_last_error</code> ning korduskatsete arvu jaoks veergu <code>mm_eu_withdrawal_request.receipt_send_attempts</code>."
"You can requeue the send from the admin grid after resolving the underlying issue.","Saate saatmise pärast põhjuse lahendamist halduri grid'ist uuesti järjekorda panna."
"Your refund is on its way — Withdrawal #%1","Sinu tagasimakse on teel — Taganemine #%1"
"Your refund is on its way","Sinu tagasimakse on teel"
"Hi %name, we've approved your withdrawal request and started the refund process.","Tere, %name, kiitsime su taganemistaotluse heaks ja alustasime tagasimakse menetlust."
"View refund details","Vaata tagasimakse üksikasju"
"Withdrawal number","Taganemise number"
"Approved on","Kinnitatud"
"Estimated arrival","Eeldatav saabumine"
"Status","Olek"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Tagasimakse tehakse sinu algsele makseviisile 5–7 tööpäeva jooksul. Näed seda kaardi- või pangaväljavõttel niipea, kui see laekub."
"Need help?","Vajad abi?"
"Reply to this email or contact us at","Vasta sellele kirjale või võta meiega ühendust aadressil"
"Your withdrawal was cancelled — Withdrawal #%1","Sinu taganemine tühistati — Taganemine #%1"
"Your withdrawal was cancelled","Sinu taganemine tühistati"
"Hi %name, we've cancelled your withdrawal request.","Tere, %name, tühistasime su taganemistaotluse."
"Submit a new request","Esita uus taotlus"
"Cancelled request","Tühistatud taotlus"
"Cancelled on","Tühistatud"
"Refund requested","Taotletud tagasimakse"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Kui see oli ootamatu, saad esitada uue taganemistaotluse seni, kuni sinu %period_days-päevane aken on veel avatud. Võta ühendust, kui vajad abi — selgitame meelsasti."
"Cancellation confirmed — Withdrawal #%1","Tühistamine kinnitatud — Taganemine #%1"
"Cancellation confirmed","Tühistamine kinnitatud"
"Hi %name, your withdrawal request has been cancelled as you asked.","Tere, %name, sinu taganemistaotlus on sinu soovi kohaselt tühistatud."
"Back to my orders","Tagasi minu tellimuste juurde"
"Cancelled by","Tühistas"
"You","Teie"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Sinu tellimus jääb kehtima ja täiendavaid samme pole vaja. Kui mõtled ümber, saad oma %period_days-päevase akna jooksul igal ajal alustada uut taganemistaotlust."
"Update on your withdrawal request — Withdrawal #%1","Uudis sinu taganemistaotluse kohta — Taganemine #%1"
"We can't process this withdrawal","Me ei saa seda taganemist menetleda"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Tere, %name, pärast su taganemistaotluse läbivaatamist ei saa me seda heaks kiita."
"Request details","Taotluse üksikasjad"
"Reviewed on","Läbi vaadatud"
"Decision","Otsus"
"Reason from our team","Põhjendus meie meeskonnalt"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Kui soovid seda otsust arutada, on meie meeskond valmis aitama. Vasta sellele kirjale või kasuta ülaltoodud nuppu."
"Your withdrawal request has been submitted — Order #%1","Sinu taganemistaotlus on esitatud — Tellimus #%1"
"Your return request has been submitted","Sinu tagastustaotlus on esitatud"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Tere, %name, saime su tagastustaotluse kätte ja vaatame selle praegu üle. Anname teada, kui oleme tagastuse kontrollinud ja tagasimakse menetlenud."
"Return number","Tagastusnumber"
"Requested on","Taotletud"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Vaatame su tagastuse üle ja teavitame sind pärast kinnitamist. Tagasimaksed tehakse algsele makseviisile 5–7 tööpäeva jooksul pärast kinnitamist."
"If you have any questions, our customer service team is here to help.","Kui sul on küsimusi, on meie klienditeenindusmeeskond valmis aitama."
"Visit our help center","Külasta meie abikeskust"
"If you did not initiate this request, contact us immediately at","Kui sina seda taotlust ei algatanud, võta meiega kohe ühendust aadressil"
"Withdrawal receipt — Order #%1","Taganemise tõend — Tellimus #%1"
"Withdrawal receipt","Taganemise tõend"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Tere, %name, see kiri on sinu taganemise tõend püsival andmekandjal vastavalt direktiivi 2011/83/EL artiklile 11a. Säilita see oma andmestikus."
"Submitted on","Esitatud"
"Your %store_name order confirmation","Teie %store_name tellimuse kinnitus"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Täname teid tellimuse eest poest %store_name."
"Once your package ships we will send you a tracking number.","Kui teie pakk teele läheb, saadame teile jälgimisnumbri."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Saate oma tellimuse olekut kontrollida, <a href=""%account_url"">logides oma kontosse sisse</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Kui teil on küsimusi oma tellimuse kohta, kirjutage meile aadressile <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","või helistage meile numbril <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Meie lahtiolekuajad on <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Teie tellimus <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Tellitud <span class=""no-link"">%created_at</span>"
"Billing Info","Arveldusandmed"
"Shipping Info","Tarneandmed"
"Payment Method","Maksemeetod"
"Shipping Method","Tarneviis"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Kui teie pakk teele läheb, saadame teile e-kirja koos tellimuse jälgimise lingiga."
"Your %store_name order has shipped","Teie %store_name tellimus on teele saadetud"
"Your shipping confirmation is below. Thank you again for your business.","Teie tarne kinnitus on allpool. Täname teid veelkord meie poe kasutamise eest."
"Your Shipment #%shipment_id for Order #%order_id","Teie saadetis #%shipment_id tellimuse #%order_id jaoks"
"Your digital content waiver is on file","Sinu digisisu loobumus on registreeritud"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Tere, %name, andsid nõusoleku alltoodud kaupade kohese digitaalse kohaletoimetamise kohta — see on sinu nõusoleku koopia püsival andmekandjal (direktiivi 2011/83/EL artikli 11a lõige 4)."
"View order","Vaata tellimust"
"Consented at","Nõusolek antud"
"Acknowledged at","Kinnitatud"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Säilita see kiri oma andmestikuna püsival andmekandjal. Kaupmees on salvestanud sinu poolt aktsepteeritud õigusteksti SHA-256 räsi:"
"Digital content waiver","Loobumine digitaalse sisu kohta"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Vajame teie sõnaselget nõusolekut enne, kui saate selle digitaalse eseme osta — palun lugege mõlemad punktid hoolikalt läbi."
"We log this consent with your IP and timestamp for our audit record.","Salvestame selle nõusoleku teie IP-aadressi ja ajatempliga meie auditikirjes."
"Continue","Jätka"
"Waiver could not be saved. Please retry.","Loobumist ei õnnestunud salvestada. Palun proovige uuesti."
"Enable for EU Withdrawal Lookup Form","Luba ELi taganemise päringuvormi jaoks"
"MageMe Extensions","MageMe laiendused"
"EU Withdrawal","ELi taganemisõigus"
"General","Üldine"
"Enable Module","Luba moodul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktiveerib frontendi ja cron-ülesanded. Vaikimisi: keelatud. Enne lubamist täitke käsitsi seadistamise kontrollnimekiri."
"Request Number Prefix","Taotluse numbri eesliide"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Valikuline eesliide, mis lisatakse taganemistaotluse järjekorranumbri ette kliendile suunatud liideses (nt „RR-“ kuvatakse kui „RR-000000022“). Jätke tühjaks, et kuvada lihtne täidetud number."
"Default Contract Type","Vaikimisi lepingutüüp"
"Frontend Route","Esikülje marsruut"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-i eesliide, mida kasutab kliendile suunatud taganemisvoog (nt <code>withdraw-contract</code> kuvatakse kui <code>/withdraw-contract/...</code>). Lubatud on ainult väiketähed, numbrid, sidekriipsud ja alakriipsud."
"Withdrawal Period","Taganemisperiood"
"Delivery Confirmation Statuses","Tarne kinnitamise olekud"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Valige üks või mitu tellimuse olekut, mille <em>üleminek</em> teie täitmisprotsessis tähendab seda, et klient sai kauba kätte. 14-päevane taganemisaken algab tellimuse <em>varaseima</em> ülemineku ajatemplist mis tahes <em>valitud</em> olekusse (art. 9(2)(b) direktiiv 2011/83/EL). Mitmikvalik toetab kauplejaid, kes kasutavad mitut „kohaletoimetatud“ tüüpi olekut (nt <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Kuni tellimus ei jõua ühessegi neist, on taganemisõigus lahtine ilma kindla tähtajata."
"Eligibility Rules (Art. 16 CRD Presets)","Sobivusreeglid (art 16 CRD eelseaded)"
"Art. 16(c) Custom-Made Goods","Art 16(c) Tellimustöö kaubad"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Välistab tooted, mis on valmistatud kliendi spetsifikatsioonide järgi või on selgelt isikupärastatud (nt graveeritud ehted, mõõdu järgi tehtud rõivad). <strong>Nõuab</strong> tooteatribuuti <code>is_custom_made = true</code>. Kui see on lubatud, siis selliseid esemeid sisaldavatest tellimustest ei saa taganeda — kliendid näevad seda taganemise alustamise katsel."
"Art. 16(d) Perishable Goods","Art 16(d) Kiiresti riknev kaup"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Välistab kaubad, mis võivad kiiresti rikneda või aeguda (värske toit, lõikelilled, lühikese säilivusajaga ravimid). <strong>Nõuab</strong> tooteatribuuti <code>is_perishable = true</code>. Ärge lubage seda kõigi kategooriate jaoks — rakendage seda ainult tegelikult kiiresti riknevatele SKU-dele, vastasel juhul keeldute ebaseaduslikult kehtivatest taganemistest."
"Art. 16(e) Sealed Hygiene / Health","Art 16(e) Suletud hügieeni- / tervisetooted"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Välistab pitseeritud hügieeni- või tervisetooted <strong>ainult juhul, kui pitser on pärast kohaletoimetamist katki tehtud</strong> (kosmeetika, intiimrõivad, pitseeritud meditsiinitarbed). <strong>Nõuab</strong> tooteatribuuti <code>is_sealed_hygiene = true</code>. Välistus sõltub pitseri kontrollist taganemise hetkel (töövoog faasis 04) — pitseeritud avamata tagastus jääb sobivaks."
"Art. 16(i) Sealed Audio / Video / Software","Art 16(i) Suletud heli- / video- / tarkvaratooted"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Välistab pitseeritud helisalvestised, videosalvestised või pitseeritud arvutitarkvara <strong>ainult juhul, kui pitser on pärast kohaletoimetamist katki tehtud</strong>. <strong>Nõuab</strong> tooteatribuuti <code>is_sealed_av = true</code>. Sama pitserikontrolli loogika nagu art. 16(e) puhul. Ei kehti voogedastatava / digitaalselt allalaaditava sisu suhtes — selle jaoks kasutage art. 16(m)."
"Digital Content (Art. 16(m))","Digitaalne sisu (art 16(m))"
"Detection","Tuvastamine"
"Enable Digital Content Detection","Luba digitaalse sisu tuvastus"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Art. 16(m) digisisu tuvastamise pealüliti. Kui see on välja lülitatud, ei tuvastata ühtegi toodet digitaalsena, kassa loobumise sammu ei nõuta ja eelseade lubab alati taganemist."
"Detection Strategies","Tuvastusstrateegiad"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Millised tooteliigi heuristikud käivitavad digisisu loobumisvärava. Allalaaditav + virtuaalne on ohutud vaikeväärtused; bundle_contains_digital uurib komplekti alamtooteid; custom_attribute loeb allpool seadistatud EAV-lippu."
"Custom Attribute Code","Kohandatud atribuudi kood"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-atribuudi kood, mida kasutatakse <strong>ainult</strong> siis, kui ülaltoodud <em>Tuvastusstrateegiates</em> on valitud <em>Kohandatud atribuudi lipp</em>. Vaikimisi: <code>is_digital_content</code> (tõeväärtuse atribuut, 1 = digitaalne). Muul juhul eiratakse."
"Checkout Step + Email","Kassasamm + e-kiri"
"Enable Checkout Waiver Step","Luba kassas loobumise samm"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Kui see on sisse lülitatud, kuvatakse digitaalset toodet sisaldavate ostukorvide puhul kassas 2-märkeruuduga loobumise samm. Toime puudub, kui ka <em>Tuvastamine → Luba digitaalse sisu tuvastus</em> ei ole sees."
"Merchant BCC Address for Confirmation Emails","Kaupleja pimekoopia aadress kinnituskirjade jaoks"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Valikuline. Saadab loobumise kinnituse e-kirjast pimekoopia kaupleja auditi aadressile. Jätke tühjaks, et see vahele jätta."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Märgi ainult virtuaalsed esemed kinnitamisel täitmise alanuks"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuaalsetel toodetel pole allalaadimise käivitajat. Kui see on sees, loetakse loobumise kinnituse e-kirja saatmine ainult virtuaalsete esemete täitmise alguseks (I-6 piir)."
"Confirmation Email Identity","Kinnituskirja saatja"
"Per-Locale Waiver Text Overrides","Loobumisteksti keelekohased ülekirjutused"
"English (en_US)","Inglise (en_US)"
"Consent Text","Nõusoleku tekst"
"Right-Loss Acknowledgment Text","Õiguse kaotamise kinnituse tekst"
"German (de_DE)","Saksa (de_DE)"
"Finnish (fi_FI)","Soome (fi_FI)"
"Dutch (nl_NL)","Hollandi (nl_NL)"
"French (fr_FR)","Prantsuse (fr_FR)"
"Italian (it_IT)","Itaalia (it_IT)"
"Spanish (es_ES)","Hispaania (es_ES)"
"Polish (pl_PL)","Poola (pl_PL)"
"Portuguese (pt_PT)","Portugali (pt_PT)"
"Danish (da_DK)","Taani (da_DK)"
"Swedish (sv_SE)","Rootsi (sv_SE)"
"German — Austria (de_AT)","Saksa — Austria (de_AT)"
"Swedish — Finland (sv_FI)","Rootsi — Soome (sv_FI)"
"Dutch — Belgium (nl_BE)","Hollandi — Belgia (nl_BE)"
"French — Belgium (fr_BE)","Prantsuse — Belgia (fr_BE)"
"German — Belgium (de_BE)","Saksa — Belgia (de_BE)"
"French — Luxembourg (fr_LU)","Prantsuse — Luksemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Lepingueelne teave (art 6(1)(h))"
"Enable Pre-Contract Disclosure","Luba lepingueelne teave"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Pealüliti. Keelatud = plokk ei renderdu ja kuvasündmusi ei salvestata. Keelamine teeb kaupleja avatuks art. 10 nõuetele (pikendatud taganemisperiood 12 kuud + 14 päeva). Vaikimisi: lubatud."
"Withdrawal Period (Days)","Taganemisperiood (päeva)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Vaikimisi 14 päeva vastavalt art. 9(2). Pikendamine on lubatud (nt 30, 100). Vähendamine alla 14 on ebaseaduslik — väli valideerib >=14 ainult siis, kui moodul on lubatud."
"Return Address","Tagastusaadress"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kuhu tarbijad kaubad tagasi saadavad. Jätke tühjaks, et kasutada vaikimisi aadressi jaotisest Poed → Konfiguratsioon → Üldine → Üldine → Poe teave."
"Display In Checkout","Kuva kassas"
"Annex I Overrides Per Locale","I lisa keelekohased ülekirjutused"
"Bulgarian (bg_BG)","Bulgaaria (bg_BG)"
"Czech (cs_CZ)","Tšehhi (cs_CZ)"
"Greek (el_GR)","Kreeka (el_GR)"
"Estonian (et_EE)","Eesti (et_EE)"
"Croatian (hr_HR)","Horvaatia (hr_HR)"
"Hungarian (hu_HU)","Ungari (hu_HU)"
"Lithuanian (lt_LT)","Leedu (lt_LT)"
"Latvian (lv_LV)","Läti (lv_LV)"
"Romanian (ro_RO)","Rumeenia (ro_RO)"
"Slovak (sk_SK)","Slovaki (sk_SK)"
"Slovenian (sl_SI)","Sloveeni (sl_SI)"
"Frontend","Esikülg"
"Buttons","Nupud"
"Step 1 Button Label","1. sammu nupu silt"
"Step 2 Button Label (Confirmation)","2. sammu nupu silt (kinnitus)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Õiguslik hoiatus.</strong> See on lõpliku kinnitamisnupu silt. Vaikeväärtus („Confirm withdrawal“) on advokaadi allkirjastatud. Per-locale translations are counsel-signed. Tühistage ainult kirjaliku õigusnõuande korral; tühistused on auditilogis."
"Placements","Paigutused"
"Show Footer Link","Kuva jaluse link"
"Show in My Account","Kuva jaotises „Minu konto“"
"Return Reasons","Tagastuse põhjused"
"Reasons","Põhjused"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Esemete kaupa rippmenüüs kliendile pakutavate põhjuste loend. <strong>Kood</strong> on andmebaasi salvestatud masinväärtus (väiketähed, snake_case, kuni 32 tähemärki); <strong>Silt</strong> on nähtav tekst. Tühi tabel peidab rippmenüü täielikult."
"Enable ""Other"" with Free Text","Luba „Muu“ koos vaba tekstiga"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Kui see on lubatud, ilmub rippmenüüsse „Muu“ valik, mis avab vaba teksti välja (kuni 500 tähemärki)."
"Review Step","Ülevaate samm"
"Return Shipping Notice","Tagastusveo teade"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tekst, mida kuvatakse sammul Vaata üle ja kinnita (samm 3). Näide: „Saate ettemakstud saatmissildi kinnituskirjaga.“ või „Tagastusveo kulud kannab klient.“ Jätke tühjaks, et rida peita."
"Return Policy URL","Tagastuspoliitika URL"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Valikuline link, mis kuvatakse saatmise teate kõrval („Vaata tagastuspoliitikat“). Aktsepteerib absoluutseid URL-e või suhtelisi teid nagu „return-policy“."
"Customer Notifications","Kliendi teavitused"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Kõik mooduli saadetavad kliendile suunatud e-kirjad. Iga e-kirja saab lubada/keelata, sellele saab määrata kohandatud malli (Marketing → Email Templates) ning saata pimekoopia kaupleja aadressile. All asuv jagatud alagrupp <em>Brändimine</em> juhib paigutust (USP-riba, sotsiaalmeedia lingid), mida kasutavad kõik allolevad e-kirjad."
"1. Submission Confirmation Email","1. Esitamise kinnituse e-kiri"
"Enabled","Lubatud"
"Email Template","E-kirja mall"
"BCC Merchant","Pimekoopia kauplejale"
"Comma-separated. Leave blank to disable.","Komaga eraldatud. Jätke tühjaks, et keelata."
"2. Approval Email","2. Heakskiidu e-kiri"
"3. Denial Email","3. Tagasilükkamise e-kiri"
"4. Cancellation Email (Admin-Initiated)","4. Tühistamise e-kiri (algatatud halduri poolt)"
"5. Cancellation Email (Customer Self-Cancel)","5. Tühistamise e-kiri (kliendi enda tühistus)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Kinnituse e-kiri (püsiv andmekandja — art 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Seaduslikult kohustuslik püsiva andmekandja kinnitus. Ei saa täielikult keelata (art. 11a(4) direktiiv 2011/83/EL). Keelamine peatab siin ainult saatja — kviitung luuakse ja salvestatakse endiselt."
"Send Email","Saada e-kiri"
"Comma-separated.","Komaga eraldatud."
"Delivery Retry Attempts","Tarne korduskatsed"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","DLQ teavituse saaja"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Teavitatakse, kui kviitung lõplikult ebaõnnestub. Vaikimisi kasutatakse Store Email Addresses → General Contact."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Digitaalse loobumise kinnituse e-kiri (art 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kliendi art. 16(m) loobumise koopia püsival andmekandjal, mis saadetakse kohe pärast kassaprotsessi, kui ostukorvis on digitaalne ese. Nõutav direktiivi 2011/83/EL art. 11a(4) järgi — säilitab muutusekindla kirje kliendi aktsepteeritud õigustekstist ning räsiahela kontrollimiseks ka SHA-256 räsi."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Komaga eraldatud. Saab auditi eesmärgil iga kinnituse koopia."
"Branding (Shared by All Emails Above)","Brändimine (jagatud kõigi ülaltoodud kirjadega)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Kliendile suunatud e-kirjade valikuline kujundus. Tühjad väljad peidavad vastavad read. Brändimärk, logo, kasutajatoe e-post ja poe aadress loetakse Magento standardsest konfiguratsioonipuust (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","USP-riba — element 1"
"Icon","Ikoon"
"Title","Pealkiri"
"Subtitle","Alapealkiri"
"USP Strip — Item 2","USP-riba — element 2"
"USP Strip — Item 3","USP-riba — element 3"
"Social Links","Sotsiaalmeedia lingid"
"Instagram URL","Instagrami URL"
"X / Twitter URL","X / Twitteri URL"
"Facebook URL","Facebooki URL"
"YouTube URL","YouTube'i URL"
"Order #","Tellimus #"
"Contract","Leping"
"Submitter","Esitaja"
"Withdrawal submitted","Taganemine esitatud"
"Right of Withdrawal — Required Information","Taganemisõigus — Nõutav teave"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your %1-day right of withdrawal. This information forms part of your contract.","Enne tellimuse esitamist palun tutvuge taganemise tingimuste, tähtaja ja menetlustega oma %1-päevase taganemisõiguse kasutamiseks. See teave on lepingu lahutamatu osa."
"Conditions, Time Limit and Procedures for Withdrawal","Taganemise tingimused, tähtaeg ja menetlused"
"Start Online Return","Alusta veebipõhist tagastamist"
"Download Model Withdrawal Form (Annex I(B))","Laadi alla taganemise tüüpvorm (I lisa, jaotis B)"
"Withdrawal Information v%1 — Issued %2","Taganemisteave v%1 — väljastatud %2"
"You'll receive a prepaid shipping label in the confirmation email.","Saate ettemakstud saatmissildi kinnituskirjaga."
"← Back to order search","← Tagasi tellimuse otsingusse"
"← Back to items","← Tagasi esemete juurde"
"Find order","Leia tellimus"
"Enter your order number and email","Sisestage tellimuse number ja e-post"
"Select items","Valida esemed"
"Choose items to return (partial withdrawal)","Valige tagastatavad esemed (osaline taganemine)"
"Review & confirm","Vaata üle & kinnita"
"Review your return details and confirm","Vaadake oma tagastuse üksikasjad üle ja kinnitage"
"Request submitted","Taotlus esitatud"
"We'll confirm your request by email","Kinnitame teie taotlust e-posti teel"
