"View Credit Memo","Creditnota bekijken"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Rechtsgrondslag: KSL 6:16 / Art. 16(m) Richtlijn 2011/83/EU consumentenrechten."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Bevestiging afstand digitale inhoud — Bestelling %increment_id"
"Cher/Chère %name,","Beste %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de uitvoering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. L. 221-28 Code de la consommation)."
"Contenus numériques couverts par la présente renonciation","Onder deze afstand vallende digitale inhoud"
"Votre consentement exprès","Uw uitdrukkelijke toestemming"
"Consenti le :","Toestemming verleend op:"
"Votre reconnaissance de la perte du droit de rétractation","Uw erkenning van verlies van het herroepingsrecht"
"Reconnu le :","Erkend op:"
"Référence de renonciation :","Afstandreferentie:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Rechtsgrondslag: Art. L. 221-28 Code de la consommation / Art. 16(m) Richtlijn 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Bevestiging afstand digitale inhoud — Bestelling %increment_id"
"Beste %name,","Beste %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW)."
"Onder deze afstand vallende digitale items","Onder deze afstand vallende digitale items"
"Uw uitdrukkelijke toestemming","Uw uitdrukkelijke toestemming"
"Toestemming verleend op:","Toestemming verleend op:"
"Uw erkenning van verlies van herroepingsrecht","Uw erkenning van verlies van herroepingsrecht"
"Erkend op:","Erkend op:"
"Afstandreferentie:","Afstandreferentie:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU-herroeping] Verzenden bewijs mislukt — verzoek #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","De bewijsmail voor herroepingsverzoek #%request_id is definitief niet verzonden."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Raadpleeg de kolom <code>mm_eu_withdrawal_request.receipt_last_error</code> voor het laatste foutbericht en de kolom <code>mm_eu_withdrawal_request.receipt_send_attempts</code> voor het aantal pogingen."
"You can requeue the send from the admin grid after resolving the underlying issue.","U kunt de verzending vanuit het beheerderoverzicht opnieuw in de wachtrij plaatsen nadat het onderliggende probleem is opgelost."
"Your refund is on its way — Withdrawal #%1","Je terugbetaling is onderweg — Herroeping #%1"
"Your refund is on its way","Uw terugbetaling is onderweg"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hallo %name, we hebben je herroeping goedgekeurd en de terugbetaling in gang gezet."
"View refund details","Details terugbetaling bekijken"
"Withdrawal number","Herroepingsnummer"
"Approved on","Goedgekeurd op"
"Estimated arrival","Geschatte aankomst"
"Status","Status"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Je terugbetaling wordt binnen 5–7 werkdagen overgemaakt naar je oorspronkelijke betaalmethode. Zodra het bedrag binnen is, zie je het op je kaart- of bankafschrift."
"Need help?","Hulp nodig?"
"Reply to this email or contact us at","Beantwoord deze e-mail of neem contact op via"
"Your withdrawal was cancelled — Withdrawal #%1","Je herroeping is geannuleerd — Herroeping #%1"
"Your withdrawal was cancelled","Uw herroeping is geannuleerd"
"Hi %name, we've cancelled your withdrawal request.","Hallo %name, we hebben je herroepingsverzoek geannuleerd."
"Submit a new request","Nieuw verzoek indienen"
"Cancelled request","Geannuleerd verzoek"
"Cancelled on","Geannuleerd op"
"Refund requested","Terugbetaling aangevraagd"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Als dit onverwacht was, kun je een nieuw herroepingsverzoek indienen zolang je %period_days-dagentermijn nog loopt. Neem contact op als je hulp nodig hebt — we geven graag uitleg."
"Cancellation confirmed — Withdrawal #%1","Annulering bevestigd — Herroeping #%1"
"Cancellation confirmed","Annulering bevestigd"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hallo %name, je herroepingsverzoek is op jouw verzoek geannuleerd."
"Back to my orders","Terug naar mijn bestellingen"
"Cancelled by","Geannuleerd door"
"You","U"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Je bestelling blijft actief en je hoeft verder niets te doen. Bedenk je je, dan kun je binnen je %period_days-dagentermijn op elk moment een nieuw herroepingsverzoek starten."
"Update on your withdrawal request — Withdrawal #%1","Update over je herroepingsverzoek — Herroeping #%1"
"We can't process this withdrawal","We kunnen deze herroeping niet verwerken"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hallo %name, na beoordeling van je herroepingsverzoek kunnen we het niet goedkeuren."
"Request details","Details van het verzoek"
"Reviewed on","Beoordeeld op"
"Decision","Beslissing"
"Reason from our team","Reden van ons team"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Wil je deze beslissing bespreken, dan staat ons team klaar om te helpen. Beantwoord deze e-mail of gebruik de knop hierboven."
"Your withdrawal request has been submitted — Order #%1","Je herroepingsverzoek is ingediend — Bestelling #%1"
"Your return request has been submitted","Je retouraanvraag is ingediend"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hallo %name, we hebben je retouraanvraag ontvangen en beoordelen deze nu. Je hoort van ons zodra we je retour hebben gecontroleerd en je terugbetaling hebben verwerkt."
"Return number","Retournummer"
"Requested on","Aangevraagd op"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","We controleren je retour en laten het je weten zodra deze is goedgekeurd. Terugbetalingen worden binnen 5–7 werkdagen na goedkeuring overgemaakt naar je oorspronkelijke betaalmethode."
"If you have any questions, our customer service team is here to help.","Als je vragen hebt, staat onze klantenservice voor je klaar."
"Visit our help center","Bezoek ons hulpcentrum"
"If you did not initiate this request, contact us immediately at","Heb je dit verzoek niet zelf ingediend, neem dan direct contact met ons op via"
"Withdrawal receipt — Order #%1","Bewijs van herroeping — Bestelling #%1"
"Withdrawal receipt","Herroepingsbewijs"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hallo %name, deze e-mail is je bewijs van herroeping op een duurzame drager conform Art. 11a Richtlijn 2011/83/EU. Bewaar deze voor je administratie."
"Submitted on","Ingediend op"
"Your %store_name order confirmation","Uw bestelbevestiging van %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Bedankt voor uw bestelling bij %store_name."
"Once your package ships we will send you a tracking number.","Zodra uw pakket verzonden is, sturen wij u een trackingnummer."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","U kunt de status van uw bestelling controleren door <a href=""%account_url"">in te loggen op uw account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Als u vragen heeft over uw bestelling, kunt u ons een e-mail sturen naar <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","of bel ons op <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Onze openingstijden zijn <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Uw bestelling <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Geplaatst op <span class=""no-link"">%created_at</span>"
"Billing Info","Factuurgegevens"
"Shipping Info","Verzendgegevens"
"Payment Method","Betaalmethode"
"Shipping Method","Verzendmethode"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Zodra uw pakket verzonden is, sturen wij u een e-mail met een link om uw bestelling te volgen."
"Your %store_name order has shipped","Uw bestelling bij %store_name is verzonden"
"Your shipping confirmation is below. Thank you again for your business.","Hieronder vindt u uw verzendbevestiging. Nogmaals bedankt voor uw bestelling."
"Your Shipment #%shipment_id for Order #%order_id","Uw zending #%shipment_id voor bestelling #%order_id"
"Your digital content waiver is on file","Je afstandsverklaring voor digitale inhoud is geregistreerd"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hallo %name, je hebt ingestemd met onmiddellijke digitale levering van de onderstaande items — dit is je kopie van die toestemming op een duurzame drager (Art. 11a(4) CRD)."
"View order","Bestelling bekijken"
"Consented at","Toestemming verleend op"
"Acknowledged at","Erkend op"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Bewaar deze e-mail als je dossier op een duurzame drager. De verkoper heeft de SHA-256-hash opgeslagen van de juridische tekst die je hebt aanvaard:"
"Digital content waiver","Afstandsverklaring voor digitale inhoud"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","We hebben uw uitdrukkelijke toestemming nodig voordat u dit digitale artikel kunt kopen — lees beide punten zorgvuldig."
"We log this consent with your IP and timestamp for our audit record.","We registreren deze toestemming met uw IP-adres en tijdstempel voor onze auditregistratie."
"Continue","Doorgaan"
"Waiver could not be saved. Please retry.","Afstandsverklaring kon niet worden opgeslagen. Probeer het opnieuw."
"Enable for EU Withdrawal Lookup Form","Inschakelen voor zoekformulier EU-herroeping"
"MageMe Extensions","MageMe-extensies"
"EU Withdrawal","EU-herroeping"
"General","Algemeen"
"Enable Module","Module inschakelen"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Activeert de frontend en de cron-taken. Standaard: uitgeschakeld. Doorloop de handmatige installatiechecklist voordat u inschakelt."
"Request Number Prefix","Voorvoegsel aanvraagnummer"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Optioneel voorvoegsel dat in de klantgerichte interface vóór het verhogingsnummer van het herroepingsverzoek wordt geplaatst (bijv. ""RR-"" wordt weergegeven als ""RR-000000022""). Laat leeg om alleen het opgevulde nummer te tonen."
"Default Contract Type","Standaard contracttype"
"Frontend Route","Frontend-route"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL-voorvoegsel dat door de klantgerichte herroepingsflow wordt gebruikt (bijv. <code>withdraw-contract</code> wordt weergegeven als <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Herroepingstermijn"
"Delivery Confirmation Statuses","Statussen voor leveringsbevestiging"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Kies een of meer bestelstatussen waarvan de <em>overgang</em> betekent dat de klant de goederen in uw fulfilmentproces heeft ontvangen. De herroepingstermijn van 14 dagen gaat in op het tijdstip van de <em>eerste</em> overgang van de bestelling naar <em>een</em> van de geselecteerde statussen (Art. 9(2)(b) Richtlijn 2011/83/EU). Meervoudige selectie ondersteunt verkopers die meerdere ""geleverd""-statussen gebruiken (bijv. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Zolang de bestelling geen van deze statussen heeft bereikt, blijft het herroepingsrecht open zonder vaste deadline."
"Eligibility Rules (Art. 16 CRD Presets)","Geschiktheidsregels (vooraf ingestelde art. 16 CRD-uitsluitingen)"
"Art. 16(c) Custom-Made Goods","Art. 16(c) Op maat gemaakte goederen"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Sluit producten uit die volgens specificaties van de klant zijn gemaakt of duidelijk gepersonaliseerd zijn (bijv. gegraveerde sieraden, op maat gemaakte kleding). <strong>Vereist</strong> productattribuut <code>is_custom_made = true</code>. Indien ingeschakeld, kunnen bestellingen met dergelijke artikelen niet worden herroepen — klanten zien dit wanneer zij een herroeping willen starten."
"Art. 16(d) Perishable Goods","Art. 16(d) Bederfelijke goederen"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Sluit goederen uit die snel kunnen bederven of vervallen (verse levensmiddelen, snijbloemen, geneesmiddelen met korte houdbaarheid). <strong>Vereist</strong> productattribuut <code>is_perishable = true</code>. Schakel dit niet voor alle categorieën in — pas het alleen toe op werkelijk bederfelijke SKU's, anders weigert u onrechtmatig geldige herroepingen."
"Art. 16(e) Sealed Hygiene / Health","Art. 16(e) Verzegelde hygiëne- / gezondheidsproducten"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Sluit verzegelde hygiëne- of gezondheidsartikelen uit <strong>alleen als de verzegeling na de levering is verbroken</strong> (cosmetica, intieme kleding, verzegelde medische benodigdheden). <strong>Vereist</strong> productattribuut <code>is_sealed_hygiene = true</code>. De uitsluiting hangt af van een verzegelingscontrole op het moment van herroeping (workflow in phase-04) — een verzegeld, ongeopend retour blijft in aanmerking komen."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16(i) Verzegelde audio / video / software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Sluit verzegelde audio-opnamen, video-opnamen of verzegelde computersoftware uit <strong>alleen als de verzegeling na de levering is verbroken</strong>. <strong>Vereist</strong> productattribuut <code>is_sealed_av = true</code>. Dezelfde logica voor de verzegelingscontrole als bij Art. 16(e). Niet van toepassing op streaming- of digitale-downloadinhoud — gebruik daarvoor Art. 16(m)."
"Digital Content (Art. 16(m))","Digitale inhoud (art. 16(m))"
"Detection","Detectie"
"Enable Digital Content Detection","Detectie van digitale inhoud inschakelen"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Hoofdschakelaar voor de detectie van digitale inhoud volgens Art. 16(m). Indien uitgeschakeld wordt geen enkel product als digitaal herkend, is de stap met de afstandsverklaring bij het afrekenen niet vereist en staat de vooraf ingestelde regel altijd herroeping toe."
"Detection Strategies","Detectiestrategieën"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Welke heuristieken op basis van het producttype de poort van de afstandsverklaring voor digitale inhoud activeren. Downloadable + virtual zijn veilige standaardwaarden; bundle_contains_digital inspecteert de onderdelen van bundels; custom_attribute leest de hieronder geconfigureerde EAV-vlag."
"Custom Attribute Code","Code aangepast attribuut"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV-attribuutcode die <strong>alleen</strong> wordt gebruikt wanneer <em>Aangepaste attribuutvlag</em> hierboven in <em>Detectiestrategieën</em> is geselecteerd. Standaard: <code>is_digital_content</code> (booleaans attribuut, 1 = digitaal). In andere gevallen genegeerd."
"Checkout Step + Email","Afrekenstap + e-mail"
"Enable Checkout Waiver Step","Toestemmingsstap in afrekenproces inschakelen"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Indien ingeschakeld tonen winkelwagens met een gedetecteerd digitaal artikel de stap met de afstandsverklaring met 2 selectievakjes bij het afrekenen. Heeft geen effect tenzij <em>Detectie → Detectie van digitale inhoud inschakelen</em> ook is ingeschakeld."
"Merchant BCC Address for Confirmation Emails","BCC-adres verkoper voor bevestigingsmails"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Optioneel. Stuurt een blinde kopie van de bevestigingsmail van de afstandsverklaring naar een auditadres van de verkoper. Laat leeg om over te slaan."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Volledig virtuele artikelen bij bevestiging markeren als prestatie-aangevangen"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuele producten kennen geen downloadtrigger. Indien ingeschakeld telt het verzenden van de bevestigingsmail van de afstandsverklaring als aanvang van de uitvoering voor uitsluitend virtuele artikelen (I-6-grens)."
"Confirmation Email Identity","Afzenderidentiteit bevestigingsmail"
"Per-Locale Waiver Text Overrides","Tekstoverschrijvingen toestemmingsverklaring per taal"
"English (en_US)","Engels (en_US)"
"Consent Text","Toestemmingstekst"
"Right-Loss Acknowledgment Text","Tekst erkenning verlies van recht"
"German (de_DE)","Duits (de_DE)"
"Finnish (fi_FI)","Fins (fi_FI)"
"Dutch (nl_NL)","Nederlands (nl_NL)"
"French (fr_FR)","Frans (fr_FR)"
"Italian (it_IT)","Italiaans (it_IT)"
"Spanish (es_ES)","Spaans (es_ES)"
"Polish (pl_PL)","Pools (pl_PL)"
"Portuguese (pt_PT)","Portugees (pt_PT)"
"Danish (da_DK)","Deens (da_DK)"
"Swedish (sv_SE)","Zweeds (sv_SE)"
"German — Austria (de_AT)","Duits — Oostenrijk (de_AT)"
"Swedish — Finland (sv_FI)","Zweeds — Finland (sv_FI)"
"Dutch — Belgium (nl_BE)","Nederlands — België (nl_BE)"
"French — Belgium (fr_BE)","Frans — België (fr_BE)"
"German — Belgium (de_BE)","Duits — België (de_BE)"
"French — Luxembourg (fr_LU)","Frans — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Precontractuele informatie (art. 6(1)(h))"
"Enable Pre-Contract Disclosure","Precontractuele informatie inschakelen"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Hoofduitschakelaar. Uitgeschakeld = blok wordt niet getoond en er worden geen weergavegebeurtenissen geregistreerd. Uitschakelen stelt de verkoper bloot aan Art. 10 (verlengde herroepingstermijn van 12 maanden + 14 dagen). Standaard: ingeschakeld."
"Withdrawal Period (Days)","Herroepingstermijn (dagen)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Standaard 14 dagen op grond van Art. 9(2). Verlenging is toegestaan (bijv. 30, 100). Verkorting onder 14 is onwettig — het veld valideert >=14 alleen wanneer de module is ingeschakeld."
"Return Address","Retouradres"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Waar consumenten goederen naar terugsturen. Laat leeg om terug te vallen op het adres van Winkels → Configuratie → Algemeen → Algemeen → Winkelgegevens."
"Display In Checkout","Weergeven in afrekenproces"
"Annex I Overrides Per Locale","Overschrijvingen Bijlage I per taal"
"Bulgarian (bg_BG)","Bulgaars (bg_BG)"
"Czech (cs_CZ)","Tsjechisch (cs_CZ)"
"Greek (el_GR)","Grieks (el_GR)"
"Estonian (et_EE)","Estisch (et_EE)"
"Croatian (hr_HR)","Kroatisch (hr_HR)"
"Hungarian (hu_HU)","Hongaars (hu_HU)"
"Lithuanian (lt_LT)","Litouws (lt_LT)"
"Latvian (lv_LV)","Lets (lv_LV)"
"Romanian (ro_RO)","Roemeens (ro_RO)"
"Slovak (sk_SK)","Slowaaks (sk_SK)"
"Slovenian (sl_SI)","Sloveens (sl_SI)"
"Frontend","Frontend"
"Buttons","Knoppen"
"Step 1 Button Label","Knoptekst stap 1"
"Step 2 Button Label (Confirmation)","Knoptekst stap 2 (bevestiging)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridische waarschuwing.</strong> Dit is de tekst op de definitieve bevestigingsknop. De standaardwaarde (""Herroeping bevestigen"") is door juristen ondertekend. Per-locale translations are counsel-signed. Pas dit alleen aan met schriftelijk juridisch advies; overschrijvingen worden in het auditlogboek vastgelegd."
"Placements","Plaatsingen"
"Show Footer Link","Voettekstkoppeling tonen"
"Show in My Account","Tonen in Mijn account"
"Return Reasons","Retourredenen"
"Reasons","Redenen"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lijst met redenen die in het keuzemenu per artikel aan de klant worden aangeboden. <strong>Code</strong> is de machinewaarde die in de database wordt opgeslagen (kleine letters, snake_case, max. 32 tekens); <strong>Label</strong> is de zichtbare tekst. Een lege tabel verbergt het keuzemenu volledig."
"Enable ""Other"" with Free Text","""Overig"" met vrije tekst inschakelen"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Indien ingeschakeld verschijnt er in het keuzemenu een optie ""Overig"" die een vrijetekstveld toont (max. 500 tekens)."
"Review Step","Beoordelingsstap"
"Return Shipping Notice","Mededeling retourverzending"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Tekst die wordt weergegeven in de stap Controleren & bevestigen (stap 3). Voorbeeld: ""U ontvangt een vooruitbetaald verzendetiket in de bevestigingsmail."" of ""Retourverzendkosten zijn voor rekening van de klant."" Laat leeg om de regel te verbergen."
"Return Policy URL","URL retourbeleid"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Optionele link die naast de verzendmelding wordt weergegeven (""Bekijk retourbeleid""). Accepteert absolute URL's of relatieve paden zoals ""return-policy""."
"Customer Notifications","Klantmeldingen"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Alle klantgerichte e-mails die door de module worden verzonden. Elke e-mail kan worden in-/uitgeschakeld, voorzien van een aangepast sjabloon (Marketing → E-mailsjablonen) en in BCC naar een verkopersadres worden verstuurd. De gedeelde subgroep <em>Huisstijl</em> onderaan bepaalt de lay-out (USP-balk, socialemediakoppelingen) die door elke onderstaande e-mail wordt gebruikt."
"1. Submission Confirmation Email","1. Bevestigingsmail bij indiening"
"Enabled","Ingeschakeld"
"Email Template","E-mailsjabloon"
"BCC Merchant","BCC naar verkoper"
"Comma-separated. Leave blank to disable.","Door komma's gescheiden. Laat leeg om uit te schakelen."
"2. Approval Email","2. Goedkeuringsmail"
"3. Denial Email","3. Afwijzingsmail"
"4. Cancellation Email (Admin-Initiated)","4. Annuleringsmail (door beheerder)"
"5. Cancellation Email (Customer Self-Cancel)","5. Annuleringsmail (door klant zelf)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Ontvangstbevestigingsmail (duurzame gegevensdrager — art. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Wettelijk verplichte bevestiging op een duurzame gegevensdrager. Kan niet volledig worden uitgeschakeld (Art. 11a(4) Richtlijn 2011/83/EU). Uitschakelen hier stopt alleen de verzending — het bewijs wordt nog steeds gegenereerd en opgeslagen."
"Send Email","E-mail verzenden"
"Comma-separated.","Door komma's gescheiden."
"Delivery Retry Attempts","Aantal nieuwe bezorgpogingen"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Ontvanger DLQ-meldingen"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Wordt op de hoogte gebracht wanneer een bewijs definitief niet kan worden verzonden. Valt terug op Winkele-mailadressen → Algemeen contact."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Bevestigingsmail digitale toestemming (art. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopie op een duurzame gegevensdrager van de afstandsverklaring van de klant volgens Art. 16(m), direct na het afrekenen verzonden wanneer een digitaal artikel in de winkelwagen zit. Vereist op grond van Art. 11a(4) Richtlijn 2011/83/EU — bewaart een manipulatiebestendig dossier van de juridische tekst die de klant heeft aanvaard, plus de SHA-256-hash voor verificatie van de hashketen."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Door komma's gescheiden. Ontvangt voor auditdoeleinden een kopie van elke bevestiging."
"Branding (Shared by All Emails Above)","Huisstijl (gedeeld door alle bovenstaande e-mails)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Optionele opmaak van de klantgerichte e-mails. Lege velden verbergen de bijbehorende regels. Het merkwoordmerk, logo, support-e-mailadres en winkeladres worden gelezen uit de standaard Magento-configuratieboom (Winkels → Configuratie → Algemeen + Design → Transactionele e-mails)."
"USP Strip — Item 1","USP-balk — item 1"
"Icon","Pictogram"
"Title","Titel"
"Subtitle","Ondertitel"
"USP Strip — Item 2","USP-balk — item 2"
"USP Strip — Item 3","USP-balk — item 3"
"Social Links","Sociale media-koppelingen"
"Instagram URL","Instagram-URL"
"X / Twitter URL","X/Twitter-URL"
"Facebook URL","Facebook-URL"
"YouTube URL","YouTube-URL"
"Order #","Bestelling #"
"Contract","Overeenkomst"
"Customer","Klant"
"Withdrawal submitted","Herroeping ingediend"
"Right of Withdrawal — Required Information","Herroepingsrecht — Verplichte informatie"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your %1-day right of withdrawal. This information forms part of your contract.","Lees voordat u uw bestelling plaatst de voorwaarden, termijn en procedures voor het uitoefenen van uw %1 dagen herroepingsrecht. Deze informatie maakt deel uit van uw overeenkomst."
"Conditions, Time Limit and Procedures for Withdrawal","Voorwaarden, termijn en procedures voor herroeping"
"Start Online Return","Online retourneren starten"
"Download Model Withdrawal Form (Annex I(B))","Modelformulier voor herroeping downloaden (Bijlage I(B))"
"Withdrawal Information v%1 — Issued %2","Herroepingsinformatie v%1 — uitgegeven %2"
"You'll receive a prepaid shipping label in the confirmation email.","U ontvangt een vooruitbetaald verzendetiket in de bevestigingsmail."
"← Back to order search","← Terug naar bestelzoeken"
"← Back to items","← Terug naar artikelen"
"Find order","Bestelling vinden"
"Enter your order number and email","Voer uw bestelnummer en e-mailadres in"
"Select items","Artikelen selecteren"
