"View Credit Memo","Skatīt kredītrēķinu"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Jūsu apliecinājums par atteikuma tiesību zaudēšanu"
"Bestätigt am:","Apliecināts:"
"Verzichtsreferenz:","Atteikšanās atsauce:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Juridiskais pamats: Patērētāju tiesību direktīvas 2011/83/ES 16. panta m) apakšpunkts."
"Digital content waiver confirmation — Order %1","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %1"
"Dear %name,","Cienījamais(-ā) %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Šis ir pastāvīgā informācijas nesējā saglabāts apstiprinājums jūsu skaidri izteiktajai piekrišanai sākt turpmāk minēto digitālo preču izpildi, kā arī jūsu apliecinājumam, ka tādējādi zaudējat atteikuma tiesības (Direktīvas 2011/83/ES 16. panta m) apakšpunkts)."
"Digital items covered by this waiver","Digitālās preces, uz kurām attiecas šī atteikšanās"
"Your express consent","Tava skaidri izteiktā piekrišana"
"Consented at:","Piekrišanas datums:"
"Your acknowledgment of loss of withdrawal right","Tava apliecinājums par atteikuma tiesību zaudēšanu"
"Acknowledged at:","Apliecināts:"
"Waiver reference:","Atteikšanās atsauce:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Juridiskais pamats: Patērētāju tiesību direktīvas 2011/83/ES 16. panta m) apakšpunkts."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %increment_id"
"Hyvä %name,","Cienījamais(-ā) %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Šis ir pastāvīgā informācijas nesējā saglabāts apstiprinājums jūsu skaidri izteiktajai piekrišanai sākt turpmāk minētā digitālā satura piegādi, kā arī jūsu apliecinājumam, ka zaudējat atteikuma tiesības (Direktīvas 2011/83/ES 16. panta m) apakšpunkts)."
"Luopumisen kattamat digitaaliset sisällöt","Atteikšanās aptvertie digitālie saturi"
"Nimenomainen suostumuksesi","Jūsu skaidri izteiktā piekrišana"
"Suostuttu:","Piekrišanas datums:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Jūsu apliecinājums par atteikuma tiesību zaudēšanu"
"Vahvistettu:","Apliecināts:"
"Luopumisen viite:","Atteikšanās atsauce:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Juridiskais pamats: Patērētāju tiesību direktīvas 2011/83/ES 16. panta m) apakšpunkts."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %increment_id"
"Cher/Chère %name,","Cienījamais(-ā) %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Šis ir pastāvīgā informācijas nesējā saglabāts apstiprinājums jūsu skaidri izteiktajai piekrišanai sākt turpmāk minētā digitālā satura izpildi, kā arī jūsu apliecinājumam, ka tādējādi zaudējat atteikuma tiesības (Direktīvas 2011/83/ES 16. panta m) apakšpunkts)."
"Contenus numériques couverts par la présente renonciation","Šajā atteikšanās dokumentā iekļautais digitālais saturs"
"Votre consentement exprès","Jūsu skaidri izteiktā piekrišana"
"Consenti le :","Piekrišanas datums:"
"Votre reconnaissance de la perte du droit de rétractation","Jūsu apliecinājums par atteikuma tiesību zaudēšanu"
"Reconnu le :","Apliecināts:"
"Référence de renonciation :","Atteikšanās atsauce:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Juridiskais pamats: Patērētāju tiesību direktīvas 2011/83/ES 16. panta m) apakšpunkts."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Digitālā satura atteikšanās apstiprinājums — Pasūtījums %increment_id"
"Beste %name,","Cienījamais(-ā) %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Šis ir pastāvīgā informācijas nesējā saglabāts apstiprinājums jūsu skaidri izteiktajai piekrišanai sākt turpmāk minētā digitālā satura piegādi, kā arī jūsu apliecinājumam, ka tādējādi zaudējat atteikuma tiesības (Direktīvas 2011/83/ES 16. panta m) apakšpunkts)."
"Onder deze afstand vallende digitale items","Šajā atteikšanās dokumentā iekļautās digitālās preces"
"Uw uitdrukkelijke toestemming","Jūsu skaidri izteiktā piekrišana"
"Toestemming verleend op:","Piekrišanas datums:"
"Uw erkenning van verlies van herroepingsrecht","Jūsu apliecinājums par atteikuma tiesību zaudēšanu"
"Erkend op:","Apliecināts:"
"Afstandreferentie:","Atteikšanās atsauce:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Juridiskais pamats: Patērētāju tiesību direktīvas 2011/83/ES 16. panta m) apakšpunkts."
"[EU Withdrawal] Receipt send failed — request #%request_id","[ES atteikums] Apliecinājuma nosūtīšana neizdevās — pieprasījums #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Atteikuma pieprasījuma #%request_id apliecinājuma e-pasta nosūtīšana ir neatgriezeniski neizdevusies."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Pārbaudiet kolonnu <code>mm_eu_withdrawal_request.receipt_last_error</code>, lai uzzinātu pēdējo kļūdas paziņojumu, un kolonnu <code>mm_eu_withdrawal_request.receipt_send_attempts</code>, lai uzzinātu atkārtoto mēģinājumu skaitu."
"You can requeue the send from the admin grid after resolving the underlying issue.","Pēc pamatproblēmas novēršanas sūtījumu varat atkārtoti pievienot rindai no administratora režģa."
"Your refund is on its way — Withdrawal #%1","Tava atmaksa ir ceļā — Atteikums #%1"
"Your refund is on its way","Tava atmaksa ir ceļā"
"Hi %name, we've approved your withdrawal request and started the refund process.","Sveiks, %name, esam apstiprinājuši tavu atteikuma pieprasījumu un sākuši atmaksas procesu."
"View refund details","Skatīt atmaksas informāciju"
"Withdrawal number","Atteikuma numurs"
"Approved on","Apstiprināts"
"Estimated arrival","Paredzamais saņemšanas laiks"
"Status","Statuss"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Atmaksa tiks veikta uz tavu sākotnējo maksāšanas veidu 5–7 darba dienu laikā. Redzēsi to kartes vai bankas konta izrakstā, tiklīdz tā tiks ieskaitīta."
"Need help?","Vajag palīdzību?"
"Reply to this email or contact us at","Atbildi uz šo e-pastu vai sazinies ar mums"
"Your withdrawal was cancelled — Withdrawal #%1","Tavs atteikums tika atcelts — Atteikums #%1"
"Your withdrawal was cancelled","Tavs atteikums tika atcelts"
"Hi %name, we've cancelled your withdrawal request.","Sveiks, %name, esam atcēluši tavu atteikuma pieprasījumu."
"Submit a new request","Iesniegt jaunu pieprasījumu"
"Cancelled request","Atcelts pieprasījums"
"Cancelled on","Atcelts"
"Refund requested","Pieprasītā atmaksa"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Ja tas bija negaidīti, tu vari iesniegt jaunu atteikuma pieprasījumu, kamēr tavs 14 dienu termiņš vēl ir spēkā. Sazinies ar mums, ja vajag palīdzību — labprāt paskaidrosim."
"Cancellation confirmed — Withdrawal #%1","Atcelšana apstiprināta — Atteikums #%1"
"Cancellation confirmed","Atcelšana apstiprināta"
"Hi %name, your withdrawal request has been cancelled as you asked.","Sveiks, %name, tavs atteikuma pieprasījums ir atcelts, kā lūdzi."
"Back to my orders","Atpakaļ uz maniem pasūtījumiem"
"Cancelled by","Atcēla"
"You","Jūs"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Tavs pasūtījums paliek aktīvs un nav nepieciešamas turpmākas darbības. Ja pārdomā, jaunu atteikuma pieprasījumu vari iesniegt jebkurā brīdī sava 14 dienu termiņa laikā."
"Update on your withdrawal request — Withdrawal #%1","Atjauninājums par tavu atteikuma pieprasījumu — Atteikums #%1"
"We can't process this withdrawal","Mēs nevaram apstrādāt šo atteikumu"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Sveiks, %name, pēc tava atteikuma pieprasījuma izskatīšanas nevaram to apstiprināt."
"Request details","Pieprasījuma informācija"
"Reviewed on","Pārskatīts"
"Decision","Lēmums"
"Reason from our team","Mūsu komandas pamatojums"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Ja vēlies pārrunāt šo lēmumu, mūsu komanda labprāt palīdzēs. Atbildi uz šo e-pastu vai izmanto pogu augšpusē."
"Your withdrawal request has been submitted — Order #%1","Tavs atteikuma pieprasījums ir iesniegts — Pasūtījums #%1"
"Your return request has been submitted","Tavs atgriešanas pieprasījums ir iesniegts"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Sveiks, %name, esam saņēmuši tavu atgriešanas pieprasījumu un šobrīd to izskatām. Sniegsim atbildi, kad būsim pārbaudījuši atgriešanu un apstrādājuši atmaksu."
"Return number","Atgriešanas numurs"
"Requested on","Pieprasīts"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Mēs pārbaudīsim tavu atgriešanu un paziņosim pēc apstiprināšanas. Atmaksas tiek veiktas uz sākotnējo maksāšanas veidu 5–7 darba dienu laikā pēc apstiprināšanas."
"If you have any questions, our customer service team is here to help.","Ja tev ir kādi jautājumi, mūsu klientu apkalpošanas komanda labprāt palīdzēs."
"Visit our help center","Apmeklē mūsu palīdzības centru"
"If you did not initiate this request, contact us immediately at","Ja šo pieprasījumu neuzsāki tu, nekavējoties sazinies ar mums"
"Withdrawal receipt — Order #%1","Atteikuma apliecinājums — Pasūtījums #%1"
"Withdrawal receipt","Atteikuma apliecinājums"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Sveiks, %name, šis e-pasts ir tavs atteikuma pierādījums pastāvīgā informācijas nesējā saskaņā ar Direktīvas 2011/83/ES 11.a pantu. Saglabā to savai uzskaitei."
"Submitted on","Iesniegts"
"Your %store_name order confirmation","Jūsu %store_name pasūtījuma apstiprinājums"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Paldies par pasūtījumu veikalā %store_name."
"Once your package ships we will send you a tracking number.","Tiklīdz jūsu sūtījums tiks nosūtīts, mēs jums nosūtīsim izsekošanas numuru."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sava pasūtījuma statusu varat pārbaudīt, <a href=""%account_url"">piesakoties savā kontā</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ja jums ir jautājumi par pasūtījumu, varat mums rakstīt uz <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","vai zvanīt mums pa tālruni <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Mūsu darba laiks ir <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Jūsu pasūtījums <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Veikts <span class=""no-link"">%created_at</span>"
"Billing Info","Norēķinu informācija"
"Shipping Info","Piegādes informācija"
"Payment Method","Maksāšanas veids"
"Shipping Method","Piegādes veids"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Tiklīdz jūsu sūtījums tiks nosūtīts, mēs nosūtīsim e-pastu ar saiti pasūtījuma izsekošanai."
"Your %store_name order has shipped","Jūsu %store_name pasūtījums ir nosūtīts"
"Your shipping confirmation is below. Thank you again for your business.","Jūsu piegādes apstiprinājums ir zemāk. Vēlreiz paldies par pirkumu."
"Your Shipment #%shipment_id for Order #%order_id","Jūsu sūtījums #%shipment_id pasūtījumam #%order_id"
"Your digital content waiver is on file","Tava digitālā satura atteikšanās ir reģistrēta"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Sveiks, %name, tu esi piekritis tūlītējai zemāk minēto preču digitālajai piegādei — šī ir tava piekrišanas kopija pastāvīgā informācijas nesējā (Patērētāju tiesību direktīvas 11.a panta 4. punkts)."
"View order","Skatīt pasūtījumu"
"Consented at","Piekrišana sniegta"
"Acknowledged at","Apliecināts"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Saglabā šo e-pastu kā savu ierakstu pastāvīgā informācijas nesējā. Tirgotājs ir saglabājis SHA-256 jaucējkodu juridiskajam tekstam, kuru tu pieņēmi:"
"Digital content waiver","Atteikšanās no tiesībām par digitālo saturu"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Pirms šī digitālā produkta iegādes mums nepieciešama jūsu skaidra piekrišana — lūdzu, uzmanīgi izlasiet abus punktus."
"We log this consent with your IP and timestamp for our audit record.","Šo piekrišanu reģistrējam ar jūsu IP adresi un laika zīmogu mūsu audita uzskaitei."
"Continue","Turpināt"
"Waiver could not be saved. Please retry.","Atteikšanos neizdevās saglabāt. Lūdzu, mēģiniet vēlreiz."
"Enable for EU Withdrawal Lookup Form","Iespējot ES atteikuma meklēšanas veidlapai"
"MageMe Extensions","MageMe paplašinājumi"
"EU Withdrawal","ES atteikuma tiesības"
"General","Vispārīgi"
"Enable Module","Iespējot moduli"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivizē lietotāja saskarni un cron uzdevumus. Noklusējums: atspējots. Pirms iespējošanas izpildiet manuālās uzstādīšanas kontrolsarakstu."
"Request Number Prefix","Pieprasījuma numura prefikss"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Neobligāts prefikss, kas tiek pievienots atteikuma pieprasījuma palielinājuma ID klientam redzamajā saskarnē (piemēram, „RR-“ tiek attēlots kā „RR-000000022“). Atstājiet tukšu, lai parādītu tikai papildināto numuru."
"Default Contract Type","Noklusētais līguma veids"
"Frontend Route","Lietotāja saskarnes maršruts"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL prefikss, ko izmanto klienta atteikuma plūsma (piemēram, <code>withdraw-contract</code> tiek attēlots kā <code>/withdraw-contract/...</code>). Tikai mazie burti, cipari, defises un pasvītras."
"Withdrawal Period","Atteikuma periods"
"Delivery Confirmation Statuses","Piegādes apstiprinājuma statusi"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Izvēlieties vienu vai vairākus pasūtījuma statusus, kuru <em>pāreja</em> jūsu izpildes plūsmā nozīmē, ka klients ir saņēmis preces. 14 dienu atteikuma termiņš sākas no pasūtījuma <em>pirmās</em> pārejas <em>jebkurā</em> no atzīmētajiem statusiem laika zīmoga (Direktīvas 2011/83/ES 9. panta 2. punkta b) apakšpunkts). Vairākatlase atbalsta tirgotājus, kuri izmanto vairākus „piegādāts“ tipa statusus (piemēram, <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Kamēr pasūtījums nesasniedz nevienu no tiem, atteikuma tiesības ir spēkā bez fiksēta termiņa."
"Eligibility Rules (Art. 16 CRD Presets)","Atbilstības noteikumi (16. panta CRD priekšiestatījumi)"
"Art. 16(c) Custom-Made Goods","16. panta c) apakšpunkts Pēc pasūtījuma izgatavotas preces"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Izslēdz preces, kas izgatavotas pēc klienta specifikācijām vai ir skaidri personalizētas (piemēram, gravēta juvelierizstrādājumi, pēc mēra šūts apģērbs). <strong>Nepieciešams</strong> produkta atribūts <code>is_custom_made = true</code>. Ja iespējots, pasūtījumus, kas satur šādas preces, nevar atteikt — klienti to redzēs, mēģinot uzsākt atteikumu."
"Art. 16(d) Perishable Goods","16. panta d) apakšpunkts Ātri bojājošās preces"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Izslēdz preces, kas var ātri sabojāties vai zaudēt derīgumu (svaiga pārtika, grieztie ziedi, īsa derīguma termiņa farmaceitiskie līdzekļi). <strong>Nepieciešams</strong> produkta atribūts <code>is_perishable = true</code>. Neiespējojiet to visām kategorijām — piemērojiet to tikai patiesi ātri bojājošos SKU, pretējā gadījumā nelikumīgi noraidīsiet derīgus atteikumus."
"Art. 16(e) Sealed Hygiene / Health","16. panta e) apakšpunkts Aizzīmogotas higiēnas / veselības preces"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Izslēdz aizzīmogotas higiēnas vai veselības preces <strong>tikai tad, ja aizzīmogojums ir bojāts pēc piegādes</strong> (kosmētika, intīmais apģērbs, aizzīmogotas medicīnas preces). <strong>Nepieciešams</strong> produkta atribūts <code>is_sealed_hygiene = true</code>. Izslēgšana ir atkarīga no aizzīmogojuma pārbaudes atteikuma brīdī (plūsma phase-04 posmā) — aizzīmogota, neatvērta atgriešana paliek atbilstoša."
"Art. 16(i) Sealed Audio / Video / Software","16. panta i) apakšpunkts Aizzīmogoti audio / video / programmatūras ieraksti"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Izslēdz aizzīmogotus skaņu ierakstus, videoierakstus vai aizzīmogotu datorprogrammatūru <strong>tikai tad, ja aizzīmogojums ir bojāts pēc piegādes</strong>. <strong>Nepieciešams</strong> produkta atribūts <code>is_sealed_av = true</code>. Tāda pati aizzīmogojuma pārbaudes loģika kā 16. panta e) apakšpunktā. Neattiecas uz straumēšanas / digitālās lejupielādes saturu — tam izmantojiet 16. panta m) apakšpunktu."
"Digital Content (Art. 16(m))","Digitālais saturs (16. panta m) apakšpunkts)"
"Detection","Noteikšana"
"Enable Digital Content Detection","Iespējot digitālā satura noteikšanu"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Galvenais slēdzis 16. panta m) apakšpunkta digitālā satura noteikšanai. Kad izslēgts, neviens produkts netiek atzīts par digitālu, norēķinu atteikšanās solis nav nepieciešams, un priekšiestatījums vienmēr atļauj atteikumu."
"Detection Strategies","Noteikšanas stratēģijas"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Kuras produkta tipa heiristikas aktivizē digitālā satura atteikšanās vārtus. Downloadable + virtual ir droši noklusējumi; bundle_contains_digital pārbauda komplekta apakšvienības; custom_attribute nolasa zemāk konfigurēto EAV karodziņu."
"Custom Attribute Code","Pielāgota atribūta kods"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","EAV atribūta kods, ko izmanto <strong>tikai</strong> tad, kad <em>Pielāgota atribūta karodziņš</em> ir atlasīts iepriekš sadaļā <em>Noteikšanas stratēģijas</em>. Noklusējums: <code>is_digital_content</code> (būla atribūts, 1 = digitāls). Pretējā gadījumā tiek ignorēts."
"Checkout Step + Email","Norēķinu solis + e-pasts"
"Enable Checkout Waiver Step","Iespējot piekrišanas soli norēķinos"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Kad ieslēgts, grozi, kas satur konstatētu digitālo preci, norēķinos parāda atteikšanās soli ar 2 izvēles rūtiņām. Nedarbojas, ja arī <em>Noteikšana → Iespējot digitālā satura noteikšanu</em> nav ieslēgts."
"Merchant BCC Address for Confirmation Emails","Tirgotāja slēptās kopijas adrese apstiprinājuma e-pastiem"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Neobligāti. Atteikšanās apstiprinājuma e-pasta slēptās kopijas adrese tirgotāja audita vajadzībām. Atstājiet tukšu, lai izlaistu."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Apstiprinot atzīmēt tikai virtuālās preces kā tādas, kuru izpilde sākta"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuālajiem produktiem nav lejupielādes aktivizētāja. Kad ieslēgts, atteikšanās apstiprinājuma e-pasta nosūtīšana tiek uzskatīta par izpildes sākumu tikai virtuālajām precēm (I-6 robeža)."
"Confirmation Email Identity","Apstiprinājuma e-pasta sūtītājs"
"Per-Locale Waiver Text Overrides","Piekrišanas teksta aizstāšana pa valodām"
"English (en_US)","Angļu (en_US)"
"Consent Text","Piekrišanas teksts"
"Right-Loss Acknowledgment Text","Tiesību zaudēšanas apliecinājuma teksts"
"German (de_DE)","Vācu (de_DE)"
"Finnish (fi_FI)","Somu (fi_FI)"
"Dutch (nl_NL)","Holandiešu (nl_NL)"
"French (fr_FR)","Franču (fr_FR)"
"Italian (it_IT)","Itāļu (it_IT)"
"Spanish (es_ES)","Spāņu (es_ES)"
"Polish (pl_PL)","Poļu (pl_PL)"
"Portuguese (pt_PT)","Portugāļu (pt_PT)"
"Danish (da_DK)","Dāņu (da_DK)"
"Swedish (sv_SE)","Zviedru (sv_SE)"
"German — Austria (de_AT)","Vācu — Austrija (de_AT)"
"Swedish — Finland (sv_FI)","Zviedru — Somija (sv_FI)"
"Dutch — Belgium (nl_BE)","Holandiešu — Beļģija (nl_BE)"
"French — Belgium (fr_BE)","Franču — Beļģija (fr_BE)"
"German — Belgium (de_BE)","Vācu — Beļģija (de_BE)"
"French — Luxembourg (fr_LU)","Franču — Luksemburga (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Pirmslīguma informācija (6. panta 1. punkta h) apakšpunkts)"
"Enable Pre-Contract Disclosure","Iespējot pirmslīguma informāciju"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Galvenais izslēgšanas slēdzis. Atspējots = bloks netiek attēlots un netiek reģistrēti attēlošanas notikumi. Atspējošana pakļauj tirgotāju 10. panta riskam (pagarināts atteikuma termiņš: 12 mēneši + 14 dienas). Noklusējums: iespējots."
"Withdrawal Period (Days)","Atteikuma periods (dienās)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Noklusējums ir 14 dienas saskaņā ar 9. panta 2. punktu. Pagarinājums atļauts (piemēram, 30, 100). Samazināšana zem 14 ir nelikumīga — lauks validē >=14 tikai tad, kad modulis ir iespējots."
"Return Address","Atgriešanas adrese"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kur patērētāji nosūta preces atpakaļ. Atstājiet tukšu, lai izmantotu rezerves adresi no Veikali → Konfigurācija → Vispārīgi → Vispārīgi → Veikala informācija."
"Display In Checkout","Rādīt norēķinos"
"Annex I Overrides Per Locale","I pielikuma aizstāšana pa valodām"
"Bulgarian (bg_BG)","Bulgāru (bg_BG)"
"Czech (cs_CZ)","Čehu (cs_CZ)"
"Greek (el_GR)","Grieķu (el_GR)"
"Estonian (et_EE)","Igauņu (et_EE)"
"Croatian (hr_HR)","Horvātu (hr_HR)"
"Hungarian (hu_HU)","Ungāru (hu_HU)"
"Lithuanian (lt_LT)","Lietuviešu (lt_LT)"
"Latvian (lv_LV)","Latviešu (lv_LV)"
"Romanian (ro_RO)","Rumāņu (ro_RO)"
"Slovak (sk_SK)","Slovāku (sk_SK)"
"Slovenian (sl_SI)","Slovēņu (sl_SI)"
"Frontend","Lietotāja saskarne"
"Buttons","Pogas"
"Step 1 Button Label","1. soļa pogas etiķete"
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase. Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Juridisks brīdinājums (atšķirība Nr. 4).</strong> Direktīvas 2011/83/ES 11.a panta 2. punkts pieprasa burtisku tekstu „withdraw from contract here“ <em>vai atbilstošu nepārprotamu formulējumu</em>. Noklusētā vērtība („Atteikties no līguma šeit“) ir Direktīvas burtiska frāze. Per-locale translations are counsel-signed. <strong>Nepārrakstiet, ja vien neesat saņēmis rakstisku padomu no kvalificēta patērētāju tiesību juriskonsulta mērķa jurisdikcijā.</strong> Katrs pārrakstījums tiek reģistrēts audita žurnālā."
"Step 2 Button Label (Confirmation)","2. soļa pogas etiķete (apstiprinājums)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Juridisks brīdinājums (atšķirība Nr. 4).</strong> Šī ir etiķete uz galīgā apstiprinājuma pogas. Noklusējums („Apstiprināt atteikumu“) ir juriskonsulta apstiprināts. Per-locale translations are counsel-signed. Pārrakstiet tikai ar rakstisku juridisku padomu; pārrakstījumi tiek reģistrēti audita žurnālā."
"Placements","Izvietojumi"
"Show Footer Link","Rādīt saiti kājenē"
"Show in My Account","Rādīt sadaļā „Mans konts“"
"Return Reasons","Atgriešanas iemesli"
"Reasons","Iemesli"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Iemeslu saraksts, kas tiek piedāvāts klientam preces līmeņa nolaižamajā sarakstā. <strong>Kods</strong> ir mašīnas vērtība, kas tiek saglabāta datubāzē (mazie burti, snake_case, maks. 32 rakstzīmes); <strong>Etiķete</strong> ir redzamais teksts. Tukšs režģis pilnībā paslēpj nolaižamo sarakstu."
"Enable ""Other"" with Free Text","Iespējot „Cits“ ar brīvu tekstu"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Kad iespējots, nolaižamajā sarakstā parādās opcija „Cits“, kas atklāj brīva teksta lauku (maks. 500 rakstzīmes)."
"Review Step","Pārskata solis"
"Return Shipping Notice","Atgriešanas sūtīšanas paziņojums"
