"View Credit Memo","Преглед на кредитното известие"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Това е потвърждение на траен носител на вашето изрично съгласие за започване на доставката на следните цифрови съдържания, както и на потвърждението ви, че по този начин губите правото си на отказ (чл. 6:230s от Гражданския кодекс на Нидерландия)."
"Onder deze afstand vallende digitale items","Цифрови артикули, обхванати от настоящото съгласие"
"Uw uitdrukkelijke toestemming","Вашето изрично съгласие"
"Toestemming verleend op:","Съгласие дадено на:"
"Uw erkenning van verlies van herroepingsrecht","Вашето потвърждение за загуба на правото на отказ"
"Erkend op:","Потвърдено на:"
"Afstandreferentie:","Референция на съгласието:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Правно основание: чл. 6:230s от Гражданския кодекс на Нидерландия / чл. 16(м) от Директива 2011/83/ЕС."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Неуспешно изпращане на разписка — заявка #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Имейлът с разписка за заявка за отказ #%request_id окончателно не успя да бъде изпратен."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Проверете колоната <code>mm_eu_withdrawal_request.receipt_last_error</code> за последното съобщение за грешка и колоната <code>mm_eu_withdrawal_request.receipt_send_attempts</code> за броя опити."
"You can requeue the send from the admin grid after resolving the underlying issue.","Можете да поставите изпращането обратно в опашката от административната таблица, след като отстраните основния проблем."
"Your refund is on its way — Withdrawal #%1","Възстановяването ти е на път — Отказ #%1"
"Your refund is on its way","Възстановяването ти е на път"
"Hi %name, we've approved your withdrawal request and started the refund process.","Здравей, %name, одобрихме заявката ти за отказ и започнахме процеса по възстановяване."
"View refund details","Виж детайлите за възстановяването"
"Withdrawal number","Номер на отказа"
"Approved on","Одобрено на"
"Estimated arrival","Очаквано получаване"
"Status","Статус"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Сумата ще бъде върната по първоначалния ти начин на плащане в рамките на 5–7 работни дни. Ще я видиш в извлечението на картата или банковата сметка, щом постъпи."
"Need help?","Нуждаеш се от помощ?"
"Reply to this email or contact us at","Отговори на това писмо или се свържи с нас на"
"Your withdrawal was cancelled — Withdrawal #%1","Отказът ти беше анулиран — Отказ #%1"
"Your withdrawal was cancelled","Отказът ти беше анулиран"
"Hi %name, we've cancelled your withdrawal request.","Здравей, %name, анулирахме заявката ти за отказ."
"Submit a new request","Подай нова заявка"
"Cancelled request","Анулирана заявка"
"Cancelled on","Анулирано на"
"Refund requested","Заявена сума за възстановяване"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Ако това е било неочаквано, можеш да подадеш нова заявка за отказ, докато 14-дневният ти срок все още е активен. Свържи се с нас, ако имаш нужда от помощ — с радост ще ти обясним."
"Cancellation confirmed — Withdrawal #%1","Анулирането е потвърдено — Отказ #%1"
"Cancellation confirmed","Анулирането е потвърдено"
"Hi %name, your withdrawal request has been cancelled as you asked.","Здравей, %name, заявката ти за отказ беше анулирана, както пожела."
"Back to my orders","Обратно към моите поръчки"
"Cancelled by","Анулирано от"
"You","Вие"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Поръчката ти остава активна и не се изискват допълнителни действия. Ако промениш решението си, можеш да започнеш нова заявка за отказ по всяко време в рамките на 14-дневния срок."
"Update on your withdrawal request — Withdrawal #%1","Актуализация на заявката ти за отказ — Отказ #%1"
"We can't process this withdrawal","Не можем да обработим този отказ"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Здравей, %name, след преглед на заявката ти за отказ не можем да я одобрим."
"Request details","Детайли на заявката"
"Reviewed on","Прегледано на"
"Decision","Решение"
"Reason from our team","Причина от нашия екип"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Ако искаш да обсъдиш това решение, екипът ни е насреща. Отговори на това писмо или използвай бутона по-горе."
"Your withdrawal request has been submitted — Order #%1","Заявката ти за отказ беше подадена — Поръчка #%1"
"Your return request has been submitted","Заявката ти за връщане беше подадена"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Здравей, %name, получихме заявката ти за връщане и я преглеждаме. Ще получиш отговор, след като прегледаме връщането и обработим възстановяването."
"Return number","Номер на връщането"
"Requested on","Заявено на"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Ще прегледаме връщането ти и ще те уведомим след одобрение. Възстановяванията се извършват по първоначалния начин на плащане в рамките на 5–7 работни дни след одобрение."
"If you have any questions, our customer service team is here to help.","Ако имаш въпроси, екипът ни за обслужване на клиенти е насреща."
"Visit our help center","Посети нашия център за помощ"
"If you did not initiate this request, contact us immediately at","Ако не си подавал тази заявка, свържи се с нас незабавно на"
"Withdrawal receipt — Order #%1","Потвърждение за отказ — Поръчка #%1"
"Withdrawal receipt","Потвърждение за отказ"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Здравей, %name, това писмо е твоето доказателство за отказ на траен носител съгласно чл. 11а от Директива 2011/83/ЕС. Запази го за свои нужди."
"Submitted on","Подадено на"
"Your %store_name order confirmation","Потвърждение за вашата поръчка от %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Благодарим ви за поръчката от %store_name."
"Once your package ships we will send you a tracking number.","След като пратката бъде изпратена, ще ви изпратим номер за проследяване."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Можете да проверите статуса на поръчката си, като <a href=""%account_url"">влезете в профила си</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ако имате въпроси относно поръчката си, можете да ни пишете на <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","или да ни се обадите на <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Нашето работно време е <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Вашата поръчка <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Направена на <span class=""no-link"">%created_at</span>"
"Billing Info","Данни за фактуриране"
"Shipping Info","Данни за доставка"
"Payment Method","Метод на плащане"
"Shipping Method","Метод на доставка"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","След като пратката бъде изпратена, ще ви изпратим имейл с връзка за проследяване на поръчката."
"Your %store_name order has shipped","Вашата поръчка от %store_name беше изпратена"
"Your shipping confirmation is below. Thank you again for your business.","Потвърждението за доставка е по-долу. Благодарим ви още веднъж за избора."
"Your Shipment #%shipment_id for Order #%order_id","Вашата пратка #%shipment_id за поръчка #%order_id"
"Your digital content waiver is on file","Твоето съгласие за цифрово съдържание е записано"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Здравей, %name, ти даде съгласие за незабавна цифрова доставка на посочените по-долу артикули — това е твоето копие на съгласието на траен носител (чл. 11а(4) от Директивата за правата на потребителите)."
"View order","Виж поръчката"
"Consented at","Съгласие дадено на"
"Acknowledged at","Потвърдено на"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Запази това писмо като свой запис на траен носител. Търговецът е съхранил SHA-256 хеша на правния текст, който си приел:"
"Digital content waiver","Отказ от право за цифрово съдържание"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Нуждаем се от изричното ви съгласие, преди да можете да закупите тази цифрова стока — моля, прочетете внимателно и двете точки."
"We log this consent with your IP and timestamp for our audit record.","Записваме това съгласие с вашия IP адрес и времеви маркер за нашия одитен запис."
"Continue","Продължи"
"Waiver could not be saved. Please retry.","Съгласието не можа да бъде запазено. Моля, опитайте отново."
"Enable for EU Withdrawal Lookup Form","Активиране за формуляра за справка по отказ от ЕС"
"MageMe Extensions","MageMe разширения"
"EU Withdrawal","Отказ по ЕС"
"General","Общи"
"Enable Module","Активиране на модула"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Активира функционалността във витрината и cron заданията. По подразбиране: изключено. Завършете контролния списък за ръчна настройка, преди да активирате."
"Request Number Prefix","Префикс на номера на заявката"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Незадължителен префикс, добавян пред инкременталния идентификатор на заявката за отказ в потребителския интерфейс (напр. „RR-“ се извежда като „RR-000000022“). Оставете празно, за да се показва само номерът."
"Default Contract Type","Тип договор по подразбиране"
"Frontend Route","Маршрут във витрината"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","URL префикс, използван от потребителския процес за отказ (напр. <code>withdraw-contract</code> се извежда като <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Срок за отказ"
"Delivery Confirmation Statuses","Статуси за потвърждение на доставка"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Изберете един или повече статуси на поръчка, чийто <em>преход</em> означава, че клиентът е получил стоките във вашия процес на изпълнение. 14-дневният срок за отказ започва да тече от момента на <em>най-ранния</em> преход на поръчката към <em>някой</em> от избраните статуси (чл. 9(2)(б) от Директива 2011/83/ЕС). Множественият избор е предвиден за търговци, които използват няколко статуса от тип „доставено“ (напр. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Докато поръчката не достигне някой от тях, правото на отказ е отворено без фиксиран краен срок."
"Eligibility Rules (Art. 16 CRD Presets)","Правила за допустимост (предварителни настройки по чл. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Чл. 16(в) Стоки по индивидуална поръчка"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Изключва продукти, изработени по спецификация на клиента или ясно персонализирани (напр. гравирани бижута, дрехи по мярка). <strong>Изисква</strong> продуктов атрибут <code>is_custom_made = true</code>. Ако е активирано, от поръчки, съдържащи такива артикули, не може да се прави отказ — клиентите ще видят това при опит за започване на отказ."
"Art. 16(d) Perishable Goods","Чл. 16(г) Бързоразвалящи се стоки"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Изключва стоки, които могат бързо да се развалят или да изтекат (свежи храни, рязани цветя, лекарства с кратък срок на годност). <strong>Изисква</strong> продуктов атрибут <code>is_perishable = true</code>. Не активирайте за всички категории — прилагайте го само за наистина бързоразвалящи се SKU, в противен случай неправомерно ще отказвате валидни откази."
"Art. 16(e) Sealed Hygiene / Health","Чл. 16(д) Запечатани хигиенни / здравни стоки"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Изключва запечатани хигиенни или здравни артикули <strong>само ако пломбата е нарушена след доставка</strong> (козметика, интимно облекло, запечатани медицински консумативи). <strong>Изисква</strong> продуктов атрибут <code>is_sealed_hygiene = true</code>. Изключването зависи от проверка на пломбата към момента на отказа (процес в phase-04) — запечатано, неотворено връщане остава допустимо."
"Art. 16(i) Sealed Audio / Video / Software","Чл. 16(и) Запечатано аудио / видео / софтуер"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Изключва запечатани аудиозаписи, видеозаписи или запечатан компютърен софтуер <strong>само ако пломбата е нарушена след доставка</strong>. <strong>Изисква</strong> продуктов атрибут <code>is_sealed_av = true</code>. Същата логика на проверка на пломбата като при чл. 16(д). Не се прилага за стрийминг / съдържание за цифрово изтегляне — за тях използвайте чл. 16(м)."
"Digital Content (Art. 16(m))","Цифрово съдържание (чл. 16(м))"
"Detection","Откриване"
"Enable Digital Content Detection","Активиране на откриване на цифрово съдържание"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Главен превключвател за откриване на цифрово съдържание по чл. 16(м). Когато е изключен, никой продукт не се разпознава като цифров, стъпката за съгласие при поръчка не се изисква и настройката винаги допуска отказ."
"Detection Strategies","Стратегии за откриване"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Кои евристики за тип продукт задействат стъпката за съгласие при цифрово съдържание. Downloadable + virtual са безопасни стойности по подразбиране; bundle_contains_digital проверява дъщерните артикули в комплект; custom_attribute чете EAV флага, конфигуриран по-долу."
"Custom Attribute Code","Код на персонализиран атрибут"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Код на EAV атрибут, използван <strong>само</strong> когато <em>Флаг за персонализиран атрибут</em> е избран в <em>Стратегии за откриване</em> по-горе. По подразбиране: <code>is_digital_content</code> (булев атрибут, 1 = цифров). Иначе се игнорира."
"Checkout Step + Email","Стъпка при поръчка + имейл"
"Enable Checkout Waiver Step","Активиране на стъпка за съгласие при поръчка"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Когато е включено, количките, съдържащи открит цифров артикул, извеждат стъпката за съгласие с 2 чекбокса при оформяне на поръчката. Няма ефект, ако <em>Откриване → Активиране на откриване на цифрово съдържание</em> също не е включено."
"Merchant BCC Address for Confirmation Emails","Адрес за скрито копие на търговеца за имейли за потвърждение"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","По избор. Изпраща скрито копие на имейла за потвърждение на съгласието на одитен адрес на търговеца. Оставете празно, за да пропуснете."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Маркиране на изцяло виртуални артикули като започнато изпълнение при потвърждение"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Виртуалните продукти нямат тригер за изтегляне. Когато е включено, изпращането на имейла за потвърждение на съгласието се счита за начало на изпълнението за изцяло виртуални артикули (граница I-6)."
"Confirmation Email Identity","Подател на имейла за потвърждение"
"Per-Locale Waiver Text Overrides","Замествания на текст на съгласие по локал"
"English (en_US)","Английски (en_US)"
"Consent Text","Текст на съгласие"
"Right-Loss Acknowledgment Text","Текст за потвърждение за загуба на право"
"German (de_DE)","Немски (de_DE)"
"Finnish (fi_FI)","Финландски (fi_FI)"
"Dutch (nl_NL)","Нидерландски (nl_NL)"
"French (fr_FR)","Френски (fr_FR)"
"Italian (it_IT)","Италиански (it_IT)"
"Spanish (es_ES)","Испански (es_ES)"
"Polish (pl_PL)","Полски (pl_PL)"
"Portuguese (pt_PT)","Португалски (pt_PT)"
"Danish (da_DK)","Датски (da_DK)"
"Swedish (sv_SE)","Шведски (sv_SE)"
"German — Austria (de_AT)","Немски — Австрия (de_AT)"
"Swedish — Finland (sv_FI)","Шведски — Финландия (sv_FI)"
"Dutch — Belgium (nl_BE)","Нидерландски — Белгия (nl_BE)"
"French — Belgium (fr_BE)","Френски — Белгия (fr_BE)"
"German — Belgium (de_BE)","Немски — Белгия (de_BE)"
"French — Luxembourg (fr_LU)","Френски — Люксембург (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Преддоговорна информация (чл. 6(1)(з))"
"Enable Pre-Contract Disclosure","Активиране на преддоговорна информация"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Главен превключвател за изключване. Изключено = блокът не се извежда и не се записват събития за показване. Изключването излага търговеца на риск по чл. 10 (удължен срок за отказ от 12 месеца + 14 дни). По подразбиране: активирано."
"Withdrawal Period (Days)","Срок за отказ (дни)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","По подразбиране 14 дни съгласно чл. 9(2). Допуска се удължаване (напр. 30, 100). Намаляването под 14 е незаконно — полето валидира >=14 само когато модулът е активиран."
"Return Address","Адрес за връщане"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Адрес, на който потребителите връщат стоките. Оставете празно, за да се използва адресът от Магазини → Конфигурация → Общи → Общи → Информация за магазина."
"Display In Checkout","Показване при поръчка"
"Annex I Overrides Per Locale","Замествания на Приложение I по локал"
"Bulgarian (bg_BG)","Български (bg_BG)"
"Czech (cs_CZ)","Чешки (cs_CZ)"
"Greek (el_GR)","Гръцки (el_GR)"
"Estonian (et_EE)","Естонски (et_EE)"
"Croatian (hr_HR)","Хърватски (hr_HR)"
"Hungarian (hu_HU)","Унгарски (hu_HU)"
"Lithuanian (lt_LT)","Литовски (lt_LT)"
"Latvian (lv_LV)","Латвийски (lv_LV)"
"Romanian (ro_RO)","Румънски (ro_RO)"
"Slovak (sk_SK)","Словашки (sk_SK)"
"Slovenian (sl_SI)","Словенски (sl_SI)"
"Frontend","Витрина"
"Buttons","Бутони"
"Step 1 Button Label","Етикет на бутон стъпка 1"
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase. Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Правно предупреждение (пропуск #4).</strong> Чл. 11а(2) от ДПП изисква буквалния текст „откажете се от договора тук“ <em>или съответстваща недвусмислена формулировка</em>. Стойността по подразбиране („Withdraw from contract here“) е буквалният израз от Директивата. Per-locale translations are counsel-signed. <strong>Не променяйте, освен ако сте получили писмен съвет от квалифициран консултант по потребителско право в съответната юрисдикция.</strong> Всяка промяна се записва в одитния журнал."
"Step 2 Button Label (Confirmation)","Етикет на бутон стъпка 2 (потвърждение)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Правно предупреждение (пропуск #4).</strong> Това е етикетът на бутона за окончателно потвърждение. Стойността по подразбиране („Confirm withdrawal“) е одобрена от юристи. Per-locale translations are counsel-signed. Променяйте само въз основа на писмен правен съвет; промените се записват в одитния журнал."
"Placements","Разположения"
"Show Footer Link","Показване на връзка във футъра"
"Show in My Account","Показване в „Моят профил“"
"Return Reasons","Причини за връщане"
"Reasons","Причини"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Списък с причини, предлагани на клиента в падащото меню за всеки артикул. <strong>Код</strong> е машинната стойност, която се записва в базата данни (малки букви, snake_case, макс. 32 знака); <strong>Етикет</strong> е видимият текст. Празната таблица скрива падащото меню изцяло."
"Enable ""Other"" with Free Text","Активиране на „Друго“ със свободен текст"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Когато е активирано, в падащото меню се появява опция „Друго“, която показва поле за свободен текст (макс. 500 знака)."
"Review Step","Стъпка за преглед"
"Return Shipping Notice","Известие за връщане на пратка"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Текст, показван на стъпка „Преглед и потвърждение“ (стъпка 3). Пример: „Ще получите предплатен етикет за доставка в имейла за потвърждение.“ или „Разходите за обратна доставка са за сметка на клиента.“ Оставете празно, за да скриете реда."
"Return Policy URL","URL на политиката за връщане"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Незадължителна връзка, извеждана до известието за доставка („Преглед на политиката за връщане“). Приема абсолютни URL адреси или относителни пътища като „return-policy“."
"Customer Notifications","Известия до клиента"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Всички имейли към клиенти, изпращани от модула. Всеки имейл може да бъде активиран/изключен, да му бъде зададен персонализиран шаблон (Marketing → Email Templates) и да бъде изпращано скрито копие на адрес на търговеца. Споделената подгрупа <em>Брандиране</em> в долната част контролира оформлението (USP лента, връзки към социални мрежи), използвано от всеки от имейлите по-долу."
"1. Submission Confirmation Email","1. Имейл за потвърждение на подаването"
"Enabled","Активирано"
"Email Template","Имейл шаблон"
"BCC Merchant","Скрито копие до търговеца"
"Comma-separated. Leave blank to disable.","Разделени със запетая. Оставете празно за изключване."
"2. Approval Email","2. Имейл за одобрение"
"3. Denial Email","3. Имейл за отхвърляне"
"4. Cancellation Email (Admin-Initiated)","4. Имейл за отказ (иницииран от администратор)"
"5. Cancellation Email (Customer Self-Cancel)","5. Имейл за отказ (самостоятелен отказ от клиента)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Имейл с разписка (траен носител — чл. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Законово изисквано потвърждение на траен носител. Не може да бъде напълно изключено (чл. 11а(4) от Директива 2011/83/ЕС). Изключването тук само спира изпращача — разписката продължава да се генерира и съхранява."
"Send Email","Изпращане на имейл"
"Comma-separated.","Разделени със запетая."
"Delivery Retry Attempts","Опити за повторно доставяне"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Получател на сигнали от DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Уведомява се при окончателен неуспех при разписка. По подразбиране се използва Store Email Addresses → General Contact."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Имейл за потвърждение на цифровото съгласие (чл. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Копие на траен носител на съгласието на клиента по чл. 16(м), изпращано непосредствено след оформяне на поръчката, когато в количката има цифров артикул. Изисквано от чл. 11а(4) от Директива 2011/83/ЕС — поддържа защитен от подправяне запис на правния текст, приет от клиента, заедно със SHA-256 хеш за верификация на хеш-веригата."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Разделени със запетая. Получава копие на всяко потвърждение за одитни цели."
"Branding (Shared by All Emails Above)","Брандиране (споделено за всички имейли по-горе)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Незадължително оформление на имейлите към клиенти. Празните полета скриват съответните редове. Логото на марката, логото, имейлът за поддръжка и адресът на магазина се четат от стандартното дърво на конфигурацията на Magento (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","USP лента — елемент 1"
"Icon","Икона"
"Title","Заглавие"
"Subtitle","Подзаглавие"
"USP Strip — Item 2","USP лента — елемент 2"
"USP Strip — Item 3","USP лента — елемент 3"
"Social Links","Връзки към социални мрежи"
"Instagram URL","URL на Instagram"
"X / Twitter URL","URL на X / Twitter"
"Facebook URL","URL на Facebook"
"YouTube URL","URL на YouTube"
"Privacy & Retention","Поверителност и съхранение"
"Two-stage GDPR data lifecycle for the <code>mm_eu_withdrawal_request</code> table. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods, so we store them on the same row and age them out separately.","Двуетапен GDPR жизнен цикъл на данните за таблицата <code>mm_eu_withdrawal_request</code>. Заявките за отказ съдържат както <em>лични</em> данни (име на клиент, имейл, IP, потребителски агент, бележки на администратор, причини за отхвърляне), така и хеш на съдържанието, който представлява правно доказателство на <em>траен носител</em> по чл. 11а(4). Двете имат различни задължителни срокове на съхранение, затова ги съхраняваме в един и същ ред и ги изтриваме поотделно."
"PII Retention (days)","Срок на съхранение на PII (дни)"
"How long the <strong>personally identifiable columns</strong> stay on a row before the daily cron <strong>nullifies</strong> them: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. The row itself stays — only PII is wiped. Counted from the row's <code>created_at</code>.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Колко дълго <strong>колоните с лични данни</strong> остават в реда, преди ежедневният cron да ги <strong>нулира</strong>: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. Самият ред остава — изтриват се само личните данни. Брои се от <code>created_at</code> на реда.<br/><br/>
                        <strong>По подразбиране: 730 дни (2 години).</strong> Това е минималният праг — GDPR чл. 5(1)(д) („ограничение на съхранението“) балансиран срещу давността за претенции по потребителски права в повечето държави членки на ЕС (1–2 години). Диапазон: 730–3650 дни."
"Hash Retention (days)","Срок на съхранение на хешове (дни)"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Колко дълго <strong>хешът на съдържанието</strong> (доказателство на траен носител по чл. 11а(4)) остава. След като личните данни са изтрити по-горе, в реда остават само SHA-256 хешът и времевите маркери на разписката, докато този срок изтече; след това cron <strong>изтрива целия ред</strong>.<br/><br/>
                        <strong>По подразбиране: 2190 дни (6 години).</strong> Съответства на най-дългото задължение за съхранение на търговски документи в държавите членки на ЕС (обикновено 6 години за счетоводство / ДДС). Трябва да бъде ≥ срока за съхранение на личните данни. Диапазон: 2190–3650 дни."
