"View Credit Memo","Zobraziť dobropis"
"Luopumisen kattamat digitaaliset sisällöt","Digitálny obsah, na ktorý sa vzťahuje tento súhlas"
"Nimenomainen suostumuksesi","Váš výslovný súhlas"
"Suostuttu:","Súhlas udelený dňa:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Vaše potvrdenie o strate práva na odstúpenie"
"Vahvistettu:","Potvrdené dňa:"
"Luopumisen viite:","Referencia súhlasu:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Právny základ: čl. 16 písm. m) smernice 2011/83/EÚ o právach spotrebiteľov."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Potvrdenie súhlasu s digitálnym obsahom — Objednávka %increment_id"
"Cher/Chère %name,","Vážený/á %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Toto je potvrdenie na trvanlivom nosiči o vašom výslovnom súhlase so začatím plnenia nasledujúceho digitálneho obsahu a o vašom potvrdení, že tým strácate právo na odstúpenie od zmluvy (čl. 16 písm. m) smernice 2011/83/EÚ)."
"Contenus numériques couverts par la présente renonciation","Digitálny obsah, na ktorý sa vzťahuje tento súhlas"
"Votre consentement exprès","Váš výslovný súhlas"
"Consenti le :","Súhlas udelený dňa:"
"Votre reconnaissance de la perte du droit de rétractation","Vaše potvrdenie o strate práva na odstúpenie"
"Reconnu le :","Potvrdené dňa:"
"Référence de renonciation :","Referencia súhlasu:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Právny základ: čl. 16 písm. m) smernice 2011/83/EÚ o právach spotrebiteľov."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Potvrdenie súhlasu s digitálnym obsahom — Objednávka %increment_id"
"Beste %name,","Vážený/á %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Toto je potvrdenie na trvanlivom nosiči o vašom výslovnom súhlase so začatím plnenia nasledujúceho digitálneho obsahu a o vašom potvrdení, že tým strácate právo na odstúpenie od zmluvy (čl. 16 písm. m) smernice 2011/83/EÚ)."
"Onder deze afstand vallende digitale items","Digitálny obsah, na ktorý sa vzťahuje tento súhlas"
"Uw uitdrukkelijke toestemming","Váš výslovný súhlas"
"Toestemming verleend op:","Súhlas udelený dňa:"
"Uw erkenning van verlies van herroepingsrecht","Vaše potvrdenie o strate práva na odstúpenie"
"Erkend op:","Potvrdené dňa:"
"Afstandreferentie:","Referencia súhlasu:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Právny základ: čl. 16 písm. m) smernice 2011/83/EÚ o právach spotrebiteľov."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EÚ odstúpenie od zmluvy] Odoslanie potvrdenia zlyhalo — žiadosť č. %request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-mail s potvrdením žiadosti o odstúpenie č. %request_id sa trvalo nepodarilo odoslať."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Posledná chybová správa je v stĺpci <code>mm_eu_withdrawal_request.receipt_last_error</code>, počet pokusov v stĺpci <code>mm_eu_withdrawal_request.receipt_send_attempts</code>."
"You can requeue the send from the admin grid after resolving the underlying issue.","Po vyriešení základného problému môžete odoslanie znova zaradiť do frontu z administračnej mriežky."
"Your refund is on its way — Withdrawal #%1","Tvoja refundácia je na ceste — Odstúpenie č. %1"
"Your refund is on its way","Tvoja refundácia je na ceste"
"Hi %name, we've approved your withdrawal request and started the refund process.","Ahoj %name, schválili sme tvoju žiadosť o odstúpenie a začali sme proces refundácie."
"View refund details","Zobraziť detaily refundácie"
"Withdrawal number","Číslo odstúpenia"
"Approved on","Schválené"
"Estimated arrival","Predpokladané doručenie"
"Status","Stav"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Refundácia bude pripísaná na pôvodný spôsob platby do 5–7 pracovných dní. Akonáhle dorazí, uvidíš ju na výpise z karty alebo bankového účtu."
"Need help?","Potrebuješ pomoc?"
"Reply to this email or contact us at","Odpovedz na tento e-mail alebo nás kontaktuj na adrese"
"Your withdrawal was cancelled — Withdrawal #%1","Tvoje odstúpenie bolo zrušené — Odstúpenie č. %1"
"Your withdrawal was cancelled","Tvoje odstúpenie bolo zrušené"
"Hi %name, we've cancelled your withdrawal request.","Ahoj %name, zrušili sme tvoju žiadosť o odstúpenie."
"Submit a new request","Podať novú žiadosť"
"Cancelled request","Zrušená žiadosť"
"Cancelled on","Zrušené"
"Refund requested","Požiadané o refundáciu"
"If this was unexpected, you can submit a new withdrawal request as long as your %period_days-day window is still open. Reach out if you need help — we're happy to clarify.","Ak to bolo nečakané, môžeš podať novú žiadosť o odstúpenie, kým je %period_days-dňová lehota otvorená. Ozvi sa, ak potrebuješ pomoc — radi ti všetko vysvetlíme."
"Cancellation confirmed — Withdrawal #%1","Zrušenie potvrdené — Odstúpenie č. %1"
"Cancellation confirmed","Zrušenie potvrdené"
"Hi %name, your withdrawal request has been cancelled as you asked.","Ahoj %name, tvoja žiadosť o odstúpenie bola zrušená podľa tvojej požiadavky."
"Back to my orders","Späť na moje objednávky"
"Cancelled by","Zrušil"
"You","Vy"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your %period_days-day window.","Tvoja objednávka zostáva aktívna a nie je potrebná žiadna ďalšia akcia. Ak si to rozmyslíš, môžeš kedykoľvek počas %period_days-dňovej lehoty podať novú žiadosť o odstúpenie."
"Update on your withdrawal request — Withdrawal #%1","Aktualizácia tvojej žiadosti o odstúpenie — Odstúpenie č. %1"
"We can't process this withdrawal","Toto odstúpenie nemôžeme spracovať"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Ahoj %name, po posúdení tvojej žiadosti o odstúpenie ju, žiaľ, nemôžeme schváliť."
"Request details","Detaily žiadosti"
"Reviewed on","Skontrolované"
"Decision","Rozhodnutie"
"Reason from our team","Dôvod od nášho tímu"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Ak chceš toto rozhodnutie prediskutovať, náš tím ti rád pomôže. Odpovedz na tento e-mail alebo použi tlačidlo vyššie."
"Your withdrawal request has been submitted — Order #%1","Tvoja žiadosť o odstúpenie bola odoslaná — Objednávka č. %1"
"Your return request has been submitted","Tvoja žiadosť o vrátenie bola odoslaná"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Ahoj %name, prijali sme tvoju žiadosť o vrátenie a momentálne ju posudzujeme. Ozveme sa ti, len čo vrátenie skontrolujeme a spracujeme refundáciu."
"Return number","Číslo vrátenia"
"Requested on","Vyžiadané"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Skontrolujeme tvoje vrátenie a po schválení ťa upozorníme. Refundácie sa pripisujú na pôvodný spôsob platby do 5–7 pracovných dní od schválenia."
"If you have any questions, our customer service team is here to help.","Ak máš akékoľvek otázky, náš tím zákazníckej podpory ti rád pomôže."
"Visit our help center","Navštíviť naše centrum pomoci"
"If you did not initiate this request, contact us immediately at","Ak si túto žiadosť nepodal/a, okamžite nás kontaktuj na adrese"
"Withdrawal receipt — Order #%1","Potvrdenie o odstúpení — Objednávka č. %1"
"Withdrawal receipt","Potvrdenie o odstúpení"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Ahoj %name, tento e-mail je tvojím dokladom o odstúpení na trvanlivom nosiči podľa čl. 11a smernice 2011/83/EÚ. Uschovaj si ho pre svoje záznamy."
"Submitted on","Odoslané"
"Your %store_name order confirmation","Potvrdenie vašej objednávky %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Ďakujeme za vašu objednávku v %store_name."
"Once your package ships we will send you a tracking number.","Po odoslaní zásielky vám pošleme sledovacie číslo."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav vašej objednávky si môžete overiť <a href=""%account_url"">prihlásením do svojho účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Ak máte otázky k vašej objednávke, môžete nám napísať na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","alebo nám zavolajte na <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Naše otváracie hodiny sú <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaša objednávka <span class=""no-link"">č. %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Vytvorená dňa <span class=""no-link"">%created_at</span>"
"Billing Info","Fakturačné údaje"
"Shipping Info","Údaje o doručení"
"Payment Method","Spôsob platby"
"Shipping Method","Spôsob doručenia"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Po odoslaní zásielky vám pošleme e-mail s odkazom na sledovanie objednávky."
"Your %store_name order has shipped","Vaša objednávka %store_name bola odoslaná"
"Your shipping confirmation is below. Thank you again for your business.","Potvrdenie o odoslaní nájdete nižšie. Ešte raz ďakujeme za váš nákup."
"Your Shipment #%shipment_id for Order #%order_id","Vaša zásielka č. %shipment_id pre objednávku č. %order_id"
"Your digital content waiver is on file","Tvoj súhlas s digitálnym obsahom je uložený"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Ahoj %name, súhlasil/a si s okamžitým digitálnym dodaním nižšie uvedených položiek — toto je tvoja kópia súhlasu na trvanlivom nosiči (čl. 11a ods. 4 CRD)."
"View order","Zobraziť objednávku"
"Consented at","Súhlas udelený dňa"
"Acknowledged at","Potvrdené dňa"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Uschovaj si tento e-mail ako záznam na trvanlivom nosiči. Obchodník uložil SHA-256 hash právneho textu, s ktorým si súhlasil/a:"
"Digital content waiver","Vzdanie sa práva pri digitálnom obsahu"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Pred zakúpením tejto digitálnej položky potrebujeme váš výslovný súhlas — prečítajte si, prosím, obidva body pozorne."
"We log this consent with your IP and timestamp for our audit record.","Tento súhlas zaznamenávame s vašou IP adresou a časovou pečiatkou pre náš audit záznam."
"Continue","Pokračovať"
"Waiver could not be saved. Please retry.","Súhlas sa nepodarilo uložiť. Skúste to znova."
"Enable for EU Withdrawal Lookup Form","Povoliť pre vyhľadávací formulár EÚ odstúpenia"
"MageMe Extensions","Rozšírenia MageMe"
"EU Withdrawal","EÚ odstúpenie od zmluvy"
"General","Všeobecné"
"Enable Module","Povoliť modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivuje frontend a cron úlohy. Predvolene: vypnuté. Pred zapnutím dokončite manuálny zoznam nastavení."
"Request Number Prefix","Predpona čísla žiadosti"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Voliteľná predpona pridaná pred číslo žiadosti o odstúpenie v zákazníckom rozhraní (napr. „RR-"" sa zobrazí ako „RR-000000022""). Ak chcete zobraziť iba doplnené číslo, ponechajte prázdne."
"Default Contract Type","Predvolený typ zmluvy"
"Frontend Route","Frontendová cesta"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Predpona URL používaná v zákazníckom procese odstúpenia (napr. <code>withdraw-contract</code> sa zobrazí ako <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Lehota na odstúpenie"
"Delivery Confirmation Statuses","Stavy potvrdenia doručenia"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Vyberte jeden alebo viac stavov objednávky, ktorých <em>prechod</em> znamená, že zákazník prevzal tovar vo vašom procese vybavovania. 14-dňová lehota na odstúpenie začína časovou pečiatkou <em>najskoršieho</em> prechodu objednávky do <em>ktoréhokoľvek</em> z vybraných stavov (čl. 9 ods. 2 písm. b) smernice 2011/83/EÚ). Viacnásobný výber podporuje obchodníkov, ktorí používajú viacero stavov typu „delivered"" (napr. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Kým objednávka nedosiahne ani jeden z nich, právo na odstúpenie je otvorené bez pevného termínu."
"Eligibility Rules (Art. 16 CRD Presets)","Pravidlá oprávnenosti (prednastavenia čl. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Čl. 16 písm. c) tovar vyrobený na mieru"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Vylučuje produkty vyrobené podľa špecifikácií zákazníka alebo zjavne personalizované (napr. gravírované šperky, oblečenie šité na mieru). <strong>Vyžaduje</strong> atribút produktu <code>is_custom_made = true</code>. Ak je zapnuté, od objednávok obsahujúcich takéto položky nie je možné odstúpiť — zákazníci to uvidia pri pokuse o začatie odstúpenia."
"Art. 16(d) Perishable Goods","Čl. 16 písm. d) rýchlo sa kaziaci tovar"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Vylučuje tovar, ktorý sa môže rýchlo pokaziť alebo mu uplynie trvanlivosť (čerstvé potraviny, rezané kvety, lieky s krátkou trvanlivosťou). <strong>Vyžaduje</strong> atribút produktu <code>is_perishable = true</code>. Nezapínajte pre všetky kategórie — aplikujte iba na skutočne podliehajúce skaze SKU, inak budete protiprávne zamietať platné odstúpenia."
"Art. 16(e) Sealed Hygiene / Health","Čl. 16 písm. e) zapečatený hygienický / zdravotnícky tovar"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Vylučuje zapečatený hygienický alebo zdravotnícky tovar <strong>iba ak bola pečať po doručení porušená</strong> (kozmetika, intímne oblečenie, zapečatené zdravotnícke pomôcky). <strong>Vyžaduje</strong> atribút produktu <code>is_sealed_hygiene = true</code>. Vylúčenie závisí od kontroly pečate v čase odstúpenia (proces vo fáze 04) — zapečatené, neotvorené vrátenie zostáva spôsobilé."
"Art. 16(i) Sealed Audio / Video / Software","Čl. 16 písm. i) zapečatené audio / video / softvér"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Vylučuje zapečatené zvukové záznamy, videozáznamy alebo zapečatený počítačový softvér <strong>iba ak bola pečať po doručení porušená</strong>. <strong>Vyžaduje</strong> atribút produktu <code>is_sealed_av = true</code>. Rovnaká logika kontroly pečate ako pri čl. 16 písm. e). Nevzťahuje sa na streamovaný / digitálne stiahnuteľný obsah — pre ten použite čl. 16 písm. m)."
"Digital Content (Art. 16(m))","Digitálny obsah (čl. 16 písm. m)"
"Detection","Detekcia"
"Enable Digital Content Detection","Povoliť detekciu digitálneho obsahu"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Hlavný prepínač detekcie digitálneho obsahu podľa čl. 16 písm. m). Keď je vypnutý, žiadny produkt nie je rozpoznaný ako digitálny, krok súhlasu v pokladni sa nevyžaduje a prednastavenie vždy umožňuje odstúpenie."
"Detection Strategies","Detekčné stratégie"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Ktoré heuristiky podľa typu produktu spúšťajú bránu súhlasu s digitálnym obsahom. Stiahnuteľné a virtuálne sú bezpečné predvolené hodnoty; bundle_contains_digital kontroluje podpoložky balíka; custom_attribute načítava EAV príznak nakonfigurovaný nižšie."
"Custom Attribute Code","Kód vlastného atribútu"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Kód EAV atribútu použitý <strong>iba</strong> ak je vyššie v <em>Detekčných stratégiách</em> vybraný <em>Príznak vlastného atribútu</em>. Predvolené: <code>is_digital_content</code> (logický atribút, 1 = digitálne). Inak sa ignoruje."
"Checkout Step + Email","Krok pokladne + e-mail"
"Enable Checkout Waiver Step","Povoliť krok súhlasu v pokladni"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Keď je zapnuté, košíky obsahujúce detegovanú digitálnu položku zobrazia v pokladni krok súhlasu s 2 zaškrtávacími políčkami. Nemá účinok, pokiaľ nie je zapnuté aj <em>Detekcia → Povoliť detekciu digitálneho obsahu</em>."
"Merchant BCC Address for Confirmation Emails","BCC adresa obchodníka pre potvrdzovacie e-maily"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Voliteľné. Odošle skrytú kópiu (BCC) e-mailu o potvrdení súhlasu na audítorskú adresu obchodníka. Ponechajte prázdne, ak chcete preskočiť."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Označiť virtuálne položky ako začaté pri potvrdení"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuálne produkty nemajú spúšťač stiahnutia. Keď je zapnuté, odoslanie e-mailu o potvrdení súhlasu sa pri výlučne virtuálnych položkách počíta ako začiatok plnenia (hranica I-6)."
"Confirmation Email Identity","Identita potvrdzovacieho e-mailu"
"Per-Locale Waiver Text Overrides","Prepisy textu súhlasu podľa jazyka"
"English (en_US)","Angličtina (en_US)"
"Consent Text","Text súhlasu"
"Right-Loss Acknowledgment Text","Text potvrdenia o strate práva"
"German (de_DE)","Nemčina (de_DE)"
"Finnish (fi_FI)","Fínčina (fi_FI)"
"Dutch (nl_NL)","Holandčina (nl_NL)"
"French (fr_FR)","Francúzština (fr_FR)"
"Italian (it_IT)","Taliančina (it_IT)"
"Spanish (es_ES)","Španielčina (es_ES)"
"Polish (pl_PL)","Poľština (pl_PL)"
"Portuguese (pt_PT)","Portugalčina (pt_PT)"
"Danish (da_DK)","Dánčina (da_DK)"
"Swedish (sv_SE)","Švédčina (sv_SE)"
"German — Austria (de_AT)","Nemčina — Rakúsko (de_AT)"
"Swedish — Finland (sv_FI)","Švédčina — Fínsko (sv_FI)"
"Dutch — Belgium (nl_BE)","Holandčina — Belgicko (nl_BE)"
"French — Belgium (fr_BE)","Francúzština — Belgicko (fr_BE)"
"German — Belgium (de_BE)","Nemčina — Belgicko (de_BE)"
"French — Luxembourg (fr_LU)","Francúzština — Luxembursko (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Predzmluvné informácie (čl. 6 ods. 1 písm. h)"
"Enable Pre-Contract Disclosure","Povoliť predzmluvné informovanie"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Hlavný vypínač. Vypnuté = blok sa nevykreslí a nezaznamenajú sa žiadne udalosti zobrazenia. Vypnutie vystavuje obchodníka čl. 10 (predĺžená lehota na odstúpenie 12 mesiacov + 14 dní). Predvolené: zapnuté."
"Withdrawal Period (Days)","Lehota na odstúpenie (dni)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Predvolených 14 dní podľa čl. 9 ods. 2. Predĺženie je povolené (napr. 30, 100). Skrátenie pod 14 dní je nezákonné — pole validuje >=14 iba keď je modul zapnutý."
"Return Address","Adresa na vrátenie"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kam spotrebitelia zasielajú tovar späť. Ak ponecháte prázdne, použije sa adresa z Obchody → Konfigurácia → Všeobecné → Všeobecné → Informácie o obchode."
"Display In Checkout","Zobraziť v pokladni"
"Annex I Overrides Per Locale","Prepisy prílohy I podľa jazyka"
"Bulgarian (bg_BG)","Bulharčina (bg_BG)"
"Czech (cs_CZ)","Čeština (cs_CZ)"
"Greek (el_GR)","Gréčtina (el_GR)"
"Estonian (et_EE)","Estónčina (et_EE)"
"Croatian (hr_HR)","Chorvátčina (hr_HR)"
"Hungarian (hu_HU)","Maďarčina (hu_HU)"
"Lithuanian (lt_LT)","Litovčina (lt_LT)"
"Latvian (lv_LV)","Lotyština (lv_LV)"
"Romanian (ro_RO)","Rumunčina (ro_RO)"
"Slovak (sk_SK)","Slovenčina (sk_SK)"
"Slovenian (sl_SI)","Slovinčina (sl_SI)"
"Frontend","Frontend"
"Buttons","Tlačidlá"
"Step 1 Button Label","Popis tlačidla kroku 1"
"Step 2 Button Label (Confirmation)","Popis tlačidla kroku 2 (potvrdenie)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Právne upozornenie (medzera č. 4).</strong> Toto je popis na tlačidle konečného potvrdenia. Predvolené („Potvrdiť odstúpenie"") je schválené právnym poradcom. Per-locale translations are counsel-signed. Prepíšte iba s písomným právnym stanoviskom; prepisy sú zaznamenávané v audit logu."
"Placements","Umiestnenia"
"Show Footer Link","Zobraziť odkaz v päte"
"Show in My Account","Zobraziť v Mojom účte"
"Return Reasons","Dôvody vrátenia"
"Reasons","Dôvody"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Zoznam dôvodov ponúkaných zákazníkovi v rozbaľovacom menu pri každej položke. <strong>Kód</strong> je strojová hodnota uložená v databáze (malé písmená, snake_case, max. 32 znakov); <strong>Štítok</strong> je viditeľný text. Prázdna mriežka úplne skryje rozbaľovacie menu."
"Enable ""Other"" with Free Text","Povoliť „Iné"" s voľným textom"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Keď je zapnuté, v rozbaľovacom menu sa objaví možnosť „Iné"", ktorá zobrazí pole s voľným textom (max. 500 znakov)."
"Review Step","Krok kontroly"
"Return Shipping Notice","Upozornenie na zasielanie vráteného tovaru"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Text zobrazený v kroku Skontrolovať a potvrdiť (krok 3). Príklad: „V potvrdzovacom e-maile dostanete predplatený prepravný štítok."" alebo „Náklady na vrátenie hradí zákazník."" Ak ponecháte prázdne, riadok sa skryje."
"Return Policy URL","URL podmienok vrátenia"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Voliteľný odkaz vykreslený vedľa upozornenia na dopravu („Zobraziť pravidlá vrátenia""). Akceptuje absolútne URL alebo relatívne cesty ako „return-policy""."
"Customer Notifications","Zákaznícke upozornenia"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Všetky e-maily, ktoré modul odosiela zákazníkom. Každý e-mail je možné zapnúť/vypnúť, priradiť mu vlastnú šablónu (Marketing → E-mailové šablóny) a poslať skrytú kópiu (BCC) na adresu obchodníka. Spoločná podskupina <em>Branding</em> v dolnej časti riadi rozloženie (USP pás, odkazy na sociálne siete) používané každým e-mailom nižšie."
"1. Submission Confirmation Email","1. Potvrdzovací e-mail o podaní"
"Enabled","Zapnuté"
"Email Template","Šablóna e-mailu"
"BCC Merchant","Skrytá kópia obchodníkovi (BCC)"
"Comma-separated. Leave blank to disable.","Oddelené čiarkami. Ak chcete vypnúť, ponechajte prázdne."
"2. Approval Email","2. E-mail o schválení"
"3. Denial Email","3. E-mail o zamietnutí"
"4. Cancellation Email (Admin-Initiated)","4. E-mail o zrušení (iniciované administrátorom)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail o zrušení (zrušenie samotným zákazníkom)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail s potvrdením (trvalý nosič — čl. 11a ods. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Právne vyžadované potvrdenie na trvanlivom nosiči. Nedá sa úplne vypnúť (čl. 11a ods. 4 smernice 2011/83/EÚ). Vypnutie tu zastaví iba odosielateľa — potvrdenie sa naďalej generuje a ukladá."
"Send Email","Odoslať e-mail"
"Comma-separated.","Oddelené čiarkami."
"Delivery Retry Attempts","Pokusy o opätovné doručenie"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Príjemca upozornenia DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Upozornený pri trvalom zlyhaní potvrdenia. Záloha: E-mailové adresy obchodu → Všeobecný kontakt."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail o potvrdení digitálneho súhlasu (čl. 11a ods. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kópia súhlasu zákazníka podľa čl. 16 písm. m) na trvanlivom nosiči, odoslaná ihneď po pokladni, keď je v košíku digitálna položka. Vyžaduje to čl. 11a ods. 4 smernice 2011/83/EÚ — vedie sa záznam právneho textu, s ktorým zákazník súhlasil, odolný voči zmenám, plus SHA-256 hash pre overenie hash reťazca."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Oddelené čiarkami. Dostáva kópiu každého potvrdenia na audítorské účely."
"Branding (Shared by All Emails Above)","Branding (zdieľaný všetkými vyššie uvedenými e-mailmi)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Voliteľná úprava zákazníckych e-mailov. Prázdne polia skryjú príslušné riadky. Slovná značka, logo, e-mail podpory a adresa obchodu sa načítavajú zo štandardnej konfigurácie Magenta (Obchody → Konfigurácia → Všeobecné + Vzhľad → Transakčné e-maily)."
"USP Strip — Item 1","USP pás — položka 1"
"Icon","Ikona"
"Title","Názov"
"Subtitle","Podnadpis"
"USP Strip — Item 2","USP pás — položka 2"
"USP Strip — Item 3","USP pás — položka 3"
"Social Links","Odkazy na sociálne siete"
"Instagram URL","URL Instagramu"
"X / Twitter URL","URL X / Twitteru"
