"View Credit Memo","Visualizza nota di credito"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Questa è la conferma su supporto durevole del tuo consenso espresso all'avvio della fornitura dei seguenti contenuti digitali, nonché della tua presa d'atto che, così facendo, perdi il diritto di recesso (art. 16, lett. m) della Direttiva 2011/83/UE)."
"Onder deze afstand vallende digitale items","Articoli digitali coperti dalla presente rinuncia"
"Uw uitdrukkelijke toestemming","Il tuo consenso espresso"
"Toestemming verleend op:","Acconsentito il:"
"Uw erkenning van verlies van herroepingsrecht","La tua presa d'atto della perdita del diritto di recesso"
"Erkend op:","Riconosciuto il:"
"Afstandreferentie:","Riferimento della rinuncia:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Base legale: art. 16, lett. m) della Direttiva 2011/83/UE sui diritti dei consumatori."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Invio della ricevuta non riuscito — richiesta #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","L'invio dell'e-mail di ricevuta per la richiesta di recesso #%request_id non è andato a buon fine in modo permanente."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Controlla la colonna <code>mm_eu_withdrawal_request.receipt_last_error</code> per l'ultimo messaggio di errore e la colonna <code>mm_eu_withdrawal_request.receipt_send_attempts</code> per il numero di tentativi."
"You can requeue the send from the admin grid after resolving the underlying issue.","Puoi rimettere in coda l'invio dalla griglia amministrativa dopo aver risolto il problema sottostante."
"Your refund is on its way — Withdrawal #%1","Il tuo rimborso è in arrivo — Recesso n. %1"
"Your refund is on its way","Il tuo rimborso è in arrivo"
"Hi %name, we've approved your withdrawal request and started the refund process.","Ciao %name, abbiamo approvato la tua richiesta di recesso e avviato il processo di rimborso."
"View refund details","Visualizza dettagli rimborso"
"Withdrawal number","Numero di recesso"
"Approved on","Approvato il"
"Estimated arrival","Arrivo stimato"
"Status","Stato"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Il tuo rimborso sarà accreditato sul metodo di pagamento originale entro 5–7 giorni lavorativi. Lo vedrai sull'estratto conto della tua carta o banca non appena risulterà accreditato."
"Need help?","Hai bisogno di aiuto?"
"Reply to this email or contact us at","Rispondi a questa e-mail o scrivici a"
"Your withdrawal was cancelled — Withdrawal #%1","Il tuo recesso è stato annullato — Recesso n. %1"
"Your withdrawal was cancelled","Il tuo recesso è stato annullato"
"Hi %name, we've cancelled your withdrawal request.","Ciao %name, abbiamo annullato la tua richiesta di recesso."
"Submit a new request","Invia una nuova richiesta"
"Cancelled request","Richiesta annullata"
"Cancelled on","Annullata il"
"Refund requested","Rimborso richiesto"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Se non era nei tuoi piani, puoi inviare una nuova richiesta di recesso finché la finestra di 14 giorni è ancora aperta. Contattaci se hai bisogno di aiuto — siamo qui per chiarirti i dubbi."
"Cancellation confirmed — Withdrawal #%1","Annullamento confermato — Recesso n. %1"
"Cancellation confirmed","Annullamento confermato"
"Hi %name, your withdrawal request has been cancelled as you asked.","Ciao %name, la tua richiesta di recesso è stata annullata come richiesto."
"Back to my orders","Torna ai miei ordini"
"Cancelled by","Annullata da"
"You","Tu"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Il tuo ordine rimane attivo e non sono necessarie altre azioni. Se cambi idea, puoi avviare una nuova richiesta di recesso in qualsiasi momento entro la finestra di 14 giorni."
"Update on your withdrawal request — Withdrawal #%1","Aggiornamento sulla tua richiesta di recesso — Recesso n. %1"
"We can't process this withdrawal","Non possiamo elaborare questo recesso"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Ciao %name, dopo aver esaminato la tua richiesta di recesso non possiamo approvarla."
"Request details","Dettagli della richiesta"
"Reviewed on","Rivista il"
"Decision","Decisione"
"Reason from our team","Motivo del nostro team"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Se desideri discutere questa decisione, il nostro team è a tua disposizione. Rispondi a questa e-mail o usa il pulsante qui sopra."
"Your withdrawal request has been submitted — Order #%1","La tua richiesta di recesso è stata inviata — Ordine n. %1"
"Your return request has been submitted","La tua richiesta di recesso è stata inviata"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Ciao %name, abbiamo ricevuto la tua richiesta di recesso e la stiamo esaminando. Ti faremo sapere appena avremo controllato il reso ed elaborato il rimborso."
"Return number","Numero di reso"
"Requested on","Richiesto il"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Controlleremo il tuo reso e ti avviseremo una volta approvato. I rimborsi vengono accreditati sul metodo di pagamento originale entro 5–7 giorni lavorativi dall'approvazione."
"If you have any questions, our customer service team is here to help.","Per qualsiasi domanda, il nostro servizio clienti è a tua disposizione."
"Visit our help center","Visita il nostro centro assistenza"
"If you did not initiate this request, contact us immediately at","Se non hai avviato tu questa richiesta, contattaci immediatamente all'indirizzo"
"Withdrawal receipt — Order #%1","Ricevuta di recesso — Ordine n. %1"
"Withdrawal receipt","Ricevuta di recesso"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Ciao %name, questa e-mail è la tua prova di recesso su supporto durevole ai sensi dell'art. 11a della direttiva 2011/83/UE. Conservala per i tuoi archivi."
"Submitted on","Inviata il"
"Your %store_name order confirmation","Conferma del tuo ordine %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Grazie per il tuo ordine da %store_name."
"Once your package ships we will send you a tracking number.","Una volta spedito il pacco ti invieremo un numero di tracciamento."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puoi verificare lo stato del tuo ordine <a href=""%account_url"">accedendo al tuo account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se hai domande sul tuo ordine, puoi scriverci a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oppure chiamaci al <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","I nostri orari sono <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Il tuo ordine <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Effettuato il <span class=""no-link"">%created_at</span>"
"Billing Info","Dati di fatturazione"
"Shipping Info","Dati di spedizione"
"Payment Method","Metodo di pagamento"
"Shipping Method","Metodo di spedizione"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Una volta spedito il pacco ti invieremo un'e-mail con un link per tracciare il tuo ordine."
"Your %store_name order has shipped","Il tuo ordine %store_name è stato spedito"
"Your shipping confirmation is below. Thank you again for your business.","Di seguito la tua conferma di spedizione. Grazie ancora per la tua fiducia."
"Your Shipment #%shipment_id for Order #%order_id","La tua spedizione n. %shipment_id per l'ordine n. %order_id"
"Your digital content waiver is on file","La tua rinuncia al contenuto digitale è registrata"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Ciao %name, hai acconsentito alla fornitura digitale immediata degli articoli elencati di seguito — questa è la tua copia su supporto durevole di tale consenso (art. 11a(4) Direttiva sui diritti dei consumatori)."
"View order","Visualizza ordine"
"Consented at","Acconsentito il"
"Acknowledged at","Riconosciuto il"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Conserva questa e-mail come prova su supporto durevole. Il commerciante ha archiviato l'hash SHA-256 del testo legale da te accettato:"
"Digital content waiver","Rinuncia per contenuti digitali"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Abbiamo bisogno del tuo consenso esplicito prima di poter acquistare questo articolo digitale — leggi attentamente entrambi i punti."
"We log this consent with your IP and timestamp for our audit record.","Registriamo questo consenso con il tuo indirizzo IP e timestamp per il nostro registro di audit."
"Continue","Continua"
"Waiver could not be saved. Please retry.","Impossibile salvare la rinuncia. Riprova."
"Enable for EU Withdrawal Lookup Form","Abilita per il modulo di ricerca del recesso UE"
"MageMe Extensions","Estensioni MageMe"
"EU Withdrawal","Recesso UE"
"General","Generale"
"Enable Module","Abilita il modulo"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Attiva il frontend e i job cron. Predefinito: disabilitato. Completa la checklist di configurazione manuale prima di abilitare."
"Request Number Prefix","Prefisso del numero di richiesta"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Prefisso facoltativo anteposto all'ID incrementale della richiesta di recesso nell'interfaccia rivolta al cliente (es. ""RR-"" viene visualizzato come ""RR-000000022""). Lascia vuoto per mostrare il numero con padding semplice."
"Default Contract Type","Tipo di contratto predefinito"
"Frontend Route","Rotta frontend"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Prefisso URL utilizzato dal flusso di recesso rivolto al cliente (es. <code>withdraw-contract</code> viene visualizzato come <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Periodo di recesso"
"Delivery Confirmation Statuses","Stati di conferma della consegna"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Seleziona uno o più stati dell'ordine la cui <em>transizione</em> indica che il cliente ha ricevuto i beni nel tuo flusso di evasione. La finestra di recesso di 14 giorni decorre dal timestamp della <em>prima</em> transizione dell'ordine in <em>uno qualsiasi</em> degli stati selezionati (art. 9, par. 2, lett. b) Direttiva 2011/83/UE). La selezione multipla supporta i commercianti che utilizzano più stati di tipo ""consegnato"" (es. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Finché l'ordine non raggiunge nessuno di essi, il diritto di recesso resta aperto senza scadenza fissa."
"Eligibility Rules (Art. 16 CRD Presets)","Regole di idoneità (preimpostazioni art. 16 direttiva CRD)"
"Art. 16(c) Custom-Made Goods","Art. 16, lettera c) Beni confezionati su misura"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Esclude i prodotti realizzati su specifiche del cliente o chiaramente personalizzati (es. gioielli incisi, abbigliamento su misura). <strong>Richiede</strong> l'attributo prodotto <code>is_custom_made = true</code>. Se abilitato, gli ordini contenenti tali articoli non possono essere oggetto di recesso — i clienti lo vedranno quando tenteranno di avviare il recesso."
"Art. 16(d) Perishable Goods","Art. 16, lettera d) Beni deperibili"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Esclude i beni che possono deteriorarsi o scadere rapidamente (alimenti freschi, fiori recisi, farmaci a breve scadenza). <strong>Richiede</strong> l'attributo prodotto <code>is_perishable = true</code>. Non abilitare per tutte le categorie — applicalo solo agli SKU realmente deperibili, altrimenti rifiuterai illegittimamente recessi validi."
"Art. 16(e) Sealed Hygiene / Health","Art. 16, lettera e) Articoli sigillati di igiene o salute"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Esclude gli articoli sigillati di igiene o salute <strong>solo se il sigillo è stato rotto dopo la consegna</strong> (cosmetici, abbigliamento intimo, forniture mediche sigillate). <strong>Richiede</strong> l'attributo prodotto <code>is_sealed_hygiene = true</code>. L'esclusione dipende da un controllo del sigillo al momento del recesso (flusso nella fase 04) — un reso sigillato e non aperto resta idoneo."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16, lettera i) Supporti sigillati audio, video o software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Esclude le registrazioni audio sigillate, le registrazioni video o il software per computer sigillato <strong>solo se il sigillo è stato rotto dopo la consegna</strong>. <strong>Richiede</strong> l'attributo prodotto <code>is_sealed_av = true</code>. Stessa logica di controllo del sigillo dell'art. 16, lett. e). Non si applica ai contenuti in streaming / download digitali — utilizza l'art. 16, lett. m) per questi."
"Digital Content (Art. 16(m))","Contenuto digitale (art. 16, lettera m)"
"Detection","Rilevamento"
"Enable Digital Content Detection","Abilita il rilevamento dei contenuti digitali"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Interruttore principale per il rilevamento dei contenuti digitali ai sensi dell'art. 16, lett. m). Quando disattivato, nessun prodotto viene riconosciuto come digitale, il passaggio di rinuncia al checkout non è richiesto e la preimpostazione consente sempre il recesso."
"Detection Strategies","Strategie di rilevamento"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Quali euristiche per tipo di prodotto attivano la barriera di rinuncia ai contenuti digitali. Downloadable + virtual sono valori predefiniti sicuri; bundle_contains_digital ispeziona gli elementi figli dei bundle; custom_attribute legge il flag EAV configurato di seguito."
"Custom Attribute Code","Codice attributo personalizzato"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Codice attributo EAV utilizzato <strong>solo</strong> quando in <em>Strategie di rilevamento</em> qui sopra è selezionato <em>Flag attributo personalizzato</em>. Predefinito: <code>is_digital_content</code> (attributo booleano, 1 = digitale). In caso contrario, viene ignorato."
"Checkout Step + Email","Passaggio del checkout + e-mail"
"Enable Checkout Waiver Step","Abilita il passaggio di rinuncia nel checkout"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Quando abilitato, i carrelli che contengono un articolo digitale rilevato visualizzano il passaggio di rinuncia a 2 caselle di controllo al checkout. Non ha effetto se non è abilitato anche <em>Rilevamento → Abilita il rilevamento dei contenuti digitali</em>."
"Merchant BCC Address for Confirmation Emails","Indirizzo BCC del commerciante per le e-mail di conferma"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Facoltativo. Invia in copia cieca l'e-mail di conferma della rinuncia a un indirizzo di audit del commerciante. Lascia vuoto per saltare."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Contrassegna gli articoli puramente virtuali come «esecuzione iniziata» alla conferma"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","I prodotti virtuali non hanno un trigger di download. Quando abilitato, l'invio dell'e-mail di conferma della rinuncia conta come avvio dell'esecuzione per gli articoli puramente virtuali (limite I-6)."
"Confirmation Email Identity","Identità mittente delle e-mail di conferma"
"Per-Locale Waiver Text Overrides","Sovrascritture del testo di rinuncia per lingua"
"English (en_US)","Inglese (en_US)"
"Consent Text","Testo del consenso"
"Right-Loss Acknowledgment Text","Testo di presa d'atto della perdita del diritto"
"German (de_DE)","Tedesco (de_DE)"
"Finnish (fi_FI)","Finlandese (fi_FI)"
"Dutch (nl_NL)","Olandese (nl_NL)"
"French (fr_FR)","Francese (fr_FR)"
"Italian (it_IT)","Italiano (it_IT)"
"Spanish (es_ES)","Spagnolo (es_ES)"
"Polish (pl_PL)","Polacco (pl_PL)"
"Portuguese (pt_PT)","Portoghese (pt_PT)"
"Danish (da_DK)","Danese (da_DK)"
"Swedish (sv_SE)","Svedese (sv_SE)"
"German — Austria (de_AT)","Tedesco — Austria (de_AT)"
"Swedish — Finland (sv_FI)","Svedese — Finlandia (sv_FI)"
"Dutch — Belgium (nl_BE)","Olandese — Belgio (nl_BE)"
"French — Belgium (fr_BE)","Francese — Belgio (fr_BE)"
"German — Belgium (de_BE)","Tedesco — Belgio (de_BE)"
"French — Luxembourg (fr_LU)","Francese — Lussemburgo (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Informazioni precontrattuali (art. 6, par. 1, lettera h)"
"Enable Pre-Contract Disclosure","Abilita l'informativa precontrattuale"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Interruttore principale. Disabilitato = il blocco non viene visualizzato e non viene registrato alcun evento di visualizzazione. La disabilitazione espone il commerciante all'art. 10 (periodo di recesso esteso a 12 mesi + 14 giorni). Predefinito: abilitato."
"Withdrawal Period (Days)","Periodo di recesso (giorni)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Valore predefinito 14 giorni ai sensi dell'art. 9, par. 2. È consentita un'estensione (es. 30, 100). La riduzione al di sotto di 14 è illegale — il campo valida >=14 solo quando il modulo è abilitato."
"Return Address","Indirizzo di reso"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Indirizzo a cui i consumatori rispediscono i beni. Lascia vuoto per ricadere sull'indirizzo da Negozi → Configurazione → Generale → Generale → Informazioni sul negozio."
"Display In Checkout","Mostra nel checkout"
"Annex I Overrides Per Locale","Sovrascritture dell'allegato I per lingua"
"Bulgarian (bg_BG)","Bulgaro (bg_BG)"
"Czech (cs_CZ)","Ceco (cs_CZ)"
"Greek (el_GR)","Greco (el_GR)"
"Estonian (et_EE)","Estone (et_EE)"
"Croatian (hr_HR)","Croato (hr_HR)"
"Hungarian (hu_HU)","Ungherese (hu_HU)"
"Lithuanian (lt_LT)","Lituano (lt_LT)"
"Latvian (lv_LV)","Lettone (lv_LV)"
"Romanian (ro_RO)","Rumeno (ro_RO)"
"Slovak (sk_SK)","Slovacco (sk_SK)"
"Slovenian (sl_SI)","Sloveno (sl_SI)"
"Frontend","Frontend"
"Buttons","Pulsanti"
"Step 1 Button Label","Etichetta del pulsante del passaggio 1"
"Step 2 Button Label (Confirmation)","Etichetta del pulsante del passaggio 2 (conferma)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Avviso legale.</strong> Questa è l'etichetta del pulsante di conferma finale. Il valore predefinito (""Conferma recesso"") è firmato da un legale. Per-locale translations are counsel-signed. Sovrascrivi solo con un parere legale scritto; le sovrascritture vengono registrate nel log di audit."
"Placements","Posizionamenti"
"Show Footer Link","Mostra il link nel piè di pagina"
"Show in My Account","Mostra nel mio account"
"Return Reasons","Motivi di reso"
"Reasons","Motivi"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Elenco dei motivi offerti al cliente nel menu a discesa per articolo. <strong>Codice</strong> è il valore macchina memorizzato nel database (minuscolo, snake_case, max 32 caratteri); <strong>Etichetta</strong> è il testo visibile. Una griglia vuota nasconde completamente il menu a discesa."
"Enable ""Other"" with Free Text","Abilita «Altro» con testo libero"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Quando abilitato, nel menu a discesa appare l'opzione ""Altro"" che mostra un campo a testo libero (max 500 caratteri)."
"Review Step","Passaggio di revisione"
"Return Shipping Notice","Avviso di spedizione di reso"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Testo mostrato nel passaggio Rivedi e conferma (passaggio 3). Esempio: ""Riceverai un'etichetta di spedizione prepagata nell'e-mail di conferma."" oppure ""Le spese di spedizione di reso sono a carico del cliente."" Lascia vuoto per nascondere la riga."
"Return Policy URL","URL della politica di reso"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Link facoltativo visualizzato accanto all'avviso di spedizione (""Vedi politica di reso""). Accetta URL assoluti o percorsi relativi come ""return-policy""."
"Customer Notifications","Notifiche al cliente"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Tutte le e-mail rivolte al cliente inviate dal modulo. Ogni e-mail può essere abilitata/disabilitata, associata a un modello personalizzato (Marketing → Modelli e-mail) e inviata in copia cieca a un indirizzo del commerciante. Il sottogruppo condiviso <em>Identità visiva</em> in fondo controlla il layout (striscia USP, link social) utilizzato da ogni e-mail seguente."
"1. Submission Confirmation Email","1. E-mail di conferma di invio"
"Enabled","Abilitato"
"Email Template","Modello di e-mail"
"BCC Merchant","BCC al commerciante"
"Comma-separated. Leave blank to disable.","Separati da virgole. Lascia vuoto per disabilitare."
"2. Approval Email","2. E-mail di approvazione"
"3. Denial Email","3. E-mail di rifiuto"
"4. Cancellation Email (Admin-Initiated)","4. E-mail di annullamento (avviato dall'amministratore)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail di annullamento (avviato dal cliente)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail di ricevuta (supporto durevole — art. 11 bis, par. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Conferma su supporto durevole obbligatoria per legge. Non può essere completamente disabilitata (art. 11 bis, par. 4 Direttiva 2011/83/UE). La disabilitazione qui interrompe solo l'invio — la ricevuta viene comunque generata e archiviata."
"Send Email","Invia e-mail"
"Comma-separated.","Separati da virgole."
"Delivery Retry Attempts","Tentativi di riconsegna"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Destinatario degli avvisi DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Riceve la notifica quando una ricevuta fallisce in modo permanente. Ricade su Store Email Addresses → General Contact."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail di conferma della rinuncia al contenuto digitale (art. 11 bis, par. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Copia su supporto durevole della rinuncia del cliente ai sensi dell'art. 16, lett. m), inviata immediatamente dopo il checkout quando un articolo digitale è nel carrello. Richiesta dall'art. 11 bis, par. 4 della Direttiva 2011/83/UE — conserva una traccia a prova di manomissione del testo legale accettato dal cliente, oltre all'hash SHA-256 per la verifica della catena di hash."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Separati da virgole. Riceve una copia di ogni conferma a fini di audit."
"Branding (Shared by All Emails Above)","Identità visiva (condivisa da tutte le e-mail sopra)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Decorazione facoltativa delle e-mail rivolte al cliente. I campi vuoti nascondono le rispettive righe. Wordmark del brand, logo, e-mail di supporto e indirizzo dello store vengono letti dall'albero di configurazione standard di Magento (Stores → Configuration → General + Design → Transactional Emails)."
"USP Strip — Item 1","Striscia USP — elemento 1"
"Icon","Icona"
"Title","Titolo"
"Subtitle","Sottotitolo"
"USP Strip — Item 2","Striscia USP — elemento 2"
"USP Strip — Item 3","Striscia USP — elemento 3"
"Social Links","Link social"
"Instagram URL","URL Instagram"
"X / Twitter URL","URL X / Twitter"
"Facebook URL","URL Facebook"
"YouTube URL","URL YouTube"
"Order #","Ordine #"
"Contract","Contratto"
"Submitter","Mittente"
"Withdrawal submitted","Recesso inviato"
"Right of Withdrawal — Required Information","Diritto di recesso — Informazioni obbligatorie"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Prima di effettuare l'ordine, si prega di esaminare le condizioni, il termine e le modalità per esercitare il diritto di recesso di 14 giorni. Queste informazioni costituiscono parte integrante del contratto."
"Conditions, Time Limit and Procedures for Withdrawal","Condizioni, termine e modalità di recesso"
"Start Online Return","Avvia reso online"
"Download Model Withdrawal Form (Annex I(B))","Scarica modulo tipo di recesso (Allegato I(B))"
"Withdrawal Information v%1 — Issued %2","Informazioni sul recesso v%1 — emesso il %2"
"You'll receive a prepaid shipping label in the confirmation email.","Riceverai un'etichetta di spedizione prepagata nell'email di conferma."
"← Back to order search","← Torna alla ricerca dell'ordine"
"← Back to items","← Torna agli articoli"
"Find order","Trova ordine"
"Enter your order number and email","Inserisci numero d'ordine ed email"
"Select items","Seleziona articoli"
"Choose items to return (partial withdrawal)","Scegli gli articoli da restituire (recesso parziale)"
"Review & confirm","Rivedi e conferma"
"Review your return details and confirm","Rivedi i dettagli del reso e conferma"
"Request submitted","Richiesta inviata"
"We'll confirm your request by email","Confermeremo la tua richiesta via email"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Acconsento espressamente all'avvio dell'esecuzione del contenuto digitale prima della scadenza del termine di recesso."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Prendo atto che, prestando tale consenso, perdo il diritto di recesso una volta iniziata l'esecuzione (art. 16, lett. m), Direttiva 2011/83/UE)."
"Withdrawals","Recessi"
"Minimum %1 characters required.","Sono richiesti minimo %1 caratteri."
"Failed to add note.","Impossibile aggiungere la nota."
"Network error while adding note.","Errore di rete durante l'aggiunta della nota."
"Exported Evidence","Prova esportata"
"Pending Confirm","In attesa di conferma"
"Sent","Inviato"
"Failed Permanent","Errore permanente"
"Failed Retry","Errore con nuovo tentativo"
"Eligible","Idoneo"
"Excluded","Escluso"
"Action","Azione"
"From","Da"
"To","A"
"Admin Id","ID admin"
"Order Id","ID ordine"
"Request Id","ID richiesta"
"Item Count","Numero articoli"
"Rules Fired","Regole applicate"
"Topic","Argomento"
"Message Id","ID messaggio"
"Email To Hash","Hash email"
"Attempts","Tentativi"
"Viewed At","Visualizzato il"
"Referrer Host","Host referente"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Modello legale facoltativo — non obbligatorio; è possibile esercitare il diritto di recesso anche con qualsiasi altra dichiarazione esplicita."
"Right of withdrawal","Diritto di recesso"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Hai 14 giorni dalla ricezione dell'ordine per recedere senza dover fornire alcuna motivazione — rimborso integrale sul tuo metodo di pagamento originale."
