"View Credit Memo","Ver abono"
"Uw uitdrukkelijke toestemming","Su consentimiento expreso"
"Toestemming verleend op:","Consentimiento otorgado el:"
"Uw erkenning van verlies van herroepingsrecht","Su reconocimiento de la pérdida del derecho de desistimiento"
"Erkend op:","Reconocido el:"
"Afstandreferentie:","Referencia de la renuncia:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Base legal: art. 6:230s del Código Civil neerlandés / art. 16, letra m, Directiva 2011/83/UE."
"[EU Withdrawal] Receipt send failed — request #%request_id","[Desistimiento UE] Fallo en el envío del recibo — solicitud n.º %request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","El correo de recibo para la solicitud de desistimiento n.º %request_id ha fallado de forma permanente."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Consulte la columna <code>mm_eu_withdrawal_request.receipt_last_error</code> para ver el último mensaje de error, y la columna <code>mm_eu_withdrawal_request.receipt_send_attempts</code> para ver el número de reintentos."
"You can requeue the send from the admin grid after resolving the underlying issue.","Puede reencolar el envío desde la cuadrícula de administración tras resolver el problema subyacente."
"Your refund is on its way — Withdrawal #%1","Su reembolso está en camino — Desistimiento n.º %1"
"Your refund is on its way","Su reembolso está en camino"
"Hi %name, we've approved your withdrawal request and started the refund process.","Hola %name, hemos aprobado su solicitud de desistimiento y hemos iniciado el proceso de reembolso."
"View refund details","Ver detalles del reembolso"
"Withdrawal number","Número de desistimiento"
"Approved on","Aprobado el"
"Estimated arrival","Llegada estimada"
"Status","Estado"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Su reembolso se efectuará en su método de pago original en un plazo de 5–7 días laborables. Lo verá reflejado en el extracto de su tarjeta o cuenta bancaria una vez se haga efectivo."
"Need help?","¿Necesita ayuda?"
"Reply to this email or contact us at","Responda a este correo o escríbanos a"
"Your withdrawal was cancelled — Withdrawal #%1","Su desistimiento ha sido cancelado — Desistimiento n.º %1"
"Your withdrawal was cancelled","Su desistimiento ha sido cancelado"
"Hi %name, we've cancelled your withdrawal request.","Hola %name, hemos cancelado su solicitud de desistimiento."
"Submit a new request","Enviar nueva solicitud"
"Cancelled request","Solicitud cancelada"
"Cancelled on","Cancelada el"
"Refund requested","Reembolso solicitado"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Si esto fue inesperado, puede enviar una nueva solicitud de desistimiento mientras su plazo de 14 días siga abierto. Contáctenos si necesita ayuda — estaremos encantados de aclarárselo."
"Cancellation confirmed — Withdrawal #%1","Cancelación confirmada — Desistimiento n.º %1"
"Cancellation confirmed","Cancelación confirmada"
"Hi %name, your withdrawal request has been cancelled as you asked.","Hola %name, su solicitud de desistimiento ha sido cancelada como nos pidió."
"Back to my orders","Volver a mis pedidos"
"Cancelled by","Cancelada por"
"You","Usted"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Su pedido sigue activo y no se requiere ninguna acción adicional. Si cambia de opinión, puede iniciar una nueva solicitud de desistimiento en cualquier momento dentro de su plazo de 14 días."
"Update on your withdrawal request — Withdrawal #%1","Actualización sobre su solicitud de desistimiento — Desistimiento n.º %1"
"We can't process this withdrawal","No podemos procesar este desistimiento"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Hola %name, tras revisar su solicitud de desistimiento, no podemos aprobarla."
"Request details","Detalles de la solicitud"
"Reviewed on","Revisada el"
"Decision","Decisión"
"Reason from our team","Motivo de nuestro equipo"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Si desea comentar esta decisión, nuestro equipo está a su disposición. Responda a este correo o utilice el botón de arriba."
"Your withdrawal request has been submitted — Order #%1","Su solicitud de desistimiento ha sido enviada — Pedido n.º %1"
"Your return request has been submitted","Su solicitud de desistimiento ha sido enviada"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Hola %name, hemos recibido su solicitud de desistimiento y la estamos revisando. Le informaremos en cuanto hayamos inspeccionado su devolución y tramitado el reembolso."
"Return number","Número de devolución"
"Requested on","Solicitada el"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Inspeccionaremos su devolución y le notificaremos una vez aprobada. Los reembolsos se emiten en su método de pago original en un plazo de 5–7 días laborables tras la aprobación."
"If you have any questions, our customer service team is here to help.","Si tiene alguna duda, nuestro equipo de atención al cliente está a su disposición."
"Visit our help center","Visite nuestro centro de ayuda"
"If you did not initiate this request, contact us immediately at","Si no inició esta solicitud, contáctenos inmediatamente en"
"Withdrawal receipt — Order #%1","Recibo de desistimiento — Pedido n.º %1"
"Withdrawal receipt","Recibo de desistimiento"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Hola %name, este correo es su prueba de desistimiento en soporte duradero conforme al art. 11a de la Directiva 2011/83/UE. Consérvelo para sus archivos."
"Submitted on","Enviada el"
"Your %store_name order confirmation","Confirmación de su pedido en %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Gracias por su pedido en %store_name."
"Once your package ships we will send you a tracking number.","Una vez enviado su paquete, le facilitaremos un número de seguimiento."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede consultar el estado de su pedido <a href=""%account_url"">accediendo a su cuenta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tiene preguntas sobre su pedido, puede escribirnos a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llamarnos al <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nuestro horario es <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Su pedido <span class=""no-link"">n.º %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Realizado el <span class=""no-link"">%created_at</span>"
"Billing Info","Datos de facturación"
"Shipping Info","Datos de envío"
"Payment Method","Método de pago"
"Shipping Method","Método de envío"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Una vez enviado su paquete, le enviaremos un correo con un enlace para hacer el seguimiento de su pedido."
"Your %store_name order has shipped","Su pedido en %store_name ha sido enviado"
"Your shipping confirmation is below. Thank you again for your business.","Su confirmación de envío aparece a continuación. Gracias de nuevo por su confianza."
"Your Shipment #%shipment_id for Order #%order_id","Su envío n.º %shipment_id correspondiente al pedido n.º %order_id"
"Your digital content waiver is on file","Su renuncia al contenido digital está registrada"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Hola %name, ha consentido la entrega digital inmediata de los artículos indicados a continuación — esta es su copia en soporte duradero de dicho consentimiento (art. 11a(4) Directiva sobre los derechos de los consumidores)."
"View order","Ver pedido"
"Consented at","Consentido el"
"Acknowledged at","Reconocido el"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Conserve este correo como su registro en soporte duradero. El comerciante ha almacenado el hash SHA-256 del texto legal que usted aceptó:"
"Digital content waiver","Renuncia para contenido digital"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Necesitamos su consentimiento expreso antes de poder comprar este producto digital — lea detenidamente ambos puntos."
"We log this consent with your IP and timestamp for our audit record.","Registramos este consentimiento con su IP y marca de tiempo para nuestro registro de auditoría."
"Continue","Continuar"
"Waiver could not be saved. Please retry.","No se pudo guardar la renuncia. Reinténtalo."
"Enable for EU Withdrawal Lookup Form","Activar para el formulario de consulta de desistimiento UE"
"MageMe Extensions","Extensiones MageMe"
"EU Withdrawal","Desistimiento UE"
"General","General"
"Enable Module","Activar el módulo"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Activa la tienda y las tareas cron. Predeterminado: desactivado. Complete la lista de comprobación de configuración manual antes de activar."
"Request Number Prefix","Prefijo del número de solicitud"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Prefijo opcional añadido al ID incremental de la solicitud de desistimiento en la interfaz del cliente (p. ej., «RR-» se muestra como «RR-000000022»). Déjelo en blanco para mostrar solo el número con relleno."
"Default Contract Type","Tipo de contrato predeterminado"
"Frontend Route","Ruta de la tienda"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Prefijo de URL utilizado por el flujo de desistimiento orientado al cliente (p. ej., <code>withdraw-contract</code> se muestra como <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Plazo de desistimiento"
"Delivery Confirmation Statuses","Estados de confirmación de entrega"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Elija uno o más estados de pedido cuya <em>transición</em> indique que el cliente ha recibido la mercancía en su flujo de procesamiento. El plazo de desistimiento de 14 días empieza en la marca temporal de la <em>primera</em> transición del pedido a <em>cualquiera</em> de los estados seleccionados (art. 9, apdo. 2, letra b, Directiva 2011/83/UE). La selección múltiple admite a los comerciantes que utilizan varios estados de tipo «entregado» (p. ej., <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Hasta que el pedido alcance alguno de ellos, el derecho de desistimiento permanece abierto sin plazo fijo."
"Eligibility Rules (Art. 16 CRD Presets)","Reglas de elegibilidad (preajustes del art. 16 DDC)"
"Art. 16(c) Custom-Made Goods","Art. 16, letra c) Bienes confeccionados a medida"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Excluye los productos confeccionados según especificaciones del cliente o claramente personalizados (p. ej., joyería grabada, ropa hecha a medida). <strong>Requiere</strong> el atributo de producto <code>is_custom_made = true</code>. Si está activado, los pedidos que contengan dichos artículos no podrán ser objeto de desistimiento — los clientes lo verán al intentar iniciar el desistimiento."
"Art. 16(d) Perishable Goods","Art. 16, letra d) Bienes perecederos"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Excluye los bienes que pueden deteriorarse o caducar rápidamente (alimentos frescos, flores cortadas, productos farmacéuticos de corta caducidad). <strong>Requiere</strong> el atributo de producto <code>is_perishable = true</code>. No lo active para todas las categorías — aplíquelo únicamente a SKU realmente perecederos; de lo contrario, denegará desistimientos válidos de forma ilegal."
"Art. 16(e) Sealed Hygiene / Health","Art. 16, letra e) Artículos precintados de higiene o salud"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Excluye los artículos de higiene o salud precintados <strong>solo si el precinto se ha roto tras la entrega</strong> (cosméticos, ropa íntima, suministros médicos precintados). <strong>Requiere</strong> el atributo de producto <code>is_sealed_hygiene = true</code>. La exclusión depende de la comprobación del precinto en el momento del desistimiento (flujo de la fase 04) — una devolución precintada y sin abrir sigue siendo elegible."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16, letra i) Soportes precintados de audio, vídeo o software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Excluye las grabaciones de audio o vídeo precintadas o el software informático precintado <strong>solo si el precinto se ha roto tras la entrega</strong>. <strong>Requiere</strong> el atributo de producto <code>is_sealed_av = true</code>. Misma lógica de comprobación del precinto que el art. 16, letra e. No se aplica al contenido en streaming o descarga digital — para esos casos, utilice el art. 16, letra m."
"Digital Content (Art. 16(m))","Contenido digital (art. 16, letra m)"
"Detection","Detección"
"Enable Digital Content Detection","Activar la detección de contenido digital"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Interruptor principal para la detección de contenido digital del art. 16, letra m. Cuando está desactivado, ningún producto se reconoce como digital, el paso de renuncia en el pago no se requiere y el preajuste siempre permite el desistimiento."
"Detection Strategies","Estrategias de detección"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Qué heurísticas de tipo de producto activan la puerta de renuncia al contenido digital. Descargable y virtual son valores predeterminados seguros; bundle_contains_digital inspecciona los elementos hijos del paquete; custom_attribute lee el indicador EAV configurado a continuación."
"Custom Attribute Code","Código de atributo personalizado"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Código de atributo EAV utilizado <strong>solo</strong> cuando se selecciona <em>Indicador de atributo personalizado</em> en <em>Estrategias de detección</em> arriba. Predeterminado: <code>is_digital_content</code> (atributo booleano, 1 = digital). Se ignora en otros casos."
"Checkout Step + Email","Paso de pago + correo"
"Enable Checkout Waiver Step","Activar el paso de renuncia en el pago"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Cuando está activado, los carritos que contienen un artículo digital detectado muestran el paso de renuncia con dos casillas de verificación en el pago. No tiene efecto a menos que <em>Detección → Activar la detección de contenido digital</em> también esté activado."
"Merchant BCC Address for Confirmation Emails","Dirección BCC del comerciante para los correos de confirmación"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opcional. Envía una copia oculta del correo de confirmación de renuncia a una dirección de auditoría del comerciante. Déjelo en blanco para omitir."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Marcar los artículos exclusivamente virtuales como «ejecución iniciada» al confirmar"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Los productos virtuales no tienen un activador de descarga. Cuando está activado, el envío del correo de confirmación de renuncia cuenta como inicio de la ejecución para los artículos exclusivamente virtuales (límite I-6)."
"Confirmation Email Identity","Identidad del remitente de los correos de confirmación"
"Per-Locale Waiver Text Overrides","Sobrescrituras del texto de renuncia por idioma"
"English (en_US)","Inglés (en_US)"
"Consent Text","Texto de consentimiento"
"Right-Loss Acknowledgment Text","Texto de reconocimiento de pérdida del derecho"
"German (de_DE)","Alemán (de_DE)"
"Finnish (fi_FI)","Finés (fi_FI)"
"Dutch (nl_NL)","Neerlandés (nl_NL)"
"French (fr_FR)","Francés (fr_FR)"
"Italian (it_IT)","Italiano (it_IT)"
"Spanish (es_ES)","Español (es_ES)"
"Polish (pl_PL)","Polaco (pl_PL)"
"Portuguese (pt_PT)","Portugués (pt_PT)"
"Danish (da_DK)","Danés (da_DK)"
"Swedish (sv_SE)","Sueco (sv_SE)"
"German — Austria (de_AT)","Alemán — Austria (de_AT)"
"Swedish — Finland (sv_FI)","Sueco — Finlandia (sv_FI)"
"Dutch — Belgium (nl_BE)","Neerlandés — Bélgica (nl_BE)"
"French — Belgium (fr_BE)","Francés — Bélgica (fr_BE)"
"German — Belgium (de_BE)","Alemán — Bélgica (de_BE)"
"French — Luxembourg (fr_LU)","Francés — Luxemburgo (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Información precontractual (art. 6, apdo. 1, letra h)"
"Enable Pre-Contract Disclosure","Activar la información precontractual"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Interruptor principal de desactivación. Desactivado = el bloque no se renderiza y no se registran eventos de visualización. Desactivarlo expone al comerciante al art. 10 (plazo de desistimiento ampliado de 12 meses + 14 días). Predeterminado: activado."
"Withdrawal Period (Days)","Plazo de desistimiento (días)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","14 días por defecto conforme al art. 9, apdo. 2. Se permite ampliar (p. ej., 30, 100). Reducir por debajo de 14 es ilegal — el campo valida ≥14 solo cuando el módulo está activado."
"Return Address","Dirección de devolución"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Lugar al que los consumidores envían los bienes devueltos. Déjelo vacío para usar la dirección de Tiendas → Configuración → General → General → Información de la tienda."
"Display In Checkout","Mostrar en el pago"
"Annex I Overrides Per Locale","Sobrescrituras del anexo I por idioma"
"Bulgarian (bg_BG)","Búlgaro (bg_BG)"
"Czech (cs_CZ)","Checo (cs_CZ)"
"Greek (el_GR)","Griego (el_GR)"
"Estonian (et_EE)","Estonio (et_EE)"
"Croatian (hr_HR)","Croata (hr_HR)"
"Hungarian (hu_HU)","Húngaro (hu_HU)"
"Lithuanian (lt_LT)","Lituano (lt_LT)"
"Latvian (lv_LV)","Letón (lv_LV)"
"Romanian (ro_RO)","Rumano (ro_RO)"
"Slovak (sk_SK)","Eslovaco (sk_SK)"
"Slovenian (sl_SI)","Esloveno (sl_SI)"
"Frontend","Tienda"
"Buttons","Botones"
"Step 1 Button Label","Etiqueta del botón del paso 1"
"Step 2 Button Label (Confirmation)","Etiqueta del botón del paso 2 (confirmación)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Advertencia legal (punto #4).</strong> Esta es la etiqueta del botón de confirmación final. El valor predeterminado («Confirmar desistimiento») está firmado por asesoría jurídica. Per-locale translations are counsel-signed. Sobrescriba únicamente con asesoramiento jurídico por escrito; las sobrescrituras quedan registradas en el log de auditoría."
"Placements","Ubicaciones"
"Show Footer Link","Mostrar enlace en el pie de página"
"Show in My Account","Mostrar en Mi cuenta"
"Return Reasons","Motivos de devolución"
"Reasons","Motivos"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lista de motivos que se ofrecen al cliente en el desplegable por artículo. <strong>Código</strong> es el valor técnico que se guarda en la base de datos (minúsculas, snake_case, máx. 32 caracteres); <strong>Etiqueta</strong> es el texto visible. Una cuadrícula vacía oculta el desplegable por completo."
"Enable ""Other"" with Free Text","Activar «Otro» con texto libre"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Cuando está activado, aparece una opción «Otro» en el desplegable que muestra un campo de texto libre (máx. 500 caracteres)."
"Review Step","Paso de revisión"
"Return Shipping Notice","Aviso de envío de devolución"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Texto mostrado en el paso de revisión y confirmación (paso 3). Ejemplo: «Recibirá una etiqueta de envío prepagada en el correo de confirmación.» o «Los gastos de envío de la devolución corren a cargo del cliente.» Déjelo en blanco para ocultar la fila."
"Return Policy URL","URL de la política de devoluciones"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Enlace opcional mostrado junto al aviso de envío («Ver política de devoluciones»). Admite URL absolutas o rutas relativas como «return-policy»."
"Customer Notifications","Notificaciones al cliente"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Todos los correos al cliente enviados por el módulo. Cada correo puede activarse o desactivarse, asignarse a una plantilla personalizada (Marketing → Plantillas de correo) y enviarse en copia oculta a una dirección del comerciante. El subgrupo compartido <em>Identidad de marca</em>, al final, controla el diseño (banda USP, enlaces sociales) utilizado por todos los correos siguientes."
"1. Submission Confirmation Email","1. Correo de confirmación de envío"
"Enabled","Activado"
"Email Template","Plantilla de correo"
"BCC Merchant","BCC al comerciante"
"Comma-separated. Leave blank to disable.","Separado por comas. Déjelo en blanco para desactivar."
"2. Approval Email","2. Correo de aprobación"
"3. Denial Email","3. Correo de denegación"
"4. Cancellation Email (Admin-Initiated)","4. Correo de cancelación (iniciada por el administrador)"
"5. Cancellation Email (Customer Self-Cancel)","5. Correo de cancelación (iniciada por el cliente)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Correo de recepción (soporte duradero — art. 11 bis, apdo. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Confirmación en soporte duradero exigida legalmente. No puede desactivarse por completo (art. 11 bis, apdo. 4, Directiva 2011/83/UE). Desactivarlo aquí solo detiene el envío — el recibo sigue generándose y almacenándose."
"Send Email","Enviar correo"
"Comma-separated.","Separado por comas."
"Delivery Retry Attempts","Intentos de reenvío"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Destinatario de alertas DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Notificado cuando un recibo falla de forma permanente. Si está vacío, se utiliza Direcciones de correo de la tienda → Contacto general."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. Correo de confirmación de renuncia al contenido digital (art. 11 bis, apdo. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Copia en soporte duradero de la renuncia del cliente conforme al art. 16, letra m, enviada inmediatamente tras el pago cuando hay un artículo digital en el carrito. Exigida por el art. 11 bis, apdo. 4, Directiva 2011/83/UE — conserva un registro a prueba de manipulaciones del texto legal que el cliente aceptó, junto con el hash SHA-256 para la verificación de la cadena de hashes."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Separado por comas. Recibe una copia de cada confirmación con fines de auditoría."
"Branding (Shared by All Emails Above)","Identidad de marca (compartida por todos los correos anteriores)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Decoración opcional de los correos al cliente. Los campos vacíos ocultan sus respectivas filas. El logotipo textual, el logotipo, el correo de soporte y la dirección de la tienda se leen del árbol de configuración estándar de Magento (Tiendas → Configuración → General + Diseño → Correos transaccionales)."
"USP Strip — Item 1","Banda USP — elemento 1"
"Icon","Icono"
"Title","Título"
"Subtitle","Subtítulo"
"USP Strip — Item 2","Banda USP — elemento 2"
"USP Strip — Item 3","Banda USP — elemento 3"
"Social Links","Enlaces de redes sociales"
"Instagram URL","URL de Instagram"
"X / Twitter URL","URL de X / Twitter"
"Facebook URL","URL de Facebook"
"YouTube URL","URL de YouTube"
"Order #","Pedido #"
"Contract","Contrato"
"Submitter","Remitente"
"Withdrawal submitted","Desistimiento enviado"
"Right of Withdrawal — Required Information","Derecho de desistimiento — Información obligatoria"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Antes de realizar su pedido, revise las condiciones, el plazo y los procedimientos para ejercer su derecho de desistimiento de 14 días. Esta información forma parte de su contrato."
"Conditions, Time Limit and Procedures for Withdrawal","Condiciones, plazo y procedimientos para el desistimiento"
"Start Online Return","Iniciar devolución online"
"Download Model Withdrawal Form (Annex I(B))","Descargar modelo de formulario de desistimiento (Anexo I(B))"
"Withdrawal Information v%1 — Issued %2","Información de desistimiento v%1 — emitido el %2"
"You'll receive a prepaid shipping label in the confirmation email.","Recibirá una etiqueta de envío prepagada en el correo de confirmación."
"← Back to order search","← Volver a la búsqueda de pedidos"
"← Back to items","← Volver a los artículos"
"Find order","Buscar pedido"
"Enter your order number and email","Introduzca el número de pedido y el correo electrónico"
"Select items","Seleccionar artículos"
"Choose items to return (partial withdrawal)","Elija los artículos a devolver (desistimiento parcial)"
"Review & confirm","Revisar y confirmar"
"Review your return details and confirm","Revise los detalles de su devolución y confirme"
"Request submitted","Solicitud enviada"
"We'll confirm your request by email","Confirmaremos su solicitud por correo electrónico"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Consiento expresamente el inicio de la ejecución del contenido digital antes de que expire el plazo de desistimiento."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Reconozco que, al prestar este consentimiento, pierdo mi derecho de desistimiento una vez iniciada la ejecución (art. 16(m) DDC)."
"Withdrawals","Desistimientos"
"Minimum %1 characters required.","Se requieren mínimo %1 caracteres."
"Failed to add note.","No se pudo añadir la nota."
"Network error while adding note.","Error de red al añadir la nota."
"Exported Evidence","Evidencia exportada"
"Pending Confirm","Pendiente de confirmar"
"Sent","Enviado"
"Failed Permanent","Fallo permanente"
"Failed Retry","Fallo reintentable"
"Eligible","Elegible"
"Excluded","Excluido"
"Action","Acción"
"From","De"
"To","A"
"Admin Id","ID de admin."
"Order Id","ID de pedido"
"Request Id","ID de solicitud"
"Item Count","Número de artículos"
"Rules Fired","Reglas aplicadas"
"Topic","Tema"
"Message Id","ID de mensaje"
"Email To Hash","Hash de correo"
"Attempts","Intentos"
"Viewed At","Visto el"
"Referrer Host","Host de referencia"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Plantilla legal opcional — su uso no es obligatorio; también puede ejercer el derecho de desistimiento mediante cualquier declaración inequívoca."
"Right of withdrawal","Derecho de desistimiento"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Dispone de 14 días desde la recepción del pedido para desistir sin necesidad de justificación — reembolso íntegro a su método de pago original."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Algunos artículos pueden estar excluidos por ley (bienes perecederos, artículos confeccionados a medida, productos de higiene precintados o de audio/vídeo). Le mostraremos exactamente qué es elegible en la página siguiente."
"Direct link — no login or account password required.","Enlace directo — no requiere inicio de sesión ni contraseña de cuenta."
