"View Credit Memo","Vezi nota de credit"
"Référence de renonciation :","Referință renunțare:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Temei juridic: art. L. 221-28 Codul consumatorului francez / art. 16 lit. m) Directiva 2011/83/UE."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Confirmare a renunțării la conținut digital — Comanda %increment_id"
"Beste %name,","Stimate/Stimată %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Aceasta este confirmarea pe suport durabil a consimțământului dvs. expres pentru începerea livrării următorului conținut digital, precum și a recunoașterii dvs. că, prin aceasta, vă pierdeți dreptul de retragere (art. 6:230s din Codul civil olandez)."
"Onder deze afstand vallende digitale items","Articole digitale acoperite de această renunțare"
"Uw uitdrukkelijke toestemming","Consimțământul dvs. expres"
"Toestemming verleend op:","Consimțământ acordat la:"
"Uw erkenning van verlies van herroepingsrecht","Recunoașterea dvs. privind pierderea dreptului de retragere"
"Erkend op:","Recunoscut la:"
"Afstandreferentie:","Referință renunțare:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Temei juridic: art. 6:230s din Codul civil olandez / art. 16 lit. m) Directiva 2011/83/UE."
"[EU Withdrawal] Receipt send failed — request #%request_id","[Retragere UE] Trimiterea confirmării a eșuat — cererea #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-mailul de confirmare pentru cererea de retragere #%request_id nu a putut fi trimis în mod permanent."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Inspectați coloana <code>mm_eu_withdrawal_request.receipt_last_error</code> pentru ultimul mesaj de eroare și coloana <code>mm_eu_withdrawal_request.receipt_send_attempts</code> pentru numărul de reîncercări."
"You can requeue the send from the admin grid after resolving the underlying issue.","Puteți repune trimiterea în coadă din grila de administrare după rezolvarea problemei subiacente."
"Your refund is on its way — Withdrawal #%1","Rambursarea ta este pe drum — Retragere #%1"
"Your refund is on its way","Rambursarea ta este pe drum"
"Hi %name, we've approved your withdrawal request and started the refund process.","Salut %name, am aprobat cererea ta de retragere și am demarat procesul de rambursare."
"View refund details","Vezi detaliile rambursării"
"Withdrawal number","Număr retragere"
"Approved on","Aprobat la data de"
"Estimated arrival","Sosire estimată"
"Status","Stare"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Rambursarea va fi efectuată către metoda inițială de plată în termen de 5–7 zile lucrătoare. O vei vedea pe extrasul de card sau de cont bancar imediat ce ajunge."
"Need help?","Ai nevoie de ajutor?"
"Reply to this email or contact us at","Răspunde la acest e-mail sau contactează-ne la"
"Your withdrawal was cancelled — Withdrawal #%1","Retragerea ta a fost anulată — Retragere #%1"
"Your withdrawal was cancelled","Retragerea ta a fost anulată"
"Hi %name, we've cancelled your withdrawal request.","Salut %name, am anulat cererea ta de retragere."
"Submit a new request","Trimite o cerere nouă"
"Cancelled request","Cerere anulată"
"Cancelled on","Anulat la data de"
"Refund requested","Rambursare solicitată"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Dacă a fost ceva neașteptat, poți trimite o nouă cerere de retragere atâta timp cât termenul de 14 zile este încă deschis. Scrie-ne dacă ai nevoie de ajutor — îți explicăm cu plăcere."
"Cancellation confirmed — Withdrawal #%1","Anulare confirmată — Retragere #%1"
"Cancellation confirmed","Anulare confirmată"
"Hi %name, your withdrawal request has been cancelled as you asked.","Salut %name, cererea ta de retragere a fost anulată conform solicitării tale."
"Back to my orders","Înapoi la comenzile mele"
"Cancelled by","Anulată de"
"You","Dumneavoastră"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Comanda ta rămâne activă și nu mai trebuie să faci nimic altceva. Dacă te răzgândești, poți iniția oricând o nouă cerere de retragere în cadrul termenului de 14 zile."
"Update on your withdrawal request — Withdrawal #%1","Actualizare privind cererea ta de retragere — Retragere #%1"
"We can't process this withdrawal","Nu putem procesa această retragere"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Salut %name, după analizarea cererii tale de retragere, nu o putem aproba."
"Request details","Detalii cerere"
"Reviewed on","Analizată la data de"
"Decision","Decizie"
"Reason from our team","Motiv din partea echipei noastre"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Dacă vrei să discuți despre această decizie, echipa noastră îți stă la dispoziție. Răspunde la acest e-mail sau folosește butonul de mai sus."
"Your withdrawal request has been submitted — Order #%1","Cererea ta de retragere a fost trimisă — Comanda #%1"
"Your return request has been submitted","Cererea ta de retur a fost trimisă"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Salut %name, am primit cererea ta de retur și o analizăm în acest moment. Te vom contacta după ce verificăm returul și procesăm rambursarea."
"Return number","Număr retur"
"Requested on","Solicitat la data de"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Vom verifica returul și te vom anunța după aprobare. Rambursările se efectuează către metoda inițială de plată în termen de 5–7 zile lucrătoare de la aprobare."
"If you have any questions, our customer service team is here to help.","Dacă ai întrebări, echipa noastră de servicii clienți îți stă la dispoziție."
"Visit our help center","Vizitează centrul nostru de asistență"
"If you did not initiate this request, contact us immediately at","Dacă nu ai inițiat tu această cerere, contactează-ne imediat la"
"Withdrawal receipt — Order #%1","Confirmare de retragere — Comanda #%1"
"Withdrawal receipt","Confirmare de retragere"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Salut %name, acest e-mail reprezintă dovada ta de retragere pe suport durabil, în conformitate cu art. 11a din Directiva 2011/83/UE. Păstrează-l pentru evidența ta."
"Submitted on","Trimisă la data de"
"Your %store_name order confirmation","Confirmarea comenzii dvs. %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Vă mulțumim pentru comanda plasată la %store_name."
"Once your package ships we will send you a tracking number.","Odată ce coletul dvs. este expediat, vă vom trimite un număr de urmărire."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteți verifica starea comenzii dvs. prin <a href=""%account_url"">conectarea la contul dvs.</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Dacă aveți întrebări cu privire la comanda dvs., ne puteți contacta prin e-mail la <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","sau la telefon <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Programul nostru este <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda dvs. <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Plasată la <span class=""no-link"">%created_at</span>"
"Billing Info","Date de facturare"
"Shipping Info","Date de livrare"
"Payment Method","Metodă de plată"
"Shipping Method","Metodă de livrare"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Odată ce coletul dvs. este expediat, vă vom trimite un e-mail cu un link pentru urmărirea comenzii."
"Your %store_name order has shipped","Comanda dvs. %store_name a fost expediată"
"Your shipping confirmation is below. Thank you again for your business.","Confirmarea dvs. de expediere se află mai jos. Vă mulțumim încă o dată pentru încredere."
"Your Shipment #%shipment_id for Order #%order_id","Expedierea dvs. #%shipment_id pentru comanda #%order_id"
"Your digital content waiver is on file","Consimțământul tău pentru conținutul digital este înregistrat"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Salut %name, ți-ai exprimat consimțământul pentru livrarea digitală imediată a articolelor de mai jos — aceasta este copia ta a consimțământului pe suport durabil (art. 11a(4) CRD)."
"View order","Vezi comanda"
"Consented at","Consimțit la data de"
"Acknowledged at","Confirmat la data de"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Păstrează acest e-mail ca evidență pe suport durabil. Comerciantul a stocat hash-ul SHA-256 al textului juridic pe care l-ai acceptat:"
"Digital content waiver","Renunțare pentru conținut digital"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Avem nevoie de consimțământul dvs. expres înainte de a putea cumpăra acest articol digital — vă rugăm să citiți cu atenție ambele puncte."
"We log this consent with your IP and timestamp for our audit record.","Înregistrăm acest consimțământ împreună cu adresa dvs. IP și marcajul de timp pentru evidența noastră de audit."
"Continue","Continuă"
"Waiver could not be saved. Please retry.","Consimțământul nu a putut fi salvat. Vă rugăm să încercați din nou."
"Enable for EU Withdrawal Lookup Form","Activează pentru formularul de căutare a retragerii UE"
"MageMe Extensions","Extensii MageMe"
"EU Withdrawal","Retragere UE"
"General","General"
"Enable Module","Activează modulul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Activează frontend-ul și sarcinile cron. Implicit: dezactivat. Parcurgeți lista de configurare manuală înainte de activare."
"Request Number Prefix","Prefixul numărului cererii"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Prefix opțional adăugat înainte la ID-ul incremental al cererii de retragere în interfața vizibilă pentru clienți (de exemplu, „RR-” se afișează ca „RR-000000022”). Lăsați gol pentru a afișa numai numărul completat cu zerouri."
"Default Contract Type","Tip contract implicit"
"Frontend Route","Rută frontend"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Prefix URL utilizat de fluxul de retragere vizibil pentru clienți (de exemplu, <code>withdraw-contract</code> se afișează ca <code>/withdraw-contract/...</code>). Numai litere mici, cifre, cratime și liniuțe de subliniere."
"Withdrawal Period","Perioadă de retragere"
"Delivery Confirmation Statuses","Stări de confirmare a livrării"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Alegeți una sau mai multe stări ale comenzii a căror <em>tranziție</em> înseamnă că clientul a primit bunurile în fluxul dvs. de procesare. Termenul de retragere de 14 zile începe la marcajul de timp al <em>celei mai timpurii</em> tranziții a comenzii în <em>oricare</em> dintre stările selectate (art. 9 alin. (2) lit. b) Directiva 2011/83/UE). Selecția multiplă acceptă comercianții care utilizează mai multe stări de tip „livrat” (de exemplu, <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Până când comanda atinge oricare dintre acestea, dreptul de retragere este deschis fără un termen fix."
"Eligibility Rules (Art. 16 CRD Presets)","Reguli de eligibilitate (presetări art. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Art. 16 lit. c) bunuri realizate la comandă"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Exclude produsele realizate conform specificațiilor clientului sau în mod clar personalizate (de exemplu, bijuterii gravate, îmbrăcăminte realizată la comandă). <strong>Necesită</strong> atributul de produs <code>is_custom_made = true</code>. Dacă este activat, comenzile care conțin astfel de articole nu pot fi retrase — clienții vor vedea acest lucru atunci când încearcă să inițieze retragerea."
"Art. 16(d) Perishable Goods","Art. 16 lit. d) bunuri perisabile"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Exclude bunurile care se pot deteriora sau pot expira rapid (alimente proaspete, flori tăiate, produse farmaceutice cu termen scurt de valabilitate). <strong>Necesită</strong> atributul de produs <code>is_perishable = true</code>. Nu activați pentru toate categoriile — aplicați-l doar SKU-urilor cu adevărat perisabile, altfel veți refuza ilegal retragerile valide."
"Art. 16(e) Sealed Hygiene / Health","Art. 16 lit. e) bunuri de igienă / sănătate sigilate"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Exclude articolele de igienă sau sănătate sigilate <strong>doar dacă sigiliul a fost rupt după livrare</strong> (cosmetice, lenjerie intimă, consumabile medicale sigilate). <strong>Necesită</strong> atributul de produs <code>is_sealed_hygiene = true</code>. Excluderea depinde de o verificare a sigiliului în momentul retragerii (flux în faza 04) — un retur sigilat, nedeschis rămâne eligibil."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16 lit. i) audio / video / software sigilate"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Exclude înregistrările audio sigilate, înregistrările video sau software-ul de calculator sigilat <strong>doar dacă sigiliul a fost rupt după livrare</strong>. <strong>Necesită</strong> atributul de produs <code>is_sealed_av = true</code>. Aceeași logică de verificare a sigiliului ca la art. 16 lit. e). Nu se aplică conținutului de streaming / descărcare digitală — pentru acestea utilizați art. 16 lit. m)."
"Digital Content (Art. 16(m))","Conținut digital (art. 16 lit. m)"
"Detection","Detectare"
"Enable Digital Content Detection","Activează detectarea conținutului digital"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Întrerupător principal pentru detectarea conținutului digital conform art. 16 lit. m). Când este dezactivat, niciun produs nu este recunoscut ca digital, pasul de consimțământ la finalizarea comenzii nu este necesar, iar presetarea permite întotdeauna retragerea."
"Detection Strategies","Strategii de detectare"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Ce euristici de tip de produs declanșează verificarea consimțământului pentru conținut digital. Descărcabil + virtual sunt valori implicite sigure; bundle_contains_digital inspectează componentele pachetelor; custom_attribute citește marcajul EAV configurat mai jos."
"Custom Attribute Code","Cod atribut personalizat"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Codul atributului EAV utilizat <strong>doar</strong> atunci când <em>Marcaj atribut personalizat</em> este selectat în <em>Strategii de detectare</em> de mai sus. Implicit: <code>is_digital_content</code> (atribut boolean, 1 = digital). Ignorat în caz contrar."
"Checkout Step + Email","Pas în finalizarea comenzii + e-mail"
"Enable Checkout Waiver Step","Activează pasul de acord în finalizarea comenzii"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Când este activat, coșurile care conțin un articol digital detectat afișează pasul de consimțământ cu 2 casete de selectare la finalizarea comenzii. Nu are niciun efect decât dacă <em>Detectare → Activează detectarea conținutului digital</em> este, de asemenea, activată."
"Merchant BCC Address for Confirmation Emails","Adresa BCC a comerciantului pentru e-mailurile de confirmare"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Opțional. Trimite o copie ascunsă (BCC) a e-mailului de confirmare a consimțământului la o adresă de audit a comerciantului. Lăsați gol pentru a sări peste."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Marchează articolele exclusiv virtuale ca având executarea începută la confirmare"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Produsele virtuale nu au un declanșator de descărcare. Când este activat, expedierea e-mailului de confirmare a consimțământului contează drept începerea executării pentru articolele exclusiv virtuale (limita I-6)."
"Confirmation Email Identity","Identitatea e-mailului de confirmare"
"Per-Locale Waiver Text Overrides","Suprascrieri ale textului de acord pe limbă"
"English (en_US)","Engleză (en_US)"
"Consent Text","Text consimțământ"
"Right-Loss Acknowledgment Text","Text recunoaștere pierdere drept"
"German (de_DE)","Germană (de_DE)"
"Finnish (fi_FI)","Finlandeză (fi_FI)"
"Dutch (nl_NL)","Olandeză (nl_NL)"
"French (fr_FR)","Franceză (fr_FR)"
"Italian (it_IT)","Italiană (it_IT)"
"Spanish (es_ES)","Spaniolă (es_ES)"
"Polish (pl_PL)","Poloneză (pl_PL)"
"Portuguese (pt_PT)","Portugheză (pt_PT)"
"Danish (da_DK)","Daneză (da_DK)"
"Swedish (sv_SE)","Suedeză (sv_SE)"
"German — Austria (de_AT)","Germană — Austria (de_AT)"
"Swedish — Finland (sv_FI)","Suedeză — Finlanda (sv_FI)"
"Dutch — Belgium (nl_BE)","Olandeză — Belgia (nl_BE)"
"French — Belgium (fr_BE)","Franceză — Belgia (fr_BE)"
"German — Belgium (de_BE)","Germană — Belgia (de_BE)"
"French — Luxembourg (fr_LU)","Franceză — Luxemburg (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Informații precontractuale (art. 6 alin. (1) lit. h)"
"Enable Pre-Contract Disclosure","Activează informarea precontractuală"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Întrerupător principal de oprire. Dezactivat = blocul nu se afișează și nu se înregistrează evenimente de afișare. Dezactivarea expune comerciantul la art. 10 (perioadă de retragere extinsă de 12 luni + 14 zile). Implicit: activat."
"Withdrawal Period (Days)","Perioadă de retragere (zile)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Implicit 14 zile conform art. 9 alin. (2). Extinderea este permisă (de exemplu, 30, 100). Reducerea sub 14 este ilegală — câmpul validează >=14 doar atunci când modulul este activat."
"Return Address","Adresa de returnare"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Locul unde consumatorii trimit înapoi bunurile. Lăsați gol pentru a reveni la adresa din Magazine → Configurare → General → General → Informații despre magazin."
"Display In Checkout","Afișează la finalizarea comenzii"
"Annex I Overrides Per Locale","Suprascrieri ale anexei I pe limbă"
"Bulgarian (bg_BG)","Bulgară (bg_BG)"
"Czech (cs_CZ)","Cehă (cs_CZ)"
"Greek (el_GR)","Greacă (el_GR)"
"Estonian (et_EE)","Estonă (et_EE)"
"Croatian (hr_HR)","Croată (hr_HR)"
"Hungarian (hu_HU)","Maghiară (hu_HU)"
"Lithuanian (lt_LT)","Lituaniană (lt_LT)"
"Latvian (lv_LV)","Letonă (lv_LV)"
"Romanian (ro_RO)","Română (ro_RO)"
"Slovak (sk_SK)","Slovacă (sk_SK)"
"Slovenian (sl_SI)","Slovenă (sl_SI)"
"Frontend","Frontend"
"Buttons","Butoane"
"Step 1 Button Label","Eticheta butonului pentru pasul 1"
"Step 2 Button Label (Confirmation)","Eticheta butonului pentru pasul 2 (confirmare)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Avertisment juridic.</strong> Aceasta este eticheta de pe butonul de confirmare finală. Valoarea implicită („Confirmă retragerea”) este avizată juridic. Per-locale translations are counsel-signed. Suprascrieți doar cu consultanță juridică scrisă; suprascrierile sunt înregistrate în jurnalul de audit."
"Placements","Plasări"
"Show Footer Link","Afișează linkul în subsol"
"Show in My Account","Afișează în Contul meu"
"Return Reasons","Motive de returnare"
"Reasons","Motive"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lista motivelor oferite clientului în meniul derulant pentru fiecare articol. <strong>Codul</strong> este valoarea computerizată stocată în baza de date (litere mici, snake_case, maximum 32 de caractere); <strong>Eticheta</strong> este textul vizibil. O grilă goală ascunde complet meniul derulant."
"Enable ""Other"" with Free Text","Activează „Altele” cu text liber"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Când este activat, apare o opțiune „Altele” în meniul derulant care dezvăluie un câmp de text liber (maximum 500 de caractere)."
"Review Step","Pas de revizuire"
"Return Shipping Notice","Notificare privind expedierea returului"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Text afișat în pasul Verifică și confirmă (pasul 3). Exemplu: „Veți primi o etichetă de livrare preplătită în e-mailul de confirmare.” sau „Costurile de transport pentru retur sunt suportate de client.” Lăsați gol pentru a ascunde rândul."
"Return Policy URL","URL politică de returnare"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Link opțional afișat lângă notificarea de transport („Vizualizare politică de retur”). Acceptă URL-uri absolute sau căi relative precum „return-policy”."
"Customer Notifications","Notificări pentru clienți"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Toate e-mailurile vizibile pentru clienți trimise de modul. Fiecare e-mail poate fi activat/dezactivat, atribuit unui șablon personalizat (Marketing → Șabloane e-mail) și trimis în BCC către o adresă de comerciant. Subgrupul comun <em>Branding</em> de la partea de jos controlează aspectul (banda USP, linkuri sociale) utilizat de fiecare e-mail de mai jos."
"1. Submission Confirmation Email","1. E-mail de confirmare a depunerii"
"Enabled","Activat"
"Email Template","Șablon e-mail"
"BCC Merchant","Copie ascunsă către comerciant (BCC)"
"Comma-separated. Leave blank to disable.","Separate prin virgulă. Lăsați gol pentru dezactivare."
"2. Approval Email","2. E-mail de aprobare"
"3. Denial Email","3. E-mail de respingere"
"4. Cancellation Email (Admin-Initiated)","4. E-mail de anulare (inițiat de administrator)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail de anulare (anulare de către client)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail de confirmare (suport durabil — art. 11a alin. (4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Confirmare obligatorie din punct de vedere juridic pe suport durabil. Nu poate fi dezactivată complet (art. 11a alin. (4) Directiva 2011/83/UE). Dezactivarea aici oprește doar expeditorul — confirmarea este în continuare generată și stocată."
"Send Email","Trimite e-mail"
"Comma-separated.","Separate prin virgulă."
"Delivery Retry Attempts","Încercări de relivrare"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Destinatar al alertelor DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Notificat când o confirmare eșuează în mod permanent. Revine la Adrese de e-mail magazin → Contact general."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail de confirmare a acordului digital (art. 11a alin. (4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Copia pe suport durabil a consimțământului clientului conform art. 16 lit. m), trimisă imediat după finalizarea comenzii când un articol digital se află în coș. Necesară conform art. 11a alin. (4) Directiva 2011/83/UE — păstrează o evidență cu protecție împotriva modificărilor a textului juridic acceptat de client, plus hash-ul SHA-256 pentru verificarea lanțului de hash-uri."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Separate prin virgulă. Primește o copie a fiecărei confirmări în scopuri de audit."
"Branding (Shared by All Emails Above)","Branding (comun pentru toate e-mailurile de mai sus)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Decorare opțională a e-mailurilor vizibile pentru clienți. Câmpurile goale ascund rândurile respective. Marca text, sigla, e-mailul de asistență și adresa magazinului sunt citite din arborele standard de configurare Magento (Magazine → Configurare → General + Design → E-mailuri tranzacționale)."
"USP Strip — Item 1","Bandă USP — element 1"
"Icon","Pictogramă"
"Title","Titlu"
"Subtitle","Subtitlu"
"USP Strip — Item 2","Bandă USP — element 2"
"USP Strip — Item 3","Bandă USP — element 3"
"Social Links","Linkuri către rețelele sociale"
"Instagram URL","URL Instagram"
"X / Twitter URL","URL X / Twitter"
"Facebook URL","URL Facebook"
"YouTube URL","URL YouTube"
"Order #","Comandă #"
"Contract","Contract"
"Submitter","Expeditor"
"Withdrawal submitted","Retragere trimisă"
"Right of Withdrawal — Required Information","Dreptul de retragere — Informații obligatorii"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Înainte de a plasa comanda, vă rugăm să consultați condițiile, termenul și procedurile pentru exercitarea dreptului dvs. de retragere de 14 zile. Aceste informații fac parte integrantă din contractul dvs."
"Conditions, Time Limit and Procedures for Withdrawal","Condiții, termen și proceduri de retragere"
"Start Online Return","Începe returul online"
"Download Model Withdrawal Form (Annex I(B))","Descarcă formularul tip de retragere (Anexa I(B))"
"Withdrawal Information v%1 — Issued %2","Informații privind retragerea v%1 — emis la %2"
"You'll receive a prepaid shipping label in the confirmation email.","Veți primi o etichetă de livrare preplătită în e-mailul de confirmare."
"← Back to order search","← Înapoi la căutarea comenzii"
"← Back to items","← Înapoi la articole"
"Find order","Găsiți comanda"
"Enter your order number and email","Introduceți numărul comenzii și e-mailul"
"Select items","Selectează articole"
"Choose items to return (partial withdrawal)","Alegeți articolele de returnat (retragere parțială)"
"Review & confirm","Verifică și confirmă"
"Review your return details and confirm","Verificați detaliile returului și confirmați"
"Request submitted","Cerere trimisă"
"We'll confirm your request by email","Vom confirma cererea dvs. prin e-mail"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Consimt în mod expres începerea executării conținutului digital înainte de expirarea termenului de retragere."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Iau la cunoștință că, prin acordarea acestui consimțământ, îmi pierd dreptul de retragere odată cu începerea executării (art. 16 lit. m) din Directiva 2011/83/UE)."
"Withdrawals","Retrageri"
"Minimum %1 characters required.","Sunt necesare minimum %1 caractere."
"Failed to add note.","Adăugarea notei a eșuat."
"Network error while adding note.","Eroare de rețea la adăugarea notei."
"Exported Evidence","Dovadă exportată"
"Pending Confirm","În așteptarea confirmării"
"Sent","Trimis"
"Failed Permanent","Eșec permanent"
"Failed Retry","Eșec cu reîncercare"
"Eligible","Eligibil"
"Excluded","Exclus"
"Action","Acțiune"
"From","De la"
"To","La"
"Admin Id","ID admin"
"Order Id","ID comandă"
"Request Id","ID cerere"
"Item Count","Număr articole"
"Rules Fired","Reguli aplicate"
"Topic","Subiect"
"Message Id","ID mesaj"
"Email To Hash","Hash e-mail"
"Attempts","Încercări"
"Viewed At","Vizualizat la"
"Referrer Host","Gazdă referent"
"Enable \Other\"" with Free Text""","Activează „Altele” cu text liber"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Model legal opțional — utilizarea sa nu este obligatorie; dreptul de retragere poate fi exercitat și printr-o declarație neechivocă."
"Right of withdrawal","Drept de retragere"
