"View Credit Memo","Ver nota de crédito"
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Confirmação de renúncia ao conteúdo digital — Encomenda %increment_id"
"Beste %name,","Caro(a) %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Esta é a confirmação em suporte duradouro do seu consentimento expresso para o início do fornecimento dos seguintes conteúdos digitais e do seu reconhecimento de que, por esse motivo, perde o seu direito de livre resolução (art. 16.º, alínea m), da Diretiva 2011/83/UE)."
"Onder deze afstand vallende digitale items","Artigos digitais abrangidos por esta renúncia"
"Uw uitdrukkelijke toestemming","O seu consentimento expresso"
"Toestemming verleend op:","Consentimento concedido em:"
"Uw erkenning van verlies van herroepingsrecht","O seu reconhecimento da perda do direito de livre resolução"
"Erkend op:","Reconhecido em:"
"Afstandreferentie:","Referência da renúncia:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Base legal: art. 16.º, alínea m), da Diretiva 2011/83/UE."
"[EU Withdrawal] Receipt send failed — request #%request_id","[Livre resolução UE] Falha no envio do comprovativo — pedido #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","O e-mail de comprovativo do pedido de livre resolução #%request_id falhou de forma permanente."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Consulte a coluna <code>mm_eu_withdrawal_request.receipt_last_error</code> para a última mensagem de erro e a coluna <code>mm_eu_withdrawal_request.receipt_send_attempts</code> para o número de tentativas."
"You can requeue the send from the admin grid after resolving the underlying issue.","Pode reenfileirar o envio a partir da grelha do administrador após resolver o problema subjacente."
"Your refund is on its way — Withdrawal #%1","O seu reembolso está a caminho — Livre resolução n.º %1"
"Your refund is on its way","O seu reembolso está a caminho"
"Hi %name, we've approved your withdrawal request and started the refund process.","Olá %name, aprovámos o seu pedido de livre resolução e iniciámos o processo de reembolso."
"View refund details","Ver detalhes do reembolso"
"Withdrawal number","Número da livre resolução"
"Approved on","Aprovada em"
"Estimated arrival","Chegada estimada"
"Status","Estado"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","O seu reembolso será efetuado no seu método de pagamento original no prazo de 5–7 dias úteis. Verá o valor refletido no extrato do cartão ou da conta bancária assim que for creditado."
"Need help?","Precisa de ajuda?"
"Reply to this email or contact us at","Responda a este e-mail ou contacte-nos em"
"Your withdrawal was cancelled — Withdrawal #%1","A sua livre resolução foi cancelada — Livre resolução n.º %1"
"Your withdrawal was cancelled","A sua livre resolução foi cancelada"
"Hi %name, we've cancelled your withdrawal request.","Olá %name, cancelámos o seu pedido de livre resolução."
"Submit a new request","Submeter novo pedido"
"Cancelled request","Pedido cancelado"
"Cancelled on","Cancelada em"
"Refund requested","Reembolso solicitado"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Se isto foi inesperado, pode submeter um novo pedido de livre resolução enquanto o seu prazo de 14 dias ainda estiver aberto. Contacte-nos se precisar de ajuda — teremos todo o gosto em esclarecer."
"Cancellation confirmed — Withdrawal #%1","Cancelamento confirmado — Livre resolução n.º %1"
"Cancellation confirmed","Cancelamento confirmado"
"Hi %name, your withdrawal request has been cancelled as you asked.","Olá %name, o seu pedido de livre resolução foi cancelado conforme solicitou."
"Back to my orders","Voltar às minhas encomendas"
"Cancelled by","Cancelada por"
"You","Você"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","A sua encomenda mantém-se ativa e não é necessária qualquer outra ação. Se mudar de ideias, pode iniciar um novo pedido de livre resolução em qualquer momento dentro do seu prazo de 14 dias."
"Update on your withdrawal request — Withdrawal #%1","Atualização sobre o seu pedido de livre resolução — Livre resolução n.º %1"
"We can't process this withdrawal","Não podemos processar esta livre resolução"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Olá %name, após análise do seu pedido de livre resolução, não nos é possível aprová-lo."
"Request details","Detalhes do pedido"
"Reviewed on","Revista em"
"Decision","Decisão"
"Reason from our team","Motivo da nossa equipa"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Se pretender esclarecer esta decisão, a nossa equipa está disponível para o ajudar. Responda a este e-mail ou utilize o botão acima."
"Your withdrawal request has been submitted — Order #%1","O seu pedido de livre resolução foi submetido — Encomenda n.º %1"
"Your return request has been submitted","O seu pedido de livre resolução foi submetido"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Olá %name, recebemos o seu pedido de livre resolução e estamos a analisá-lo. Entraremos em contacto assim que inspecionarmos a devolução e processarmos o reembolso."
"Return number","Número da devolução"
"Requested on","Solicitada em"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Iremos inspecionar a sua devolução e notificá-lo após a aprovação. Os reembolsos são efetuados no método de pagamento original no prazo de 5–7 dias úteis após a aprovação."
"If you have any questions, our customer service team is here to help.","Para qualquer dúvida, a nossa equipa de apoio ao cliente está disponível para o ajudar."
"Visit our help center","Visite o nosso centro de ajuda"
"If you did not initiate this request, contact us immediately at","Se não foi você quem iniciou este pedido, contacte-nos imediatamente em"
"Withdrawal receipt — Order #%1","Comprovativo de livre resolução — Encomenda n.º %1"
"Withdrawal receipt","Comprovativo de livre resolução"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Olá %name, este e-mail é a sua prova de livre resolução em suporte duradouro nos termos do art. 11.º-A da Diretiva 2011/83/UE. Guarde-o para os seus registos."
"Submitted on","Submetida em"
"Your %store_name order confirmation","Confirmação da sua encomenda em %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Obrigado pela sua encomenda em %store_name."
"Once your package ships we will send you a tracking number.","Assim que a sua encomenda for expedida, enviaremos um número de seguimento."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Pode consultar o estado da sua encomenda <a href=""%account_url"">iniciando sessão na sua conta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Se tiver dúvidas sobre a sua encomenda, pode contactar-nos por e-mail para <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ou ligar-nos para <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","O nosso horário é <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","A sua encomenda <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Efetuada em <span class=""no-link"">%created_at</span>"
"Billing Info","Dados de faturação"
"Shipping Info","Dados de envio"
"Payment Method","Método de pagamento"
"Shipping Method","Método de envio"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Assim que a sua encomenda for expedida, enviaremos um e-mail com uma ligação para seguir a encomenda."
"Your %store_name order has shipped","A sua encomenda em %store_name foi expedida"
"Your shipping confirmation is below. Thank you again for your business.","A sua confirmação de envio segue abaixo. Mais uma vez, obrigado pela sua preferência."
"Your Shipment #%shipment_id for Order #%order_id","A sua expedição #%shipment_id da encomenda #%order_id"
"Your digital content waiver is on file","A sua renúncia ao conteúdo digital está registada"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Olá %name, consentiu o fornecimento digital imediato dos artigos indicados abaixo — esta é a sua cópia em suporte duradouro desse consentimento (art. 11.º-A(4) Diretiva relativa aos direitos dos consumidores)."
"View order","Ver encomenda"
"Consented at","Consentido em"
"Acknowledged at","Reconhecido em"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Guarde este e-mail como o seu registo em suporte duradouro. O comerciante armazenou o hash SHA-256 do texto legal que aceitou:"
"Digital content waiver","Renúncia para conteúdo digital"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Necessitamos do seu consentimento expresso antes de poder comprar este artigo digital — por favor leia atentamente ambos os pontos."
"We log this consent with your IP and timestamp for our audit record.","Registamos este consentimento com o seu IP e carimbo de data/hora para o nosso registo de auditoria."
"Continue","Continuar"
"Waiver could not be saved. Please retry.","Não foi possível gravar o consentimento. Tente novamente."
"Enable for EU Withdrawal Lookup Form","Ativar no formulário de consulta de livre resolução UE"
"MageMe Extensions","Extensões MageMe"
"EU Withdrawal","Livre resolução UE"
"General","Geral"
"Enable Module","Ativar o módulo"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Ativa a frontend e as tarefas cron. Predefinição: desativado. Conclua a lista de verificação de configuração manual antes de ativar."
"Request Number Prefix","Prefixo do número do pedido"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Prefixo opcional acrescentado ao ID de incremento do pedido de livre resolução na interface do cliente (por exemplo, ""RR-"" apresenta-se como ""RR-000000022""). Deixe em branco para apresentar apenas o número preenchido."
"Default Contract Type","Tipo de contrato predefinido"
"Frontend Route","Rota da loja"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Prefixo de URL utilizado pelo fluxo de livre resolução do cliente (por exemplo, <code>withdraw-contract</code> apresenta-se como <code>/withdraw-contract/...</code>). Apenas letras minúsculas, dígitos, hífenes e sublinhados."
"Withdrawal Period","Prazo de livre resolução"
"Delivery Confirmation Statuses","Estados de confirmação de entrega"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Escolha um ou mais estados de encomenda cuja <em>transição</em> significa que o cliente recebeu os bens no seu fluxo de entrega. O prazo de 14 dias começa no carimbo de data/hora da <em>primeira</em> transição da encomenda para <em>qualquer</em> dos estados selecionados (art. 9.º, n.º 2, alínea b), da Diretiva 2011/83/UE). A seleção múltipla apoia comerciantes que utilizam vários estados do tipo ""entregue"" (por exemplo, <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Até que a encomenda alcance algum deles, o direito de livre resolução permanece aberto, sem prazo fixo."
"Eligibility Rules (Art. 16 CRD Presets)","Regras de elegibilidade (predefinições art. 16.º DDC)"
"Art. 16(c) Custom-Made Goods","Art. 16.º, alínea c) Bens feitos por medida"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Exclui produtos feitos de acordo com as especificações do cliente ou claramente personalizados (por exemplo, joias gravadas, vestuário feito por medida). <strong>Requer</strong> o atributo de produto <code>is_custom_made = true</code>. Se ativado, as encomendas que contenham tais artigos não podem ser objeto de livre resolução — os clientes verão esta indicação ao tentar iniciar a livre resolução."
"Art. 16(d) Perishable Goods","Art. 16.º, alínea d) Bens perecíveis"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Exclui bens suscetíveis de se deteriorar ou de expirar rapidamente (alimentos frescos, flores cortadas, medicamentos com prazo de validade curto). <strong>Requer</strong> o atributo de produto <code>is_perishable = true</code>. Não ative para todas as categorias — aplique-o apenas a SKU verdadeiramente perecíveis, sob pena de recusar ilicitamente livres resoluções válidas."
"Art. 16(e) Sealed Hygiene / Health","Art. 16.º, alínea e) Artigos selados de higiene ou saúde"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Exclui artigos selados de higiene ou saúde <strong>apenas se o selo tiver sido quebrado após a entrega</strong> (cosméticos, roupa íntima, materiais médicos selados). <strong>Requer</strong> o atributo de produto <code>is_sealed_hygiene = true</code>. A exclusão depende de uma verificação do selo no momento da livre resolução (fluxo na fase 04) — uma devolução selada e por abrir mantém-se elegível."
"Art. 16(i) Sealed Audio / Video / Software","Art. 16.º, alínea i) Suportes selados de áudio, vídeo ou software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Exclui gravações de áudio seladas, gravações de vídeo seladas ou software informático selado <strong>apenas se o selo tiver sido quebrado após a entrega</strong>. <strong>Requer</strong> o atributo de produto <code>is_sealed_av = true</code>. Mesma lógica de verificação do selo do art. 16.º, alínea e). Não se aplica a conteúdos de streaming / transferência digital — para esses, utilize o art. 16.º, alínea m)."
"Digital Content (Art. 16(m))","Conteúdo digital (art. 16.º, alínea m)"
"Detection","Deteção"
"Enable Digital Content Detection","Ativar a deteção de conteúdo digital"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Interruptor principal da deteção de conteúdo digital do art. 16.º, alínea m). Quando desativado, nenhum produto é reconhecido como digital, o passo de renúncia na finalização da compra não é exigido e a predefinição permite sempre a livre resolução."
"Detection Strategies","Estratégias de deteção"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Quais as heurísticas por tipo de produto que ativam o controlo de renúncia ao conteúdo digital. Downloadable + virtual são predefinições seguras; bundle_contains_digital inspeciona os artigos filhos dos pacotes; custom_attribute lê o indicador EAV configurado abaixo."
"Custom Attribute Code","Código de atributo personalizado"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Código de atributo EAV utilizado <strong>apenas</strong> quando <em>Indicador de atributo personalizado</em> é selecionado em <em>Estratégias de deteção</em> acima. Predefinição: <code>is_digital_content</code> (atributo booleano, 1 = digital). Caso contrário, é ignorado."
"Checkout Step + Email","Passo de finalização + e-mail"
"Enable Checkout Waiver Step","Ativar o passo de renúncia na finalização"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Quando ativado, os carrinhos que contenham um artigo digital detetado apresentam o passo de renúncia com 2 caixas de verificação na finalização da compra. Não tem efeito a menos que <em>Deteção → Ativar deteção de conteúdo digital</em> também esteja ativo."
"Merchant BCC Address for Confirmation Emails","Endereço BCC do comerciante para os e-mails de confirmação"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Facultativo. Envia uma cópia oculta do e-mail de confirmação da renúncia para um endereço de auditoria do comerciante. Deixe em branco para ignorar."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Marcar artigos exclusivamente virtuais como «execução iniciada» na confirmação"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Os produtos virtuais não têm acionador de transferência. Quando ativado, o envio do e-mail de confirmação da renúncia conta como início da execução para os artigos exclusivamente virtuais (limite I-6)."
"Confirmation Email Identity","Identidade do remetente dos e-mails de confirmação"
"Per-Locale Waiver Text Overrides","Substituições do texto de renúncia por idioma"
"English (en_US)","Inglês (en_US)"
"Consent Text","Texto de consentimento"
"Right-Loss Acknowledgment Text","Texto de reconhecimento da perda do direito"
"German (de_DE)","Alemão (de_DE)"
"Finnish (fi_FI)","Finlandês (fi_FI)"
"Dutch (nl_NL)","Neerlandês (nl_NL)"
"French (fr_FR)","Francês (fr_FR)"
"Italian (it_IT)","Italiano (it_IT)"
"Spanish (es_ES)","Espanhol (es_ES)"
"Polish (pl_PL)","Polaco (pl_PL)"
"Portuguese (pt_PT)","Português (pt_PT)"
"Danish (da_DK)","Dinamarquês (da_DK)"
"Swedish (sv_SE)","Sueco (sv_SE)"
"German — Austria (de_AT)","Alemão — Áustria (de_AT)"
"Swedish — Finland (sv_FI)","Sueco — Finlândia (sv_FI)"
"Dutch — Belgium (nl_BE)","Neerlandês — Bélgica (nl_BE)"
"French — Belgium (fr_BE)","Francês — Bélgica (fr_BE)"
"German — Belgium (de_BE)","Alemão — Bélgica (de_BE)"
"French — Luxembourg (fr_LU)","Francês — Luxemburgo (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Informação pré-contratual (art. 6.º, n.º 1, alínea h)"
"Enable Pre-Contract Disclosure","Ativar a informação pré-contratual"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Interruptor geral. Desativado = o bloco não é apresentado e não são registados eventos de exibição. A desativação expõe o comerciante ao art. 10.º (prazo prolongado de livre resolução de 12 meses + 14 dias). Predefinição: ativado."
"Withdrawal Period (Days)","Prazo de livre resolução (dias)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Predefinição de 14 dias nos termos do art. 9.º, n.º 2. É permitida a extensão (por exemplo, 30, 100). A redução abaixo de 14 é ilegal — o campo só valida >=14 quando o módulo está ativado."
"Return Address","Endereço de devolução"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Local para onde os consumidores devolvem os bens. Deixe vazio para utilizar o endereço de Lojas → Configuração → Geral → Geral → Informações da loja."
"Display In Checkout","Mostrar na finalização"
"Annex I Overrides Per Locale","Substituições do anexo I por idioma"
"Bulgarian (bg_BG)","Búlgaro (bg_BG)"
"Czech (cs_CZ)","Checo (cs_CZ)"
"Greek (el_GR)","Grego (el_GR)"
"Estonian (et_EE)","Estónio (et_EE)"
"Croatian (hr_HR)","Croata (hr_HR)"
"Hungarian (hu_HU)","Húngaro (hu_HU)"
"Lithuanian (lt_LT)","Lituano (lt_LT)"
"Latvian (lv_LV)","Letão (lv_LV)"
"Romanian (ro_RO)","Romeno (ro_RO)"
"Slovak (sk_SK)","Eslovaco (sk_SK)"
"Slovenian (sl_SI)","Esloveno (sl_SI)"
"Frontend","Frontend"
"Buttons","Botões"
"Step 1 Button Label","Etiqueta do botão do passo 1"
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase. Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Aviso legal (lacuna #4).</strong> O art. 11.º-A, n.º 2, da Diretiva relativa aos direitos dos consumidores exige o texto literal ""resolver o contrato aqui"" <em>ou uma formulação inequívoca correspondente</em>. O valor predefinido (""Resolver o contrato aqui"") é a frase literal da Diretiva. Per-locale translations are counsel-signed. <strong>Não substitua a menos que tenha recebido aconselhamento por escrito de juristas qualificados em direito do consumidor na jurisdição em causa.</strong> Cada substituição fica registada no registo de auditoria."
"Step 2 Button Label (Confirmation)","Etiqueta do botão do passo 2 (confirmação)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Aviso legal (lacuna #4).</strong> Esta é a etiqueta do botão de confirmação final. A predefinição (""Confirmar livre resolução"") é validada por aconselhamento jurídico. Per-locale translations are counsel-signed. Substitua apenas com aconselhamento jurídico escrito; as substituições ficam registadas em auditoria."
"Placements","Posicionamentos"
"Show Footer Link","Mostrar ligação no rodapé"
"Show in My Account","Mostrar em A Minha Conta"
"Return Reasons","Motivos de devolução"
"Reasons","Motivos"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Lista de motivos disponibilizados ao cliente no menu pendente por artigo. <strong>Código</strong> é o valor de máquina guardado na base de dados (minúsculas, snake_case, máx. 32 caracteres); <strong>Etiqueta</strong> é o texto visível. Uma grelha vazia oculta totalmente o menu pendente."
"Enable ""Other"" with Free Text","Ativar «Outro» com texto livre"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Quando ativado, aparece a opção ""Outro"" no menu pendente, que apresenta um campo de texto livre (máx. 500 caracteres)."
"Review Step","Passo de revisão"
"Return Shipping Notice","Aviso de envio de devolução"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Texto apresentado no passo Rever e confirmar (passo 3). Exemplo: ""Receberá uma etiqueta de envio pré-paga no e-mail de confirmação."" ou ""Os custos de envio da devolução são suportados pelo cliente."" Deixe em branco para ocultar a linha."
"Return Policy URL","URL da política de devoluções"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Ligação opcional apresentada junto ao aviso de envio (""Ver política de devoluções""). Aceita URLs absolutos ou caminhos relativos como ""return-policy""."
"Customer Notifications","Notificações ao cliente"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Todos os e-mails para clientes enviados pelo módulo. Cada e-mail pode ser ativado/desativado, associado a um modelo personalizado (Marketing → Modelos de e-mail) e enviado em BCC para um endereço do comerciante. O subgrupo <em>Identidade da marca</em> partilhado em baixo controla o esquema gráfico (barra USP, ligações sociais) utilizado por todos os e-mails abaixo."
"1. Submission Confirmation Email","1. E-mail de confirmação de envio"
"Enabled","Ativado"
"Email Template","Modelo de e-mail"
"BCC Merchant","BCC ao comerciante"
"Comma-separated. Leave blank to disable.","Separados por vírgula. Deixe em branco para desativar."
"2. Approval Email","2. E-mail de aprovação"
"3. Denial Email","3. E-mail de recusa"
"4. Cancellation Email (Admin-Initiated)","4. E-mail de cancelamento (iniciado pelo administrador)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail de cancelamento (iniciado pelo cliente)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail de receção (suporte duradouro — art. 11.º-A, n.º 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Confirmação em suporte duradouro exigida por lei. Não pode ser totalmente desativada (art. 11.º-A, n.º 4, da Diretiva 2011/83/UE). Desativar aqui apenas interrompe o envio — o comprovativo continua a ser gerado e armazenado."
"Send Email","Enviar e-mail"
"Comma-separated.","Separados por vírgula."
"Delivery Retry Attempts","Tentativas de reenvio"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Destinatário dos alertas DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Notificado quando um comprovativo falha de forma permanente. Recorre a Endereços de e-mail da loja → Contacto geral."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail de confirmação de renúncia ao conteúdo digital (art. 11.º-A, n.º 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Cópia em suporte duradouro da renúncia do cliente nos termos do art. 16.º, alínea m), enviada imediatamente após a finalização da compra quando há um artigo digital no carrinho. Exigida pelo art. 11.º-A, n.º 4, da Diretiva 2011/83/UE — mantém um registo inviolável do texto legal aceite pelo cliente, juntamente com o hash SHA-256 para verificação da cadeia de hashes."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Separados por vírgula. Recebe uma cópia de cada confirmação para efeitos de auditoria."
"Branding (Shared by All Emails Above)","Identidade da marca (partilhada por todos os e-mails acima)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Decoração opcional dos e-mails para clientes. Os campos vazios ocultam as respetivas linhas. A marca nominativa, o logótipo, o e-mail de apoio e o endereço da loja são lidos a partir da árvore de configuração padrão do Magento (Lojas → Configuração → Geral + Design → E-mails transacionais)."
"USP Strip — Item 1","Barra USP — item 1"
"Icon","Ícone"
"Title","Título"
"Subtitle","Subtítulo"
"USP Strip — Item 2","Barra USP — item 2"
"USP Strip — Item 3","Barra USP — item 3"
"Social Links","Ligações sociais"
"Instagram URL","URL do Instagram"
"X / Twitter URL","URL do X / Twitter"
"Facebook URL","URL do Facebook"
"YouTube URL","URL do YouTube"
"Privacy & Retention","Privacidade e retenção"
"Two-stage GDPR data lifecycle for the <code>mm_eu_withdrawal_request</code> table. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods, so we store them on the same row and age them out separately.","Ciclo de vida de dados RGPD em duas fases para a tabela <code>mm_eu_withdrawal_request</code>. Os pedidos de livre resolução contêm tanto dados <em>pessoalmente identificáveis</em> (nome do cliente, e-mail, IP, agente do utilizador, notas administrativas, motivos de recusa) como um hash de conteúdo que é a prova legal em <em>suporte duradouro</em> do art. 11.º-A, n.º 4. Os dois têm períodos de retenção obrigatórios diferentes, pelo que são armazenados na mesma linha e expirados em separado."
"PII Retention (days)","Retenção de dados pessoais (dias)"
"How long the <strong>personally identifiable columns</strong> stay on a row before the daily cron <strong>nullifies</strong> them: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. The row itself stays — only PII is wiped. Counted from the row's <code>created_at</code>.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Por quanto tempo as <strong>colunas pessoalmente identificáveis</strong> permanecem numa linha antes de o cron diário as <strong>anular</strong>: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. A própria linha permanece — apenas os dados pessoais são apagados. Contado a partir do <code>created_at</code> da linha.<br/><br/>
                        <strong>Predefinição: 730 dias (2 anos).</strong> Este é o limite mínimo — RGPD art. 5.º, n.º 1, alínea e) (""limitação da conservação"") em equilíbrio com o prazo de prescrição das ações relativas aos direitos dos consumidores na maioria dos Estados-Membros da UE (1–2 anos). Intervalo: 730–3650 dias."
"Hash Retention (days)","Retenção de hashes (dias)"
