"View Credit Memo","Zobrazit dobropis"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Toto je potvrzení na trvalém nosiči vašeho výslovného souhlasu se zahájením plnění následujícího digitálního obsahu a vašeho potvrzení, že tímto ztrácíte právo na odstoupení od smlouvy (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Contenus numériques couverts par la présente renonciation","Digitální obsah, na který se toto vzdání práva vztahuje"
"Votre consentement exprès","Váš výslovný souhlas"
"Consenti le :","Souhlas udělen dne:"
"Votre reconnaissance de la perte du droit de rétractation","Vaše potvrzení o ztrátě práva na odstoupení"
"Reconnu le :","Potvrzeno dne:"
"Référence de renonciation :","Reference vzdání se práva:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Právní základ: čl. 16 písm. m) směrnice o spotřebitelských právech 2011/83/EU."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Potvrzení vzdání se práva u digitálního obsahu — Objednávka %increment_id"
"Beste %name,","Vážený/á %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Toto je potvrzení na trvalém nosiči vašeho výslovného souhlasu se zahájením dodání následujícího digitálního obsahu a vašeho potvrzení, že tímto ztrácíte právo na odstoupení od smlouvy (čl. 16 písm. m) směrnice o spotřebitelských právech)."
"Onder deze afstand vallende digitale items","Digitální položky, na které se toto vzdání práva vztahuje"
"Uw uitdrukkelijke toestemming","Váš výslovný souhlas"
"Toestemming verleend op:","Souhlas udělen dne:"
"Uw erkenning van verlies van herroepingsrecht","Vaše potvrzení o ztrátě práva na odstoupení"
"Erkend op:","Potvrzeno dne:"
"Afstandreferentie:","Reference vzdání se práva:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Právní základ: čl. 16 písm. m) směrnice o spotřebitelských právech 2011/83/EU."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU odstoupení] Odeslání potvrzení selhalo — žádost č. %request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","E-mail s potvrzením pro žádost o odstoupení č. %request_id se trvale nepodařilo odeslat."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Prohlédněte si sloupec <code>mm_eu_withdrawal_request.receipt_last_error</code>, kde najdete poslední chybovou zprávu, a sloupec <code>mm_eu_withdrawal_request.receipt_send_attempts</code> pro počet pokusů."
"You can requeue the send from the admin grid after resolving the underlying issue.","Po vyřešení původního problému můžete odeslání znovu zařadit do fronty z administrátorské mřížky."
"Your refund is on its way — Withdrawal #%1","Tvoje vrácení peněz je na cestě — Odstoupení č. %1"
"Your refund is on its way","Tvoje vrácení peněz je na cestě"
"Hi %name, we've approved your withdrawal request and started the refund process.","Ahoj %name, schválili jsme tvou žádost o odstoupení a zahájili jsme proces vrácení peněz."
"View refund details","Zobrazit detaily vrácení"
"Withdrawal number","Číslo odstoupení"
"Approved on","Schváleno"
"Estimated arrival","Předpokládané doručení"
"Status","Stav"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Tvoje vrácení peněz bude provedeno na původní platební metodu během 5–7 pracovních dnů. Až částka dorazí, uvidíš ji na výpisu z karty nebo z bankovního účtu."
"Need help?","Potřebuješ pomoc?"
"Reply to this email or contact us at","Odpověz na tento e-mail nebo nás kontaktuj na adrese"
"Your withdrawal was cancelled — Withdrawal #%1","Tvoje odstoupení bylo zrušeno — Odstoupení č. %1"
"Your withdrawal was cancelled","Tvoje odstoupení bylo zrušeno"
"Hi %name, we've cancelled your withdrawal request.","Ahoj %name, zrušili jsme tvou žádost o odstoupení."
"Submit a new request","Podat novou žádost"
"Cancelled request","Zrušená žádost"
"Cancelled on","Zrušeno dne"
"Refund requested","Požadováno vrácení"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Pokud to bylo neočekávané, můžeš podat novou žádost o odstoupení, dokud je 14denní lhůta otevřená. Ozvi se, pokud potřebuješ pomoc — rádi ti vše vysvětlíme."
"Cancellation confirmed — Withdrawal #%1","Zrušení potvrzeno — Odstoupení č. %1"
"Cancellation confirmed","Zrušení potvrzeno"
"Hi %name, your withdrawal request has been cancelled as you asked.","Ahoj %name, tvoje žádost o odstoupení byla zrušena podle tvého přání."
"Back to my orders","Zpět na moje objednávky"
"Cancelled by","Zrušeno"
"You","Vy"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Tvoje objednávka zůstává aktivní a není třeba nic dalšího dělat. Pokud změníš názor, můžeš kdykoli během 14denní lhůty podat novou žádost o odstoupení."
"Update on your withdrawal request — Withdrawal #%1","Aktualizace tvé žádosti o odstoupení — Odstoupení č. %1"
"We can't process this withdrawal","Toto odstoupení nemůžeme zpracovat"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Ahoj %name, po posouzení tvé žádosti o odstoupení ji bohužel nemůžeme schválit."
"Request details","Detaily žádosti"
"Reviewed on","Zkontrolováno"
"Decision","Rozhodnutí"
"Reason from our team","Důvod od našeho týmu"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Pokud chceš o tomto rozhodnutí mluvit, náš tým ti rád pomůže. Odpověz na tento e-mail nebo použij tlačítko výše."
"Your withdrawal request has been submitted — Order #%1","Tvoje žádost o odstoupení byla odeslána — Objednávka č. %1"
"Your return request has been submitted","Tvoje žádost o vrácení byla odeslána"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Ahoj %name, přijali jsme tvou žádost o vrácení a momentálně ji posuzujeme. Ozveme se ti, jakmile vrácení zkontrolujeme a zpracujeme vrácení peněz."
"Return number","Číslo vrácení"
"Requested on","Vyžádáno"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Tvoje vrácení zkontrolujeme a po schválení tě upozorníme. Vrácení peněz proběhne na původní platební metodu během 5–7 pracovních dnů od schválení."
"If you have any questions, our customer service team is here to help.","Pokud máš jakékoli otázky, náš tým zákaznické podpory ti rád pomůže."
"Visit our help center","Navštívit naše centrum nápovědy"
"If you did not initiate this request, contact us immediately at","Pokud jsi tuto žádost nepodal/a, ihned nás kontaktuj na adrese"
"Withdrawal receipt — Order #%1","Potvrzení o odstoupení — Objednávka č. %1"
"Withdrawal receipt","Potvrzení o odstoupení"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Ahoj %name, tento e-mail je tvým dokladem o odstoupení na trvalém nosiči podle čl. 11a směrnice 2011/83/EU. Uschovej si jej pro své záznamy."
"Submitted on","Odesláno"
"Your %store_name order confirmation","Potvrzení vaší objednávky %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Děkujeme za vaši objednávku v %store_name."
"Once your package ships we will send you a tracking number.","Po odeslání zásilky vám zašleme sledovací číslo."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Stav vaší objednávky můžete zkontrolovat <a href=""%account_url"">přihlášením do svého účtu</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Pokud máte k objednávce dotazy, napište nám na <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","nebo nám zavolejte na <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Naše otevírací doba: <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Vaše objednávka <span class=""no-link"">č. %increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Vytvořeno dne <span class=""no-link"">%created_at</span>"
"Billing Info","Fakturační údaje"
"Shipping Info","Údaje o doručení"
"Payment Method","Způsob platby"
"Shipping Method","Způsob doručení"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Po odeslání zásilky vám pošleme e-mail s odkazem pro sledování objednávky."
"Your %store_name order has shipped","Vaše objednávka %store_name byla odeslána"
"Your shipping confirmation is below. Thank you again for your business.","Níže najdete potvrzení o odeslání. Ještě jednou děkujeme za váš nákup."
"Your Shipment #%shipment_id for Order #%order_id","Vaše zásilka č. %shipment_id k objednávce č. %order_id"
"Your digital content waiver is on file","Tvůj souhlas s digitálním obsahem je uložen"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Ahoj %name, souhlasil/a jsi s okamžitým digitálním dodáním níže uvedených položek — toto je tvoje kopie souhlasu na trvalém nosiči (čl. 11a odst. 4 CRD)."
"View order","Zobrazit objednávku"
"Consented at","Souhlas udělen dne"
"Acknowledged at","Potvrzeno dne"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Uschovej si tento e-mail jako záznam na trvalém nosiči. Obchodník uložil SHA-256 hash právního textu, se kterým jsi souhlasil/a:"
"Digital content waiver","Vzdání se práva u digitálního obsahu"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Před zakoupením tohoto digitálního obsahu potřebujeme váš výslovný souhlas — prosíme, přečtěte si pečlivě oba body."
"We log this consent with your IP and timestamp for our audit record.","Tento souhlas zaznamenáváme s vaší IP adresou a časovým razítkem pro naši kontrolní evidenci."
"Continue","Pokračovat"
"Waiver could not be saved. Please retry.","Souhlas se nepodařilo uložit. Zkuste to prosím znovu."
"Enable for EU Withdrawal Lookup Form","Povolit pro vyhledávací formulář EU odstoupení"
"MageMe Extensions","Rozšíření MageMe"
"EU Withdrawal","EU odstoupení od smlouvy"
"General","Obecné"
"Enable Module","Povolit modul"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Aktivuje frontend a cron úlohy. Výchozí stav: vypnuto. Před povolením dokončete kontrolní seznam ručního nastavení."
"Request Number Prefix","Předpona čísla žádosti"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Volitelná předpona připojovaná před inkrementální ID žádosti o odstoupení v zákaznickém rozhraní (např. „RR-“ se vykreslí jako „RR-000000022“). Pro zobrazení samotného doplněného čísla ponechte prázdné."
"Default Contract Type","Výchozí typ smlouvy"
"Frontend Route","Frontendová cesta"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Předpona URL používaná zákaznickým procesem odstoupení (např. <code>withdraw-contract</code> se vykreslí jako <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Lhůta pro odstoupení"
"Delivery Confirmation Statuses","Stavy potvrzení doručení"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Vyberte jeden nebo více stavů objednávky, jejichž <em>přechod</em> ve vašem expedičním procesu znamená, že zákazník zboží převzal. 14denní lhůta pro odstoupení začíná běžet od časového razítka <em>nejdříve</em> nastalého přechodu objednávky do <em>kteréhokoli</em> z vybraných stavů (čl. 9 odst. 2 písm. b) směrnice 2011/83/EU). Vícenásobný výběr podporuje obchodníky, kteří používají několik stavů typu „doručeno“ (např. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Dokud objednávka nedosáhne žádného z nich, je právo na odstoupení otevřené bez pevného termínu."
"Eligibility Rules (Art. 16 CRD Presets)","Pravidla způsobilosti (přednastavení čl. 16 CRD)"
"Art. 16(c) Custom-Made Goods","Čl. 16 písm. c) zboží vyrobené na míru"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Vylučuje produkty vyrobené podle specifikací zákazníka nebo zjevně personalizované (např. gravírované šperky, oděvy šité na míru). <strong>Vyžaduje</strong> atribut produktu <code>is_custom_made = true</code>. Pokud je povoleno, od objednávek obsahujících takové položky nelze odstoupit — zákazníci to uvidí při pokusu o zahájení odstoupení."
"Art. 16(d) Perishable Goods","Čl. 16 písm. d) rychle se kazící zboží"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Vylučuje zboží, které se může rychle zkazit nebo expirovat (čerstvé potraviny, řezané květiny, léčiva s krátkou trvanlivostí). <strong>Vyžaduje</strong> atribut produktu <code>is_perishable = true</code>. Nepovolujte pro všechny kategorie — aplikujte pouze na skutečně rychle se kazící SKU, jinak budete protiprávně zamítat platná odstoupení."
"Art. 16(e) Sealed Hygiene / Health","Čl. 16 písm. e) zapečetěné hygienické / zdravotnické zboží"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Vylučuje zapečetěné hygienické nebo zdravotnické zboží <strong>pouze pokud byla pečeť po doručení porušena</strong> (kosmetika, intimní textil, zapečetěné zdravotnické potřeby). <strong>Vyžaduje</strong> atribut produktu <code>is_sealed_hygiene = true</code>. Vyloučení závisí na kontrole pečeti v okamžiku odstoupení (proces ve fázi 04) — zapečetěné, neotevřené vrácení zůstává způsobilé."
"Art. 16(i) Sealed Audio / Video / Software","Čl. 16 písm. i) zapečetěné audio / video / software"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Vylučuje zapečetěné zvukové záznamy, videozáznamy nebo zapečetěný počítačový software <strong>pouze pokud byla pečeť po doručení porušena</strong>. <strong>Vyžaduje</strong> atribut produktu <code>is_sealed_av = true</code>. Stejná logika kontroly pečeti jako u čl. 16 písm. e). Nevztahuje se na streamování / obsah ke stažení — pro ty použijte čl. 16 písm. m)."
"Digital Content (Art. 16(m))","Digitální obsah (čl. 16 písm. m)"
"Detection","Detekce"
"Enable Digital Content Detection","Povolit detekci digitálního obsahu"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Hlavní přepínač detekce digitálního obsahu podle čl. 16 písm. m). Když je vypnut, žádný produkt není rozpoznán jako digitální, krok souhlasu v pokladně není vyžadován a přednastavení vždy umožňuje odstoupení."
"Detection Strategies","Detekční strategie"
"Which product-type heuristics trigger the digital-content waiver gate. Downloadable + virtual are safe defaults; bundle_contains_digital inspects bundle children; custom_attribute reads the EAV flag configured below.","Které heuristiky podle typu produktu spouštějí kontrolu souhlasu s digitálním obsahem. Stahovatelné + virtuální jsou bezpečné výchozí hodnoty; bundle_contains_digital prověřuje podpoložky balíčku; custom_attribute čte EAV příznak nakonfigurovaný níže."
"Custom Attribute Code","Kód vlastního atributu"
"EAV attribute code used <strong>only</strong> when <em>Custom attribute flag</em> is picked in <em>Detection strategies</em> above. Default: <code>is_digital_content</code> (boolean attribute, 1 = digital). Ignored otherwise.","Kód EAV atributu používaný <strong>pouze</strong> když je výše v <em>Detekčních strategiích</em> zvolena <em>Příznak vlastního atributu</em>. Výchozí hodnota: <code>is_digital_content</code> (booleovský atribut, 1 = digitální). Jinak se ignoruje."
"Checkout Step + Email","Krok pokladny + e-mail"
"Enable Checkout Waiver Step","Povolit krok souhlasu v pokladně"
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Detection → Enable digital content detection</em> is also on.","Když je zapnuto, košíky obsahující detekovanou digitální položku zobrazí v pokladně krok souhlasu se 2 zaškrtávacími poli. Nemá účinek, pokud není zapnuto i <em>Detekce → Povolit detekci digitálního obsahu</em>."
"Merchant BCC Address for Confirmation Emails","BCC adresa obchodníka pro potvrzovací e-maily"
"Optional. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Volitelné. Skrytá kopie e-mailu s potvrzením souhlasu na auditní adresu obchodníka. Pro vynechání ponechte prázdné."
"Mark Virtual-Only Items as Performance-Started on Confirmation","Označit virtuální položky jako zahájené při potvrzení"
"Virtual products have no download trigger. When on, the waiver confirmation email's dispatch counts as performance-start for virtual-only items.","Virtuální produkty nemají spouštěč stahování. Když je zapnuto, odeslání e-mailu s potvrzením souhlasu se počítá jako zahájení plnění pro výhradně virtuální položky (hranice I-6)."
"Confirmation Email Identity","Identita potvrzovacího e-mailu"
"Per-Locale Waiver Text Overrides","Přepisy textu souhlasu podle jazyka"
"English (en_US)","Angličtina (en_US)"
"Consent Text","Text souhlasu"
"Right-Loss Acknowledgment Text","Text potvrzení o ztrátě práva"
"German (de_DE)","Němčina (de_DE)"
"Finnish (fi_FI)","Finština (fi_FI)"
"Dutch (nl_NL)","Nizozemština (nl_NL)"
"French (fr_FR)","Francouzština (fr_FR)"
"Italian (it_IT)","Italština (it_IT)"
"Spanish (es_ES)","Španělština (es_ES)"
"Polish (pl_PL)","Polština (pl_PL)"
"Portuguese (pt_PT)","Portugalština (pt_PT)"
"Danish (da_DK)","Dánština (da_DK)"
"Swedish (sv_SE)","Švédština (sv_SE)"
"German — Austria (de_AT)","Němčina — Rakousko (de_AT)"
"Swedish — Finland (sv_FI)","Švédština — Finsko (sv_FI)"
"Dutch — Belgium (nl_BE)","Nizozemština — Belgie (nl_BE)"
"French — Belgium (fr_BE)","Francouzština — Belgie (fr_BE)"
"German — Belgium (de_BE)","Němčina — Belgie (de_BE)"
"French — Luxembourg (fr_LU)","Francouzština — Lucembursko (fr_LU)"
"Pre-Contract Information (Art. 6(1)(h))","Předsmluvní informace (čl. 6 odst. 1 písm. h)"
"Enable Pre-Contract Disclosure","Povolit předsmluvní informování"
"Master kill-switch. Disabled = block does not render and no display events are recorded. Disabling exposes the merchant to Art. 10 (12 month + 14 day extended withdrawal period). Default: enabled.","Hlavní vypínač. Zakázáno = blok se nevykresluje a nezaznamenávají se žádné události zobrazení. Zakázání vystavuje obchodníka čl. 10 (prodloužená lhůta pro odstoupení 12 měsíců + 14 dní). Výchozí stav: povoleno."
"Withdrawal Period (Days)","Lhůta pro odstoupení (dny)"
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates >=14 only when the module is enabled.","Výchozí hodnota 14 dní podle čl. 9 odst. 2. Prodloužení je povoleno (např. 30, 100). Zkrácení pod 14 dní je nezákonné — pole validuje >=14 pouze při povoleném modulu."
"Return Address","Adresa pro vrácení"
"Where consumers send goods back. Leave empty to fall back to the store address from Stores → Configuration → General → General → Store Information.","Kam spotřebitelé posílají zboží zpět. Pro použití adresy z Obchody → Konfigurace → Obecné → Obecné → Informace o obchodě ponechte prázdné."
"Display In Checkout","Zobrazit v pokladně"
"Annex I Overrides Per Locale","Přepisy přílohy I podle jazyka"
"Bulgarian (bg_BG)","Bulharština (bg_BG)"
"Czech (cs_CZ)","Čeština (cs_CZ)"
"Greek (el_GR)","Řečtina (el_GR)"
"Estonian (et_EE)","Estonština (et_EE)"
"Croatian (hr_HR)","Chorvatština (hr_HR)"
"Hungarian (hu_HU)","Maďarština (hu_HU)"
"Lithuanian (lt_LT)","Litevština (lt_LT)"
"Latvian (lv_LV)","Lotyština (lv_LV)"
"Romanian (ro_RO)","Rumunština (ro_RO)"
"Slovak (sk_SK)","Slovenština (sk_SK)"
"Slovenian (sl_SI)","Slovinština (sl_SI)"
"Frontend","Frontend"
"Buttons","Tlačítka"
"Step 1 Button Label","Popisek tlačítka kroku 1"
"Step 2 Button Label (Confirmation)","Popisek tlačítka kroku 2 (potvrzení)"
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed. Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Právní upozornění (mezera č. 4).</strong> Toto je popisek závěrečného potvrzovacího tlačítka. Výchozí hodnota („Confirm withdrawal“) je schválena právním zástupcem. Per-locale translations are counsel-signed. Přepisujte pouze s písemným právním doporučením; přepisy jsou zaznamenávány v auditním protokolu."
"Placements","Umístění"
"Show Footer Link","Zobrazit odkaz v patičce"
"Show in My Account","Zobrazit v Mém účtu"
"Return Reasons","Důvody vrácení"
"Reasons","Důvody"
"List of reasons offered to the customer in the per-item dropdown. <strong>Code</strong> is the machine value (lowercase, snake_case, max 32 chars); <strong>Label</strong> is the visible text. Empty grid hides the dropdown entirely.","Seznam důvodů nabízených zákazníkovi v rozbalovací nabídce u jednotlivých položek. <strong>Kód</strong> je strojová hodnota uložená v databázi (malá písmena, snake_case, max. 32 znaků); <strong>Štítek</strong> je viditelný text. Prázdná mřížka rozbalovací nabídku zcela skryje."
"Enable ""Other"" with Free Text","Povolit „Jiné“ s volným textem"
"When enabled, an ""Other"" option appears in the dropdown that reveals a free-text field (max 500 chars).","Pokud je povoleno, v rozbalovací nabídce se objeví možnost „Jiné“, která zpřístupní pole s volným textem (max. 500 znaků)."
"Review Step","Krok kontroly"
"Return Shipping Notice","Upozornění k zasílání vráceného zboží"
"Text shown on the Review & Confirm step (step 3). Example: ""You'll receive a prepaid shipping label in the confirmation email."" or ""Return shipping costs are paid by the customer."" Leave blank to hide the row.","Text zobrazený v kroku Kontrola a potvrzení (krok 3). Příklad: „V potvrzovacím e-mailu obdržíte předplacený přepravní štítek.“ nebo „Náklady na zpětnou dopravu hradí zákazník.“ Pro skrytí řádku ponechte prázdné."
"Return Policy URL","URL podmínek pro vrácení"
"Optional link rendered next to the shipping notice (""View return policy""). Accepts absolute URLs or relative paths like ""return-policy"".","Volitelný odkaz vykreslený vedle upozornění k zasílání („Zobrazit zásady vracení“). Přijímá absolutní URL nebo relativní cesty jako „return-policy“."
"Customer Notifications","Zákaznická oznámení"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Všechny zákaznické e-maily odesílané modulem. Každý e-mail lze povolit/zakázat, přiřadit mu vlastní šablonu (Marketing → Šablony e-mailů) a poslat skrytou kopii (BCC) na adresu obchodníka. Sdílená podskupina <em>Branding</em> dole ovládá rozvržení (USP pruh, odkazy na sociální sítě) používané všemi níže uvedenými e-maily."
"1. Submission Confirmation Email","1. Potvrzovací e-mail o podání"
"Enabled","Povoleno"
"Email Template","Šablona e-mailu"
"BCC Merchant","Skrytá kopie obchodníkovi (BCC)"
"Comma-separated. Leave blank to disable.","Oddělené čárkou. Pro zakázání ponechte prázdné."
"2. Approval Email","2. E-mail o schválení"
"3. Denial Email","3. E-mail o zamítnutí"
"4. Cancellation Email (Admin-Initiated)","4. E-mail o zrušení (zahájeno administrátorem)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-mail o zrušení (zrušení samotným zákazníkem)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. E-mail s potvrzením (trvalý nosič — čl. 11a odst. 4)"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Zákonem požadované potvrzení na trvalém nosiči. Nelze zcela zakázat (čl. 11a odst. 4 směrnice 2011/83/EU). Zakázání zde pouze zastaví odesílatele — potvrzení je stále generováno a ukládáno."
"Send Email","Odeslat e-mail"
"Comma-separated.","Oddělené čárkou."
"Delivery Retry Attempts","Pokusy o opětovné doručení"
"Number of delivery attempts before a receipt is flagged as undelivered.","Number of delivery attempts before a receipt is flagged as undelivered."
"DLQ Alert Recipient","Příjemce upozornění DLQ"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Upozorněn při trvalém selhání potvrzení. V záloze se použije E-mailové adresy obchodu → Obecný kontakt."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-mail o potvrzení digitálního souhlasu (čl. 11a odst. 4)"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopie zákazníkova souhlasu podle čl. 16 písm. m) na trvalém nosiči, odesílaná okamžitě po placení, je-li v košíku digitální položka. Vyžaduje čl. 11a odst. 4 směrnice 2011/83/EU — uchovává záznam s ochranou proti neoprávněné manipulaci o právním textu, který zákazník přijal, plus SHA-256 hash pro ověření řetězce hashů."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Oddělené čárkou. Pro účely auditu přijímá kopii každého potvrzení."
"Branding (Shared by All Emails Above)","Branding (sdílený všemi výše uvedenými e-maily)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Volitelná úprava zákaznických e-mailů. Prázdná pole skryjí příslušné řádky. Slovní logo značky, logo, podpůrný e-mail a adresa obchodu se čtou ze standardního konfiguračního stromu Magenta (Obchody → Konfigurace → Obecné + Design → Transakční e-maily)."
"USP Strip — Item 1","USP pruh — položka 1"
"Icon","Ikona"
"Title","Název"
"Subtitle","Podtitulek"
"USP Strip — Item 2","USP pruh — položka 2"
"USP Strip — Item 3","USP pruh — položka 3"
"Social Links","Odkazy na sociální sítě"
"Instagram URL","URL Instagramu"
"X / Twitter URL","URL X / Twitteru"
"Facebook URL","URL Facebooku"
"YouTube URL","URL YouTube"
"Order #","Č. obj."
"Contract","Smlouva"
"Submitter","Odesílatel"
"Withdrawal submitted","Odstoupení odesláno"
"Right of Withdrawal — Required Information","Právo na odstoupení — Povinné informace"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Před zadáním objednávky si prosím prostudujte podmínky, lhůtu a postupy pro uplatnění vašeho 14denního práva na odstoupení od smlouvy. Tyto informace jsou součástí vaší smlouvy."
"Conditions, Time Limit and Procedures for Withdrawal","Podmínky, lhůta a postupy pro odstoupení od smlouvy"
"Start Online Return","Zahájit online vrácení"
"Download Model Withdrawal Form (Annex I(B))","Stáhnout vzorový formulář pro odstoupení od smlouvy (Příloha I(B))"
"Withdrawal Information v%1 — Issued %2","Informace o odstoupení v%1 — vydáno %2"
"You'll receive a prepaid shipping label in the confirmation email.","V potvrzovacím e-mailu obdržíte předplacený přepravní štítek."
"← Back to order search","← Zpět na vyhledávání objednávky"
"← Back to items","← Zpět k položkám"
"Find order","Najít objednávku"
"Enter your order number and email","Zadejte číslo objednávky a e-mail"
"Select items","Vybrat položky"
"Choose items to return (partial withdrawal)","Zvolte položky k vrácení (částečné odstoupení)"
"Review & confirm","Zkontrolovat a potvrdit"
"Review your return details and confirm","Zkontrolujte podrobnosti vrácení a potvrďte"
"Request submitted","Žádost odeslána"
"We'll confirm your request by email","Vaši žádost potvrdíme e-mailem"
