"View Credit Memo","Προβολή πιστωτικού σημειώματος"
"Each line is either already being processed, pending confirmation, or has been fully withdrawn. Check the existing requests section above for status or to cancel.","Κάθε γραμμή είτε υφίσταται ήδη επεξεργασία, είτε αναμένει επιβεβαίωση, είτε έχει ήδη υπαναχωρηθεί πλήρως. Ελέγξτε την παραπάνω ενότητα υφιστάμενων αιτημάτων για κατάσταση ή ακύρωση."
"No items selected yet. Use the + button next to an item to add it to your return.","Δεν έχουν επιλεγεί ακόμη αντικείμενα. Χρησιμοποιήστε το κουμπί + δίπλα σε ένα αντικείμενο για να το προσθέσετε στην επιστροφή σας."
"Find your order","Βρείτε την παραγγελία σας"
"Enter the details you used during checkout to start a return or withdrawal.","Εισαγάγετε τα στοιχεία που χρησιμοποιήσατε κατά την παραγγελία για να ξεκινήσετε επιστροφή ή υπαναχώρηση."
"We could not find an order matching that email. Double-check your order number and email address.","Δεν βρέθηκε παραγγελία που να αντιστοιχεί σε αυτό το email. Ελέγξτε ξανά τον αριθμό παραγγελίας και τη διεύθυνση email σας."
"e.g. 12345","π.χ. 12345"
"You can find this in your order confirmation email.","Μπορείτε να το βρείτε στο email επιβεβαίωσης παραγγελίας σας."
"Email address","Διεύθυνση e-mail"
"you@example.com","you@example.com"
"Must match the email used for the order.","Πρέπει να ταιριάζει με το email που χρησιμοποιήθηκε για την παραγγελία."
"Find my order","Εύρεση της παραγγελίας μου"
"You have the right to withdraw from your purchase within 14 days of receiving your order, without giving any reason.","Έχετε το δικαίωμα να υπαναχωρήσετε από την αγορά σας εντός 14 ημερών από την παραλαβή της παραγγελίας, χωρίς να αναφέρετε λόγο."
"Need help finding your order?","Χρειάζεστε βοήθεια για την εύρεση της παραγγελίας σας;"
"Select an order","Επιλέξτε παραγγελία"
"Choose an order from your history to start a return or withdrawal.","Επιλέξτε μια παραγγελία από το ιστορικό σας για να ξεκινήσετε επιστροφή ή υπαναχώρηση."
"You don't have any orders eligible for withdrawal. The 14-day withdrawal window runs from the day you received your order.","Δεν έχετε παραγγελίες επιλέξιμες για υπαναχώρηση. Η προθεσμία υπαναχώρησης 14 ημερών μετρά από την ημέρα παραλαβής της παραγγελίας σας."
"View all my orders","Προβολή όλων των παραγγελιών μου"
"items","είδη"
"Select order","Επιλογή παραγγελίας"
"No recent withdrawal","Καμία πρόσφατη υπαναχώρηση"
"We could not find a recent withdrawal in this session. If you have just submitted one, please check your inbox for the confirmation email.","Δεν βρέθηκε πρόσφατη υπαναχώρηση σε αυτή τη συνεδρία. Εάν μόλις υποβάλατε κάποια, ελέγξτε τα εισερχόμενά σας για το email επιβεβαίωσης."
"Start a new withdrawal","Έναρξη νέας υπαναχώρησης"
"Withdrawal #%1 submitted","Η υπαναχώρηση #%1 υποβλήθηκε"
"Related order:","Σχετική παραγγελία:"
"Items","Είδη"
"Items included in this withdrawal","Είδη που περιλαμβάνονται σε αυτή την υπαναχώρηση"
"Line Total","Σύνολο γραμμής"
"What happens next","Τι ακολουθεί"
"You will receive a receipt email with the full withdrawal statement and integrity hash within a few minutes.","Θα λάβετε email με την απόδειξη που περιλαμβάνει την πλήρη δήλωση υπαναχώρησης και το hash ακεραιότητας μέσα σε λίγα λεπτά."
"The 14-day window under Art. 9 CRD is locked to the moment you confirmed the withdrawal — nothing further is required from you to preserve the right.","Η προθεσμία 14 ημερών βάσει του Άρθρου 9 της Οδηγίας 2011/83/ΕΕ κλειδώνεται κατά τη στιγμή που επιβεβαιώσατε την υπαναχώρηση — δεν απαιτείται καμία άλλη ενέργεια από εσάς για τη διατήρηση του δικαιώματος."
"The final refund is determined after we receive the returned items (Art. 14(2)) and is issued to the original payment method. Expect the funds within 14 days of receipt.","Η τελική επιστροφή χρημάτων προσδιορίζεται μετά την παραλαβή των επιστρεφόμενων ειδών (Άρθρο 14(2)) και πραγματοποιείται στην αρχική μέθοδο πληρωμής. Αναμένετε την πίστωση εντός 14 ημερών από την παραλαβή."
"Back to Withdrawals","Πίσω στις υπαναχωρήσεις"
"Verzichtsbestätigung digitaler Inhalte — Bestellung %increment_id","Επιβεβαίωση παραίτησης ψηφιακού περιεχομένου — Παραγγελία %increment_id"
"Sehr geehrte/r %name,","Αγαπητέ/ή %name,"
"Dies ist die Bestätigung auf einem dauerhaften Datenträger Ihrer ausdrücklichen Einwilligung zum Beginn der Ausführung folgender digitaler Inhalte sowie Ihrer Bestätigung, dass Sie dadurch Ihr Widerrufsrecht verlieren (Art. 16(m) VRL).","Αυτή είναι η επιβεβαίωση σε σταθερό μέσο της ρητής συναίνεσής σας για την έναρξη εκτέλεσης του ακόλουθου ψηφιακού περιεχομένου, καθώς και της αναγνώρισής σας ότι κατ' αυτόν τον τρόπο χάνετε το δικαίωμα υπαναχώρησης (Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ)."
"Durch den Verzicht abgedeckte digitale Inhalte","Ψηφιακό περιεχόμενο που καλύπτεται από την παραίτηση"
"Ihre ausdrückliche Einwilligung","Η ρητή σας συναίνεση"
"Eingewilligt am:","Συναίνεση δόθηκε στις:"
"Ihre Bestätigung zum Verlust des Widerrufsrechts","Η επιβεβαίωσή σας για την απώλεια του δικαιώματος υπαναχώρησης"
"Bestätigt am:","Επιβεβαιώθηκε στις:"
"Verzichtsreferenz:","Αναφορά παραίτησης:"
"Rechtsgrundlage: Art. 16(m) Verbraucherrechterichtlinie 2011/83/EU.","Νομική βάση: Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ για τα δικαιώματα των καταναλωτών."
"Digital content waiver confirmation — Order %1","Επιβεβαίωση παραίτησης για ψηφιακό περιεχόμενο — Παραγγελία %1"
"Dear %name,","Αγαπητέ/ή %name,"
"This is the durable-medium confirmation of your express consent to begin performance of the following digital items, and your acknowledgment that by doing so you lose your right of withdrawal (Art. 16(m) CRD).","Αυτή είναι η επιβεβαίωση σε σταθερό μέσο της ρητής συναίνεσής σας για την έναρξη εκτέλεσης των ακόλουθων ψηφιακών ειδών και της αναγνώρισής σας ότι κατ' αυτόν τον τρόπο χάνετε το δικαίωμα υπαναχώρησης (Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ)."
"Digital items covered by this waiver","Ψηφιακά προϊόντα που καλύπτονται από αυτή την παραίτηση"
"Your express consent","Η ρητή συναίνεσή σας"
"Consented at:","Συναίνεση δόθηκε στις:"
"Your acknowledgment of loss of withdrawal right","Η αναγνώρισή σας για την απώλεια του δικαιώματος υπαναχώρησης"
"Acknowledged at:","Αναγνωρίστηκε στις:"
"Waiver reference:","Αναφορά παραίτησης:"
"Legal basis: Art. 16(m) Consumer Rights Directive 2011/83/EU.","Νομική βάση: Art. 16(m) Οδηγία 2011/83/ΕΕ για τα δικαιώματα των καταναλωτών."
"Digitaalisen sisällön luopumisvahvistus — Tilaus %increment_id","Επιβεβαίωση παραίτησης ψηφιακού περιεχομένου — Παραγγελία %increment_id"
"Hyvä %name,","Αγαπητέ/ή %name,"
"Tämä on pysyvällä tietovälineellä annettu vahvistus nimenomaisesta suostumuksestasi aloittaa seuraavien digitaalisten sisältöjen toimitus sekä vahvistuksestasi, että menetät peruuttamisoikeutesi (KSL 6:16).","Αυτή είναι η επιβεβαίωση σε σταθερό μέσο της ρητής συναίνεσής σας για την έναρξη παράδοσης του ακόλουθου ψηφιακού περιεχομένου, καθώς και της επιβεβαίωσής σας ότι χάνετε το δικαίωμα υπαναχώρησης (Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ)."
"Luopumisen kattamat digitaaliset sisällöt","Ψηφιακό περιεχόμενο που καλύπτεται από την παραίτηση"
"Nimenomainen suostumuksesi","Η ρητή σας συναίνεση"
"Suostuttu:","Συναίνεση δόθηκε στις:"
"Vahvistuksesi peruuttamisoikeuden menettämisestä","Η επιβεβαίωσή σας για την απώλεια του δικαιώματος υπαναχώρησης"
"Vahvistettu:","Επιβεβαιώθηκε στις:"
"Luopumisen viite:","Αναφορά παραίτησης:"
"Oikeusperusta: KSL 6:16 / Art. 16(m) kuluttajanoikeusdirektiivi 2011/83/EU.","Νομική βάση: Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ για τα δικαιώματα των καταναλωτών."
"Confirmation de renonciation au contenu numérique — Commande %increment_id","Επιβεβαίωση παραίτησης ψηφιακού περιεχομένου — Παραγγελία %increment_id"
"Cher/Chère %name,","Αγαπητέ/ή %name,"
"Ceci est la confirmation sur un support durable de votre consentement exprès à commencer l'exécution des contenus numériques suivants, et de votre reconnaissance que vous perdez ainsi votre droit de rétractation (Art. L. 221-28 Code consommation).","Αυτή είναι η επιβεβαίωση σε σταθερό μέσο της ρητής συναίνεσής σας για την έναρξη εκτέλεσης του ακόλουθου ψηφιακού περιεχομένου και της αναγνώρισής σας ότι κατ' αυτόν τον τρόπο χάνετε το δικαίωμα υπαναχώρησης (Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ)."
"Contenus numériques couverts par la présente renonciation","Ψηφιακό περιεχόμενο που καλύπτεται από την παρούσα παραίτηση"
"Votre consentement exprès","Η ρητή σας συναίνεση"
"Consenti le :","Συναίνεση δόθηκε στις:"
"Votre reconnaissance de la perte du droit de rétractation","Η αναγνώρισή σας για την απώλεια του δικαιώματος υπαναχώρησης"
"Reconnu le :","Αναγνωρίστηκε στις:"
"Référence de renonciation :","Αναφορά παραίτησης:"
"Base légale : Art. L. 221-28 Code consommation / Art. 16(m) Directive 2011/83/UE.","Νομική βάση: Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ."
"Bevestiging afstand digitale inhoud — Bestelling %increment_id","Επιβεβαίωση παραίτησης ψηφιακού περιεχομένου — Παραγγελία %increment_id"
"Beste %name,","Αγαπητέ/ή %name,"
"Dit is de bevestiging op een duurzame gegevensdrager van uw uitdrukkelijke toestemming om te beginnen met de levering van de volgende digitale inhoud, en uw erkenning dat u daardoor uw herroepingsrecht verliest (Art. 6:230s BW).","Αυτή είναι η επιβεβαίωση σε σταθερό μέσο της ρητής συναίνεσής σας για την έναρξη παράδοσης του ακόλουθου ψηφιακού περιεχομένου και της αναγνώρισής σας ότι κατ' αυτόν τον τρόπο χάνετε το δικαίωμα υπαναχώρησης (Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ)."
"Onder deze afstand vallende digitale items","Ψηφιακά είδη που καλύπτονται από αυτή την παραίτηση"
"Uw uitdrukkelijke toestemming","Η ρητή σας συναίνεση"
"Toestemming verleend op:","Συναίνεση δόθηκε στις:"
"Uw erkenning van verlies van herroepingsrecht","Η αναγνώρισή σας για την απώλεια του δικαιώματος υπαναχώρησης"
"Erkend op:","Αναγνωρίστηκε στις:"
"Afstandreferentie:","Αναφορά παραίτησης:"
"Rechtsgrondslag: Art. 6:230s BW / Art. 16(m) Richtlijn 2011/83/EU.","Νομική βάση: Άρθρο 16(μ) Οδηγία 2011/83/ΕΕ."
"[EU Withdrawal] Receipt send failed — request #%request_id","[EU Withdrawal] Αποτυχία αποστολής απόδειξης — αίτημα #%request_id"
"The receipt email for withdrawal request #%request_id has failed to send permanently.","Το email απόδειξης για το αίτημα υπαναχώρησης #%request_id απέτυχε οριστικά να αποσταλεί."
"Inspect the <code>mm_eu_withdrawal_request.receipt_last_error</code> column for the last error message, and the <code>mm_eu_withdrawal_request.receipt_send_attempts</code> column for the retry count.","Ελέγξτε τη στήλη <code>mm_eu_withdrawal_request.receipt_last_error</code> για το τελευταίο μήνυμα σφάλματος και τη στήλη <code>mm_eu_withdrawal_request.receipt_send_attempts</code> για τον αριθμό των επαναλήψεων."
"You can requeue the send from the admin grid after resolving the underlying issue.","Μπορείτε να επανατοποθετήσετε την αποστολή στην ουρά από το πλέγμα διαχείρισης μετά την επίλυση του υποκείμενου προβλήματος."
"Your refund is on its way — Withdrawal #%1","Η επιστροφή χρημάτων σας είναι καθ' οδόν — Υπαναχώρηση #%1"
"Your refund is on its way","Η επιστροφή σας είναι καθ' οδόν"
"Hi %name, we've approved your withdrawal request and started the refund process.","Γεια σας %name, εγκρίναμε το αίτημα υπαναχώρησής σας και ξεκινήσαμε τη διαδικασία επιστροφής χρημάτων."
"View refund details","Προβολή λεπτομερειών επιστροφής"
"Withdrawal number","Αριθμός υπαναχώρησης"
"Approved on","Εγκρίθηκε στις"
"Estimated arrival","Εκτιμώμενη άφιξη"
"Status","Κατάσταση"
"Your refund will be issued to your original payment method within 5–7 business days. You'll see it on your card or bank statement once it lands.","Η επιστροφή χρημάτων θα γίνει στην αρχική σας μέθοδο πληρωμής εντός 5–7 εργάσιμων ημερών. Θα την δείτε στην κάρτα ή στο τραπεζικό σας αντίγραφο μόλις πιστωθεί."
"Need help?","Χρειάζεστε βοήθεια;"
"Reply to this email or contact us at","Απαντήστε σε αυτό το e-mail ή επικοινωνήστε στο"
"Your withdrawal was cancelled — Withdrawal #%1","Η υπαναχώρησή σας ακυρώθηκε — Υπαναχώρηση #%1"
"Your withdrawal was cancelled","Η υπαναχώρησή σας ακυρώθηκε"
"Hi %name, we've cancelled your withdrawal request.","Γεια σας %name, ακυρώσαμε το αίτημα υπαναχώρησής σας."
"Submit a new request","Υποβολή νέου αιτήματος"
"Cancelled request","Ακυρωμένο αίτημα"
"Cancelled on","Ακυρώθηκε στις"
"Refund requested","Επιστροφή ζητήθηκε"
"If this was unexpected, you can submit a new withdrawal request as long as your 14-day window is still open. Reach out if you need help — we're happy to clarify.","Εάν αυτό ήταν απρόσμενο, μπορείτε να υποβάλετε νέο αίτημα υπαναχώρησης όσο η προθεσμία των 14 ημερών παραμένει ενεργή. Επικοινωνήστε μαζί μας αν χρειάζεστε βοήθεια — με χαρά σας εξηγούμε."
"Cancellation confirmed — Withdrawal #%1","Η ακύρωση επιβεβαιώθηκε — Υπαναχώρηση #%1"
"Cancellation confirmed","Η ακύρωση επιβεβαιώθηκε"
"Hi %name, your withdrawal request has been cancelled as you asked.","Γεια σας %name, το αίτημα υπαναχώρησής σας ακυρώθηκε όπως ζητήσατε."
"Back to my orders","Πίσω στις παραγγελίες μου"
"Cancelled by","Ακυρώθηκε από"
"You","Εσείς"
"Your order remains active and there's no further action needed. If you change your mind, you can start a new withdrawal request any time within your 14-day window.","Η παραγγελία σας παραμένει ενεργή και δεν απαιτείται κάποια άλλη ενέργεια. Αν αλλάξετε γνώμη, μπορείτε να υποβάλετε νέο αίτημα υπαναχώρησης οποιαδήποτε στιγμή εντός της προθεσμίας των 14 ημερών."
"Update on your withdrawal request — Withdrawal #%1","Ενημέρωση για το αίτημα υπαναχώρησής σας — Υπαναχώρηση #%1"
"We can't process this withdrawal","Δεν μπορούμε να επεξεργαστούμε αυτή την υπαναχώρηση"
"Hi %name, after reviewing your withdrawal request we're unable to approve it.","Γεια σας %name, μετά από εξέταση του αιτήματος υπαναχώρησής σας δεν μπορούμε να το εγκρίνουμε."
"Request details","Λεπτομέρειες αιτήματος"
"Reviewed on","Ελέγχθηκε στις"
"Decision","Απόφαση"
"Reason from our team","Λόγος από την ομάδα μας"
"If you'd like to discuss this decision, our team is here to help. Reply to this email or use the button above.","Αν θέλετε να συζητήσετε αυτή την απόφαση, η ομάδα μας είναι στη διάθεσή σας. Απαντήστε σε αυτό το email ή χρησιμοποιήστε το παραπάνω κουμπί."
"Your withdrawal request has been submitted — Order #%1","Το αίτημα υπαναχώρησής σας υποβλήθηκε — Παραγγελία #%1"
"Your return request has been submitted","Το αίτημα επιστροφής σας υποβλήθηκε"
"Hi %name, we've received your return request and are currently reviewing it. You'll hear back when we've inspected your return and processed your refund.","Γεια σας %name, λάβαμε το αίτημα επιστροφής σας και αυτή τη στιγμή το εξετάζουμε. Θα σας ενημερώσουμε μόλις ελέγξουμε την επιστροφή και ολοκληρώσουμε την πίστωση."
"Return number","Αριθμός επιστροφής"
"Requested on","Ζητήθηκε στις"
"We'll inspect your return and notify you once approved. Refunds are issued to your original payment method within 5–7 business days after approval.","Θα ελέγξουμε την επιστροφή σας και θα σας ενημερώσουμε μόλις εγκριθεί. Οι επιστροφές χρημάτων γίνονται στην αρχική σας μέθοδο πληρωμής εντός 5–7 εργάσιμων ημερών μετά την έγκριση."
"If you have any questions, our customer service team is here to help.","Αν έχετε οποιαδήποτε ερώτηση, η ομάδα εξυπηρέτησης πελατών είναι στη διάθεσή σας."
"Visit our help center","Επισκεφθείτε το κέντρο βοήθειας"
"If you did not initiate this request, contact us immediately at","Αν δεν υποβάλατε εσείς το αίτημα, επικοινωνήστε μαζί μας άμεσα στο"
"Withdrawal receipt — Order #%1","Αποδεικτικό υπαναχώρησης — Παραγγελία #%1"
"Withdrawal receipt","Απόδειξη υπαναχώρησης"
"Hi %name, this email is your durable-medium proof of withdrawal under Art. 11a Directive 2011/83/EU. Keep it for your records.","Γεια σας %name, αυτό το email είναι το αποδεικτικό υπαναχώρησής σας σε σταθερό μέσο σύμφωνα με το Art. 11a Οδηγία 2011/83/ΕΕ. Φυλάξτε το για τα αρχεία σας."
"Submitted on","Υποβλήθηκε στις"
"Your %store_name order confirmation","Η επιβεβαίωση της παραγγελίας σας στο %store_name"
"%customer_name,","%customer_name,"
"Thank you for your order from %store_name.","Σας ευχαριστούμε για την παραγγελία σας από το %store_name."
"Once your package ships we will send you a tracking number.","Μόλις αποσταλεί το πακέτο σας, θα σας στείλουμε αριθμό παρακολούθησης."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Μπορείτε να ελέγξετε την κατάσταση της παραγγελίας σας <a href=""%account_url"">συνδεόμενοι στον λογαριασμό σας</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Εάν έχετε ερωτήσεις σχετικά με την παραγγελία σας, μπορείτε να μας στείλετε email στο <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ή να μας καλέσετε στο <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Οι ώρες λειτουργίας μας είναι <span class=""no-link"">%store_hours</span>."
"Your Order <span class=""no-link"">#%increment_id</span>","Η παραγγελία σας <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Πραγματοποιήθηκε στις <span class=""no-link"">%created_at</span>"
"Billing Info","Στοιχεία χρέωσης"
"Shipping Info","Στοιχεία αποστολής"
"Payment Method","Μέθοδος πληρωμής"
"Shipping Method","Μέθοδος αποστολής"
"%name,","%name,"
"Once your package ships we will send an email with a link to track your order.","Μόλις αποσταλεί το πακέτο σας, θα σας στείλουμε email με σύνδεσμο παρακολούθησης της παραγγελίας σας."
"Your %store_name order has shipped","Η παραγγελία σας στο %store_name έχει αποσταλεί"
"Your shipping confirmation is below. Thank you again for your business.","Η επιβεβαίωση αποστολής σας ακολουθεί παρακάτω. Σας ευχαριστούμε ξανά για την προτίμησή σας."
"Your Shipment #%shipment_id for Order #%order_id","Η αποστολή σας #%shipment_id για την παραγγελία #%order_id"
"Your digital content waiver is on file","Η παραίτησή σας για το ψηφιακό περιεχόμενο έχει καταχωρηθεί"
"Hi %name, you've consented to immediate digital delivery of the items below — this is your durable-medium copy of that consent (Art. 11a(4) CRD).","Γεια σας %name, έχετε συναινέσει στην άμεση ψηφιακή παράδοση των παρακάτω προϊόντων — αυτό είναι το αντίγραφο της συναίνεσής σας σε σταθερό μέσο (Art. 11a(4) CRD)."
"View order","Προβολή παραγγελίας"
"Consented at","Συναίνεση δόθηκε στις"
"Acknowledged at","Αναγνωρίστηκε στις"
"Keep this email as your durable-medium record. The merchant has stored the SHA-256 hash of the legal text you accepted:","Φυλάξτε αυτό το email ως αρχείο σε σταθερό μέσο. Ο έμπορος έχει αποθηκεύσει το hash SHA-256 του νομικού κειμένου που αποδεχτήκατε:"
"Digital content waiver","Παραίτηση δικαιώματος για ψηφιακό περιεχόμενο"
"We need your explicit consent before you can buy this digital item — please read both points carefully.","Χρειαζόμαστε τη ρητή σας συναίνεση πριν αγοράσετε αυτό το ψηφιακό αντικείμενο — παρακαλούμε διαβάστε προσεκτικά και τα δύο σημεία."
"We log this consent with your IP and timestamp for our audit record.","Καταγράφουμε αυτή τη συναίνεση με τη διεύθυνση IP σας και χρονοσήμανση για τα αρχεία ελέγχου μας."
"Continue","Συνέχεια"
"Waiver could not be saved. Please retry.","Η παραίτηση δεν μπόρεσε να αποθηκευτεί. Δοκιμάστε ξανά."
"Enable for EU Withdrawal Lookup Form","Ενεργοποίηση για τη φόρμα αναζήτησης δικαιώματος υπαναχώρησης ΕΕ"
"MageMe Extensions","Επεκτάσεις MageMe"
"EU Withdrawal","Δικαίωμα υπαναχώρησης ΕΕ"
"General","Γενικά"
"Enable Module","Ενεργοποίηση επέκτασης"
"Activates frontend and cron jobs. Default: disabled. Complete the manual setup checklist before enabling.","Ενεργοποιεί το front-end και τις εργασίες cron. Προεπιλογή: απενεργοποιημένο. Ολοκληρώστε τη λίστα χειροκίνητης ρύθμισης πριν την ενεργοποίηση."
"Request Number Prefix","Πρόθεμα αριθμού αιτήματος"
"Optional prefix prepended to the withdrawal request increment ID in customer-facing UI (e.g. ""RR-"" renders as ""RR-000000022""). Leave blank to show the plain padded number.","Προαιρετικό πρόθεμα που προστίθεται στο αναγνωριστικό αύξησης του αιτήματος υπαναχώρησης στο περιβάλλον πελάτη (π.χ. ""RR-"" εμφανίζεται ως ""RR-000000022""). Αφήστε κενό για να εμφανίζεται μόνο ο αριθμός."
"Default Contract Type","Προεπιλεγμένος τύπος σύμβασης"
"Frontend Route","Διαδρομή καταστήματος"
"URL prefix used by the customer-facing withdrawal flow (e.g. <code>withdraw-contract</code> renders as <code>/withdraw-contract/...</code>). Lowercase letters, digits, dashes and underscores only.","Πρόθεμα URL που χρησιμοποιείται από τη ροή υπαναχώρησης πελάτη (π.χ. <code>withdraw-contract</code> εμφανίζεται ως <code>/withdraw-contract/...</code>)."
"Withdrawal Period","Προθεσμία υπαναχώρησης"
"Delivery Confirmation Statuses","Καταστάσεις επιβεβαίωσης παράδοσης"
"Pick one or more order statuses whose <em>transition</em> means the customer received the goods in your fulfillment workflow. The 14-day withdrawal window starts on the timestamp of the order's <em>earliest</em> transition into <em>any</em> of the selected statuses (Art. 9(2)(b) Directive 2011/83/EU). Multi-select supports merchants who use several ""delivered""-type statuses (e.g. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Until the order reaches any of them, the right of withdrawal is open with no fixed deadline.","Επιλέξτε μία ή περισσότερες καταστάσεις παραγγελίας των οποίων η <em>μετάβαση</em> σημαίνει ότι ο πελάτης παρέλαβε τα αγαθά στη ροή εκτέλεσης παραγγελιών σας. Η προθεσμία υπαναχώρησης 14 ημερών αρχίζει από τη χρονοσήμανση της <em>πρώτης</em> μετάβασης της παραγγελίας σε <em>οποιαδήποτε</em> από τις επιλεγμένες καταστάσεις (Άρθρο 9(2)(β) Οδηγία 2011/83/ΕΕ). Η πολλαπλή επιλογή υποστηρίζει εμπόρους που χρησιμοποιούν πολλές καταστάσεις τύπου ""παραδόθηκε"" (π.χ. <code>delivered</code> + <code>complete</code> + <code>delivered_partial</code>). Μέχρι η παραγγελία να φτάσει σε κάποια από αυτές, το δικαίωμα υπαναχώρησης παραμένει ανοιχτό χωρίς ορισμένη προθεσμία."
"Eligibility Rules (Art. 16 CRD Presets)","Κανόνες επιλεξιμότητας (προρυθμίσεις Άρθρου 16 CRD)"
"Art. 16(c) Custom-Made Goods","Άρθρο 16(γ) Αγαθά κατά παραγγελία"
"Excludes products made to customer specifications or clearly personalised (e.g. engraved jewellery, made-to-measure clothing). <strong>Requires</strong> product attribute <code>is_custom_made = true</code>. If enabled, orders containing such items cannot be withdrawn — customers will see this when attempting to start withdrawal.","Εξαιρεί προϊόντα που κατασκευάζονται σύμφωνα με τις προδιαγραφές του πελάτη ή είναι σαφώς εξατομικευμένα (π.χ. χαραγμένα κοσμήματα, ρούχα κατά παραγγελία). <strong>Απαιτεί</strong> το χαρακτηριστικό προϊόντος <code>is_custom_made = true</code>. Εάν ενεργοποιηθεί, οι παραγγελίες που περιέχουν τέτοια είδη δεν μπορούν να υπαναχωρηθούν — οι πελάτες θα το δουν όταν επιχειρήσουν να ξεκινήσουν την υπαναχώρηση."
"Art. 16(d) Perishable Goods","Άρθρο 16(δ) Αλλοιώσιμα αγαθά"
"Excludes goods that can deteriorate or expire rapidly (fresh food, cut flowers, short-shelf-life pharmaceuticals). <strong>Requires</strong> product attribute <code>is_perishable = true</code>. Do not enable for all categories — apply it only to truly perishable SKUs, otherwise you will unlawfully deny valid withdrawals.","Εξαιρεί αγαθά που μπορούν να αλλοιωθούν ή να λήξουν γρήγορα (φρέσκα τρόφιμα, κομμένα λουλούδια, φάρμακα μικρής διάρκειας ζωής). <strong>Απαιτεί</strong> το χαρακτηριστικό προϊόντος <code>is_perishable = true</code>. Μην ενεργοποιείτε για όλες τις κατηγορίες — εφαρμόστε το μόνο σε πραγματικά αλλοιώσιμους κωδικούς SKU, διαφορετικά θα αρνείστε παράνομα έγκυρες υπαναχωρήσεις."
"Art. 16(e) Sealed Hygiene / Health","Άρθρο 16(ε) Σφραγισμένα είδη υγιεινής / υγείας"
"Excludes sealed hygiene or health items <strong>only if the seal has been broken after delivery</strong> (cosmetics, intimate apparel, sealed medical supplies). <strong>Requires</strong> product attribute <code>is_sealed_hygiene = true</code>. The exclusion depends on a seal-check at the time of withdrawal (workflow in phase-04) — a sealed, unopened return remains eligible.","Εξαιρεί σφραγισμένα είδη υγιεινής ή υγείας <strong>μόνο εάν η σφραγίδα έχει σπάσει μετά την παράδοση</strong> (καλλυντικά, εσώρουχα, σφραγισμένα ιατρικά προϊόντα). <strong>Απαιτεί</strong> το χαρακτηριστικό προϊόντος <code>is_sealed_hygiene = true</code>. Η εξαίρεση εξαρτάται από έλεγχο σφραγίδας κατά τη στιγμή της υπαναχώρησης (ροή εργασίας στη φάση-04) — μια σφραγισμένη, μη ανοιγμένη επιστροφή παραμένει επιλέξιμη."
"Art. 16(i) Sealed Audio / Video / Software","Άρθρο 16(θ) Σφραγισμένα ηχητικά / βίντεο / λογισμικού"
"Excludes sealed audio recordings, video recordings, or sealed computer software <strong>only if the seal has been broken after delivery</strong>. <strong>Requires</strong> product attribute <code>is_sealed_av = true</code>. Same seal-check logic as Art. 16(e). Does not apply to streaming / digital-download content — use Art. 16(m) for those.","Εξαιρεί σφραγισμένες ηχογραφήσεις, βιντεοσκοπήσεις ή σφραγισμένο λογισμικό υπολογιστή <strong>μόνο εάν η σφραγίδα έχει σπάσει μετά την παράδοση</strong>. <strong>Απαιτεί</strong> το χαρακτηριστικό προϊόντος <code>is_sealed_av = true</code>. Ίδια λογική ελέγχου σφραγίδας με το Άρθρο 16(ε). Δεν ισχύει για περιεχόμενο streaming / ψηφιακής λήψης — γι' αυτά χρησιμοποιήστε το Άρθρο 16(μ)."
"Digital Content (Art. 16(m))","Ψηφιακό περιεχόμενο (Άρθρο 16(ιγ))"
"Detection","Ανίχνευση"
"Enable Digital Content Detection","Ενεργοποίηση ανίχνευσης ψηφιακού περιεχομένου"
"Master switch for Art. 16(m) digital-content detection. When off, no product is recognised as digital, the checkout waiver step is not required, and the preset always allows withdrawal.","Κύριος διακόπτης για την ανίχνευση ψηφιακού περιεχομένου του Άρθρου 16(μ). Όταν είναι απενεργοποιημένος, κανένα προϊόν δεν αναγνωρίζεται ως ψηφιακό, το βήμα παραίτησης κατά την ολοκλήρωση παραγγελίας δεν απαιτείται και η προρύθμιση επιτρέπει πάντα την υπαναχώρηση."
"Detection Strategies","Στρατηγικές ανίχνευσης"
